Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b3,1,0.02846,4.8,[ 4 16] ; [6 4],[ 6.66666667 13.33333333] ; [3.33333333 6.66666667],0
b2,1,0.02846,4.8,[ 4 16] ; [6 4],[ 6.66666667 13.33333333] ; [3.33333333 6.66666667],0
p5,1,0.049738,3.850267,[ 2 32] ; [3 8],[ 3.77777778 30.22222222] ; [1.22222222 9.77777778],0
s6,1,0.051451,3.793536,[12 22] ; [7 3],[14.68181818 19.31818182] ; [4.31818182 5.68181818],0
s3,1,0.058065,3.591809,[10 22] ; [7 4],[12.65116279 19.34883721] ; [4.34883721 6.65116279],0
r1,1,0.068819,3.310964,[14 20] ; [8 3],[16.62222222 17.37777778] ; [5.37777778 5.62222222],0
p6,1,0.071021,3.259259,[ 4 29] ; [4 7],[ 6. 27.] ; [2. 9.],0
d2,1,0.10766,2.588235,[18 15] ; [9 2],[20.25 12.75] ; [6.75 4.25],0
s7,1,0.111017,2.539683,[ 7 23] ; [5 5],[ 9. 21.] ; [3. 7.],0
p10,1,0.161989,1.955556,[13 20] ; [7 4],[15. 18.] ; [5. 6.],0
u3,1,0.165857,1.92,[1 9] ; [1 1],[1.66666667 8.33333333] ; [0.33333333 1.66666667],0
b5,1,0.194329,1.684492,[20 14] ; [4 7],[18.13333333 15.86666667] ; [5.86666667 5.13333333],0
p1,1,0.212777,1.552433,[ 2 32] ; [2 9],[ 3.02222222 30.97777778] ; [ 0.97777778 10.02222222],0
p2,1,0.222539,1.487923,[14 19] ; [7 4],[15.75 17.25] ; [5.25 5.75],0
p3,1,0.237134,1.397552,[ 9 25] ; [5 6],[10.57777778 23.42222222] ; [3.42222222 7.57777778],0
v3,1,0.274598,1.193633,[ 9 25] ; [1 9],[ 7.72727273 26.27272727] ; [2.27272727 7.72727273],0
v1,1,0.340156,0.909843,[11 22] ; [2 9],[ 9.75 23.25] ; [3.25 7.75],0
p12,1,0.346184,0.887395,[ 1 33] ; [1 9],[ 1.54545455 32.45454545] ; [0.45454545 9.54545455],0
n1,1,0.377026,0.780375,[4 7] ; [3 2],[4.8125 6.1875] ; [2.1875 2.8125],0
n4,1,0.402767,0.700049,[26  8] ; [7 4],[24.93333333  9.06666667] ; [8.06666667 2.93333333],0
p4,1,0.43008,0.622609,[11 23] ; [5 6],[12.08888889 21.91111111] ; [3.91111111 7.08888889],0
a6,1,0.437967,0.601604,[20 14] ; [5 6],[18.88888889 15.11111111] ; [6.11111111 4.88888889],0
a5,1,0.464106,0.535975,[24 10] ; [9 2],[24.93333333  9.06666667] ; [8.06666667 2.93333333],0
r3,1,0.464106,0.535975,[24 10] ; [9 2],[24.93333333  9.06666667] ; [8.06666667 2.93333333],0
a3,1,0.464106,0.535975,[24 10] ; [9 2],[24.93333333  9.06666667] ; [8.06666667 2.93333333],0
p8,1,0.532427,0.389758,[ 7 27] ; [3 7],[ 7.72727273 26.27272727] ; [2.27272727 7.72727273],0
b1,1,0.534925,0.385027,[18 16] ; [7 4],[18.88888889 15.11111111] ; [6.11111111 4.88888889],0
p9,1,0.544784,0.366745,[17 15] ; [7 4],[17.86046512 14.13953488] ; [6.13953488 4.86046512],0
d3,1,0.545739,0.365007,[22 12] ; [6 5],[21.15555556 12.84444444] ; [6.84444444 4.15555556],0
a7,1,0.545739,0.365007,[22 12] ; [6 5],[21.15555556 12.84444444] ; [6.84444444 4.15555556],0
s4,1,0.586291,0.296174,[ 4 30] ; [2 9],[ 4.53333333 29.46666667] ; [1.46666667 9.53333333],0
n2,1,0.589639,0.290909,[6 5] ; [2 3],[5.5 5.5] ; [2.5 2.5],0
a4,1,0.598084,0.277895,[15 18] ; [4 7],[14.25 18.75] ; [4.75 6.25],0
r2,1,0.619668,0.246334,[20 11] ; [8 3],[20.66666667 10.33333333] ; [7.33333333 3.66666667],0
n3,1,0.633553,0.227273,[7 4] ; [2 2],[6.6 4.4] ; [2.4 1.6],0
d4,1,0.633938,0.226759,[29  5] ; [10  1],[29.46666667  4.53333333] ; [9.53333333 1.46666667],0
s8,1,0.642986,0.214859,[ 7 27] ; [3 8],[ 7.55555556 26.44444444] ; [2.44444444 8.55555556],0
d1,1,0.650844,0.204838,[19 15] ; [7 4],[19.64444444 14.35555556] ; [6.35555556 4.64444444],0
p7,1,0.665079,0.187412,[10 24] ; [4 7],[10.57777778 23.42222222] ; [3.42222222 7.57777778],0
v2,1,0.665908,0.186426,[16 18] ; [6 5],[16.62222222 17.37777778] ; [5.37777778 5.62222222],0
n5,1,0.67096,0.180481,[21 13] ; [6 5],[20.4 13.6] ; [6.6 4.4],0
s2,1,0.677856,0.172549,[ 7 26] ; [3 8],[ 7.5 25.5] ; [2.5 8.5],0
a1,1,0.71077,0.13751,[ 2 32] ; [ 1 10],[ 2.26666667 31.73333333] ; [ 0.73333333 10.26666667],0
n6,1,0.723296,0.125356,[20 13] ; [6 5],[19.5 13.5] ; [6.5 4.5],0
b4,1,0.80173,0.063056,[26  8] ; [8 3],[25.68888889  8.31111111] ; [8.31111111 2.68888889],0
p11,1,0.802816,0.062353,[20 14] ; [6 5],[19.64444444 14.35555556] ; [6.35555556 4.64444444],0
r4,1,0.911385,0.012386,[13 21] ; [4 7],[12.84444444 21.15555556] ; [4.15555556 6.84444444],0
a8,1,0.966678,0.001745,[ 6 26] ; [2 9],[ 5.95348837 26.04651163] ; [2.04651163 8.95348837],0
