Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,94.034831,[159  96] ; [ 4 91],[118.75714286 136.24285714] ; [44.24285714 50.75714286],1
d4,1,0.0,66.588861,[221  33] ; [42 52],[191.95977011  62.04022989] ; [71.04022989 22.95977011],1
d3,1,0.0,37.926478,[176  79] ; [31 64],[150.81428571 104.18571429] ; [56.18571429 38.81428571],1
a4,1,0.0,28.923174,[121 133] ; [15 79],[ 99.26436782 154.73563218] ; [36.73563218 57.26436782],1
d2,1,0.0,28.709273,[128 124] ; [18 77],[106.02881844 145.97118156] ; [39.97118156 55.02881844],1
a5,1,0.0,25.558407,[182  73] ; [40 55],[161.74285714  93.25714286] ; [60.25714286 34.74285714],1
a3,1,2e-06,22.577213,[184  71] ; [41 51],[165.34582133  89.65417867] ; [59.65417867 32.34582133],1
a7,1,3e-06,22.102997,[187  67] ; [44 50],[168.60344828  85.39655172] ; [62.39655172 31.60344828],1
a2,1,1.3e-05,18.954433,[ 59 196] ; [ 3 92],[ 45.17142857 209.82857143] ; [16.82857143 78.17142857],1
r2,1,0.000168,14.15618,[233  16] ; [75 19],[223.59183673  25.40816327] ; [84.40816327  9.59183673],1
r4,1,0.000208,13.757633,[209  46] ; [60 35],[195.98571429  59.01428571] ; [73.01428571 21.98571429],1
a6,1,0.000224,13.614494,[173  82] ; [44 51],[158.1  96.9] ; [58.9 36.1],1
r3,1,0.002039,9.513816,[228  25] ; [72 21],[219.36416185  33.63583815] ; [80.63583815 12.36416185],0
b5,1,0.002886,8.878425,[163  92] ; [44 51],[150.81428571 104.18571429] ; [56.18571429 38.81428571],0
s8,1,0.003523,8.514806,[ 84 171] ; [16 78],[ 73.06590258 181.93409742] ; [26.93409742 67.06590258],0
r1,1,0.005037,7.865943,[192  61] ; [57 37],[181.54755043  71.45244957] ; [67.45244957 26.54755043],0
u1,1,0.011879,6.328796,[ 35 220] ; [ 4 91],[ 28.41428571 226.58571429] ; [10.58571429 84.41428571],0
v2,1,0.015846,5.819876,[121 120] ; [31 57],[111.34346505 129.65653495] ; [40.65653495 47.34346505],0
s2,1,0.019628,5.444718,[102 152] ; [25 69],[ 92.6954023 161.3045977] ; [34.3045977 59.6954023],0
p10,1,0.020254,5.389853,[178  74] ; [54 40],[168.97109827  83.02890173] ; [63.02890173 30.97109827],0
s7,1,0.023278,5.147608,[ 86 158] ; [20 70],[ 77.43712575 166.56287425] ; [28.56287425 61.43712575],0
s6,1,0.033085,4.541359,[137 115] ; [39 55],[128.1849711 123.8150289] ; [47.8150289 46.1849711],0
p2,1,0.044081,4.053439,[173  80] ; [54 41],[165.0316092  87.9683908] ; [61.9683908 33.0316092],0
n6,1,0.045946,3.983569,[193  60] ; [61 32],[185.7283237  67.2716763] ; [68.2716763 24.7283237],0
p7,1,0.061763,3.489388,[103 145] ; [28 64],[ 95.55294118 152.44705882] ; [35.44705882 56.55294118],0
v4,1,0.081787,3.029023,[223  28] ; [76 17],[218.16569767  32.83430233] ; [80.83430233 12.16569767],0
n2,1,0.096381,2.76443,[51 29] ; [30  8],[54.91525424 25.08474576] ; [26.08474576 11.91525424],0
s3,1,0.119593,2.422646,[124 128] ; [37 56],[117.6 134.4] ; [43.4 49.6],0
u2,1,0.124806,2.355954,[37 32] ; [21 32],[32.80327869 36.19672131] ; [25.19672131 27.80327869],0
