Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,29.166667,[14 28] ; [86 22],[28. 14.] ; [72. 36.],1
n1,1,0.036885,4.355717,[ 3 13] ; [16 16],[6.33333333 9.66666667] ; [12.66666667 19.33333333],0
d5,1,0.045005,4.018464,[13 28] ; [54 54],[18.43624161 22.56375839] ; [48.56375839 59.43624161],0
p10,1,0.045661,3.99406,[21 20] ; [73 33],[26.21768707 14.78231293] ; [67.78231293 38.21768707],0
p9,1,0.053752,3.720382,[23 18] ; [77 29],[27.89115646 13.10884354] ; [72.10884354 33.89115646],0
v1,1,0.081072,3.043282,[13 28] ; [50 55],[17.69178082 23.30821918] ; [45.30821918 59.69178082],0
n6,1,0.085936,2.948896,[26 16] ; [82 26],[30.24 11.76] ; [77.76 30.24],0
v3,1,0.112734,2.515474,[ 7 34] ; [32 75],[10.80405405 30.19594595] ; [28.19594595 78.80405405],0
d2,1,0.126293,2.337487,[ 6 36] ; [28 80],[ 9.52 32.48] ; [24.48 83.52],0
a4,1,0.140501,2.172468,[ 6 36] ; [27 79],[ 9.36486486 32.63513514] ; [23.63513514 82.36486486],0
r3,1,0.144294,2.131554,[37  5] ; [83 24],[33.82550336  8.17449664] ; [86.17449664 20.82550336],0
p3,1,0.154722,2.025072,[12 30] ; [44 63],[15.7852349 26.2147651] ; [40.2147651 66.7852349],0
u3,1,0.175787,1.832885,[12 11] ; [20 36],[ 9.3164557 13.6835443] ; [22.6835443 33.3164557],0
p2,1,0.184824,1.758403,[33  9] ; [73 35],[29.68 12.32] ; [76.32 31.68],0
p4,1,0.202353,1.625309,[15 27] ; [51 57],[18.48 23.52] ; [47.52 60.48],0
p11,1,0.203448,1.61745,[25 17] ; [76 32],[28.28 13.72] ; [72.72 35.28],0
d3,1,0.227345,1.457397,[14 27] ; [26 81],[11.08108108 29.91891892] ; [28.91891892 78.08108108],0
b2,1,0.250328,1.321474,[ 4 21] ; [19 50],[ 6.11702128 18.88297872] ; [16.88297872 52.11702128],0
b3,1,0.250328,1.321474,[ 4 21] ; [19 50],[ 6.11702128 18.88297872] ; [16.88297872 52.11702128],0
s2,1,0.262888,1.253484,[14 28] ; [26 81],[11.27516779 30.72483221] ; [28.72483221 78.27516779],0
v4,1,0.279491,1.169565,[37  4] ; [89 18],[34.90540541  6.09459459] ; [91.09459459 15.90540541],0
p6,1,0.300251,1.073077,[ 7 35] ; [26 80],[ 9.36486486 32.63513514] ; [23.63513514 82.36486486],0
u2,1,0.39569,0.721384,[11 12] ; [21 35],[ 9.3164557 13.6835443] ; [22.6835443 33.3164557],0
s6,1,0.41947,0.651799,[16 26] ; [49 59],[18.2 23.8] ; [46.8 61.2],0
p1,1,0.476879,0.505992,[ 6 36] ; [11 97],[ 4.76 37.24] ; [12.24 95.76],0
b5,1,0.504036,0.446429,[27 15] ; [63 45],[25.2 16.8] ; [64.8 43.2],0
v2,1,0.505433,0.44351,[13 28] ; [38 63],[14.72535211 26.27464789] ; [36.27464789 64.72535211],0
p8,1,0.520637,0.412632,[18 24] ; [39 66],[16.28571429 25.71428571] ; [40.71428571 64.28571429],0
p12,1,0.528019,0.398203,[ 1 41] ; [  5 103],[ 1.68 40.32] ; [  4.32 103.68],0
a1,1,0.528019,0.398203,[ 1 41] ; [  5 103],[ 1.68 40.32] ; [  4.32 103.68],0
a5,1,0.531568,0.391392,[19 23] ; [55 53],[20.72 21.28] ; [53.28 54.72],0
n3,1,0.551522,0.354598,[12  3] ; [23  9],[11.17021277  3.82978723] ; [23.82978723  8.17021277],0
s1,1,0.556268,0.346207,[ 3 39] ; [  5 101],[ 2.27027027 39.72972973] ; [  5.72972973 100.27027027],0
s4,1,0.571773,0.319724,[ 7 35] ; [14 93],[ 5.91946309 36.08053691] ; [15.08053691 91.91946309],0
a6,1,0.577635,0.310074,[22 20] ; [62 46],[23.52 18.48] ; [60.48 47.52],0
p7,1,0.601297,0.273044,[23 19] ; [53 53],[21.56756757 20.43243243] ; [54.43243243 51.56756757],0
r2,1,0.609928,0.26028,[36  6] ; [88 19],[34.95302013  7.04697987] ; [89.04697987 17.95302013],0
b1,1,0.616313,0.251084,[19 23] ; [44 64],[17.64 24.36] ; [45.36 62.64],0
a8,1,0.621749,0.243417,[ 3 37] ; [10 88],[ 3.76811594 36.23188406] ; [ 9.23188406 88.76811594],0
s7,1,0.623641,0.240784,[10 31] ; [29 73],[11.18181818 29.81818182] ; [27.81818182 74.18181818],0
s3,1,0.669778,0.181862,[19 22] ; [45 61],[17.85034014 23.14965986] ; [46.14965986 59.85034014],0
b4,1,0.67286,0.178275,[19 23] ; [53 55],[20.16 21.84] ; [51.84 56.16],0
a3,1,0.675065,0.175734,[19 23] ; [52 54],[20.14864865 21.85135135] ; [50.85135135 55.14864865],0
d1,1,0.685315,0.164204,[ 1 41] ; [  4 104],[ 1.4 40.6] ; [  3.6 104.4],0
s8,1,0.742174,0.108225,[12 30] ; [28 80],[11.2 30.8] ; [28.8 79.2],0
r4,1,0.75823,0.094745,[31 11] ; [77 31],[30.24 11.76] ; [77.76 30.24],0
a2,1,0.809316,0.05823,[ 3 39] ; [ 9 99],[ 3.36 38.64] ; [ 8.64 99.36],0
a7,1,0.835318,0.043216,[22 19] ; [60 48],[22.56375839 18.43624161] ; [59.43624161 48.56375839],0
n2,1,0.946225,0.004549,[11  5] ; [23 10],[11.10204082  4.89795918] ; [22.89795918 10.10204082],0
r1,1,0.988182,0.000219,[24 18] ; [61 46],[23.95973154 18.04026846] ; [61.04026846 45.95973154],0
