Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,1e-06,23.421475,[29  5] ; [63 96],[16.20725389 17.79274611] ; [75.79274611 83.20725389],1
p1,1,2.3e-05,17.927099,[11 24] ; [ 11 153],[ 3.86934673 31.13065327] ; [ 18.13065327 145.86934673],1
p4,1,3.1e-05,17.336062,[33  1] ; [99 66],[22.55276382 11.44723618] ; [109.44723618  55.55276382],1
p6,1,5.9e-05,16.122375,[24 10] ; [ 55 109],[13.56565657 20.43434343] ; [65.43434343 98.56565657],1
p8,1,9e-05,15.331835,[32  3] ; [92 72],[21.80904523 13.19095477] ; [102.19095477  61.80904523],1
p12,1,0.000478,12.19914,[13 22] ; [ 21 144],[ 5.95 29.05] ; [ 28.05 136.95],1
s7,1,0.00266,9.027031,[32  3] ; [104  54],[24.66321244 10.33678756] ; [111.33678756  46.66321244],0
p3,1,0.003901,8.329511,[28  6] ; [92 73],[20.50251256 13.49748744] ; [99.49748744 65.50251256],0
a1,1,0.003964,8.300395,[ 7 28] ; [  9 156],[ 2.8 32.2] ; [ 13.2 151.8],0
b5,1,0.013348,6.122449,[13 22] ; [99 66],[19.6 15.4] ; [92.4 72.6],0
s8,1,0.017645,5.631018,[28  6] ; [100  64],[21.97979798 12.02020202] ; [106.02020202  57.97979798],0
a2,1,0.019059,5.496071,[ 4 31] ; [ 51 114],[ 9.625 25.375] ; [ 45.375 119.625],0
a6,1,0.023501,5.131098,[17 17] ; [115  49],[22.66666667 11.33333333] ; [109.33333333  54.66666667],0
s6,1,0.037708,4.318134,[34  1] ; [134  26],[30.15384615  4.84615385] ; [137.84615385  22.15384615],0
p7,1,0.05999,3.537666,[29  5] ; [111  49],[24.53608247  9.46391753] ; [115.46391753  44.53608247],0
n5,1,0.067634,3.339518,[33  2] ; [135  30],[29.4  5.6] ; [138.6  26.4],0
s1,1,0.075382,3.161761,[ 3 32] ; [  4 159],[ 1.23737374 33.76262626] ; [  5.76262626 157.23737374],0
n4,1,0.090299,2.869026,[33  2] ; [137  28],[29.75  5.25] ; [140.25  24.75],0
s2,1,0.095825,2.773692,[32  3] ; [131  34],[28.525  6.475] ; [134.475  30.525],0
n6,1,0.110742,2.543603,[33  1] ; [144  20],[30.39393939  3.60606061] ; [146.60606061  17.39393939],0
r1,1,0.119866,2.419065,[33  2] ; [139  26],[30.1  4.9] ; [141.9  23.1],0
v1,1,0.126916,2.329822,[28  7] ; [109  54],[24.21717172 10.78282828] ; [112.78282828  50.21717172],0
u4,1,0.128643,2.308802,[ 3 32] ; [  5 160],[ 1.4 33.6] ; [  6.6 158.4],0
