Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a5,1,0.006051,7.534997,[13  4] ; [3 9],[9.37931034 7.62068966] ; [6.62068966 5.37931034],0
v1,1,0.023194,5.153883,[10  7] ; [ 2 10],[7.03448276 9.96551724] ; [4.96551724 7.03448276],0
a4,1,0.026411,4.928894,[8 9] ; [ 1 11],[ 5.27586207 11.72413793] ; [3.72413793 8.27586207],0
r1,1,0.035078,4.441387,[11  6] ; [3 9],[8.20689655 8.79310345] ; [5.79310345 6.20689655],0
p3,1,0.047388,3.931571,[9 8] ; [ 2 10],[ 6.44827586 10.55172414] ; [4.55172414 7.44827586],0
u2,1,0.048328,3.898526,[2 5] ; [5 1],[3.76923077 3.23076923] ; [3.23076923 2.76923077],0
s3,1,0.089906,2.876058,[8 9] ; [ 2 10],[ 5.86206897 11.13793103] ; [4.13793103 7.86206897],0
d5,1,0.094362,2.798336,[13  4] ; [5 6],[10.92857143  6.07142857] ; [7.07142857 3.92857143],0
n5,1,0.119358,2.425726,[12  5] ; [5 7],[9.96551724 7.03448276] ; [7.03448276 4.96551724],0
b5,1,0.132407,2.264057,[8 9] ; [9 3],[9.96551724 7.03448276] ; [7.03448276 4.96551724],0
b4,1,0.139657,2.181734,[ 4 13] ; [6 6],[ 5.86206897 11.13793103] ; [4.13793103 7.86206897],0
v3,1,0.15789,1.994317,[ 2 15] ; [4 8],[ 3.51724138 13.48275862] ; [2.48275862 9.51724138],0
d1,1,0.159982,1.974401,[ 7 10] ; [ 2 10],[ 5.27586207 11.72413793] ; [3.72413793 8.27586207],0
p11,1,0.21918,1.509733,[11  6] ; [5 7],[9.37931034 7.62068966] ; [6.62068966 5.37931034],0
r4,1,0.260426,1.266488,[12  5] ; [6 6],[10.55172414  6.44827586] ; [7.44827586 4.55172414],0
s5,1,0.356216,0.85119,[ 3 11] ; [ 1 11],[ 2.15384615 11.84615385] ; [ 1.84615385 10.15384615],0
s2,1,0.36671,0.814783,[ 7 10] ; [3 9],[ 5.86206897 11.13793103] ; [4.13793103 7.86206897],0
p4,1,0.36671,0.814783,[ 7 10] ; [3 9],[ 5.86206897 11.13793103] ; [4.13793103 7.86206897],0
u3,1,0.390636,0.736961,[3 4] ; [4 2],[3.76923077 3.23076923] ; [3.23076923 2.76923077],0
p2,1,0.42956,0.624013,[12  5] ; [10  2],[12.89655172  4.10344828] ; [9.10344828 2.89655172],0
b3,1,0.435488,0.608144,[3 8] ; [1 7],[2.31578947 8.68421053] ; [1.68421053 6.31578947],0
b2,1,0.435488,0.608144,[3 8] ; [1 7],[2.31578947 8.68421053] ; [1.68421053 6.31578947],0
a7,1,0.453323,0.562329,[10  7] ; [8 3],[10.92857143  6.07142857] ; [7.07142857 3.92857143],0
b1,1,0.459822,0.546328,[8 9] ; [4 8],[7.03448276 9.96551724] ; [4.96551724 7.03448276],0
n1,1,0.465209,0.533333,[2 1] ; [2 3],[1.5 1.5] ; [2.5 2.5],0
n2,1,0.465209,0.533333,[1 2] ; [3 2],[1.5 1.5] ; [2.5 2.5],0
p6,1,0.494084,0.467621,[ 5 12] ; [5 7],[ 5.86206897 11.13793103] ; [4.13793103 7.86206897],0
n6,1,0.494084,0.467621,[12  5] ; [7 5],[11.13793103  5.86206897] ; [7.86206897 4.13793103],0
d3,1,0.502716,0.449198,[12  5] ; [9 2],[12.75  4.25] ; [8.25 2.75],0
p8,1,0.555086,0.348284,[ 6 11] ; [3 9],[ 5.27586207 11.72413793] ; [3.72413793 8.27586207],0
p10,1,0.555086,0.348284,[11  6] ; [9 3],[11.72413793  5.27586207] ; [8.27586207 3.72413793],0
r3,1,0.560714,0.338469,[13  4] ; [8 4],[12.31034483  4.68965517] ; [8.68965517 3.31034483],0
a3,1,0.637947,0.221437,[10  7] ; [6 6],[9.37931034 7.62068966] ; [6.62068966 5.37931034],0
s8,1,0.653188,0.201904,[ 4 13] ; [ 2 10],[ 3.51724138 13.48275862] ; [2.48275862 9.51724138],0
v2,1,0.668129,0.183799,[ 7 10] ; [4 8],[ 6.44827586 10.55172414] ; [4.55172414 7.44827586],0
u1,1,0.765064,0.089304,[ 2 15] ; [ 1 11],[ 1.75862069 15.24137931] ; [ 1.24137931 10.75862069],0
d4,1,0.793475,0.06854,[12  5] ; [9 3],[12.31034483  4.68965517] ; [8.68965517 3.31034483],0
d2,1,0.793475,0.06854,[ 5 12] ; [3 9],[ 4.68965517 12.31034483] ; [3.31034483 8.68965517],0
s7,1,0.819872,0.051852,[ 6 10] ; [4 8],[ 5.71428571 10.28571429] ; [4.28571429 7.71428571],0
p9,1,0.822118,0.050545,[12  5] ; [8 4],[11.72413793  5.27586207] ; [8.27586207 3.72413793],0
r2,1,0.824653,0.049091,[12  3] ; [10  2],[12.22222222  2.77777778] ; [9.77777778 2.22222222],0
n3,1,0.850436,0.035556,[2 1] ; [3 2],[1.875 1.125] ; [3.125 1.875],0
a6,1,0.875948,0.02437,[9 8] ; [6 6],[8.79310345 8.20689655] ; [6.20689655 5.79310345],0
v4,1,0.886731,0.02029,[13  3] ; [10  2],[13.14285714  2.85714286] ; [9.85714286 2.14285714],0
p7,1,0.933748,0.006911,[8 9] ; [5 6],[7.89285714 9.10714286] ; [5.10714286 5.89285714],0
