Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.000195,13.880376,[27 75] ; [18 10],[35.30769231 66.69230769] ; [ 9.69230769 18.30769231],1
s6,1,0.00043,12.398608,[35 67] ; [20  8],[43.15384615 58.84615385] ; [11.84615385 16.15384615],1
b4,1,0.003112,8.740599,[52 50] ; [23  5],[58.84615385 43.15384615] ; [16.15384615 11.84615385],0
s7,1,0.003466,8.544083,[22 76] ; [13 12],[27.88617886 70.11382114] ; [ 7.11382114 17.88617886],0
s4,1,0.004784,7.959416,[13 89] ; [10 18],[18.04615385 83.95384615] ; [ 4.95384615 23.04615385],0
s8,1,0.027746,4.843753,[17 85] ; [10 18],[21.18461538 80.81538462] ; [ 5.81538462 22.18461538],0
p6,1,0.028972,4.769254,[14 85] ; [ 9 19],[17.92913386 81.07086614] ; [ 5.07086614 22.92913386],0
p5,1,0.034121,4.488617,[ 2 99] ; [ 3 25],[ 3.91472868 97.08527132] ; [ 1.08527132 26.91472868],0
s3,1,0.040154,4.21137,[36 65] ; [16 12],[40.71317829 60.28682171] ; [11.28682171 16.71317829],0
d4,1,0.043534,4.074553,[63 39] ; [23  5],[67.47692308 34.52307692] ; [18.52307692  9.47692308],0
p1,1,0.043723,4.06722,[ 6 96] ; [ 5 23],[ 8.63076923 93.36923077] ; [ 2.36923077 25.63076923],0
v4,1,0.044043,4.054917,[72 30] ; [25  3],[76.10769231 25.89230769] ; [20.89230769  7.10769231],0
d3,1,0.050943,3.810149,[47 53] ; [19  9],[51.5625 48.4375] ; [14.4375 13.5625],0
s1,1,0.054389,3.700714,[  1 101] ; [ 2 26],[ 2.35384615 99.64615385] ; [ 0.64615385 27.35384615],0
r4,1,0.058557,3.577789,[45 57] ; [18 10],[49.43076923 52.56923077] ; [13.56923077 14.43076923],0
n5,1,0.06786,3.334044,[70 32] ; [14 14],[65.90769231 36.09230769] ; [18.09230769  9.90769231],0
u3,1,0.116252,2.46711,[11 27] ; [6 5],[13.18367347 24.81632653] ; [3.81632653 7.18367347],0
p2,1,0.152398,2.048085,[57 44] ; [20  8],[60.28682171 40.71317829] ; [16.71317829 11.28682171],0
u1,1,0.158373,1.98969,[ 4 98] ; [ 3 25],[ 5.49230769 96.50769231] ; [ 1.50769231 26.49230769],0
n4,1,0.187641,1.736041,[65 37] ; [14 14],[61.98461538 40.01538462] ; [17.01538462 10.98461538],0
p10,1,0.190458,1.714075,[54 46] ; [19  9],[57.03125 42.96875] ; [15.96875 12.03125],0
v3,1,0.199404,1.646733,[24 77] ; [ 3 22],[21.64285714 79.35714286] ; [ 5.35714286 19.64285714],0
a6,1,0.2055,1.602847,[61 41] ; [13 15],[58.06153846 43.93846154] ; [15.93846154 12.06153846],0
p3,1,0.238468,1.389628,[28 73] ; [11 17],[30.53488372 70.46511628] ; [ 8.46511628 19.53488372],0
u2,1,0.247772,1.335825,[13 24] ; [6 5],[14.64583333 22.35416667] ; [4.35416667 6.64583333],0
n3,1,0.264855,1.243201,[25 14] ; [5 6],[23.4 15.6] ; [6.6 4.4],0
n2,1,0.265956,1.237488,[25 14] ; [9 2],[26.52 12.48] ; [7.48 3.52],0
a4,1,0.269772,1.217903,[32 69] ; [12 16],[34.4496124 66.5503876] ; [ 9.5503876 18.4496124],0
d1,1,0.281521,1.159734,[36 66] ; [13 15],[38.44615385 63.55384615] ; [10.55384615 17.44615385],0
p9,1,0.283103,1.152132,[65 32] ; [21  6],[67.27419355 29.72580645] ; [18.72580645  8.27419355],0
r2,1,0.306361,1.046299,[71 28] ; [22  5],[73.07142857 25.92857143] ; [19.92857143  7.07142857],0
d2,1,0.323801,0.973531,[40 61] ; [14 14],[42.27906977 58.72093023] ; [11.72093023 16.27906977],0
r3,1,0.335946,0.92584,[74 27] ; [23  5],[75.94573643 25.05426357] ; [21.05426357  6.94573643],0
p4,1,0.35053,0.871537,[34 68] ; [12 16],[36.09230769 65.90769231] ; [ 9.90769231 18.09230769],0
v1,1,0.357814,0.845549,[32 66] ; [11 15],[33.98387097 64.01612903] ; [ 9.01612903 16.98387097],0
b5,1,0.378516,0.775515,[64 38] ; [15 13],[61.98461538 40.01538462] ; [17.01538462 10.98461538],0
a7,1,0.495059,0.465513,[54 47] ; [17 11],[55.58914729 45.41085271] ; [15.41085271 12.58914729],0
d5,1,0.545785,0.364922,[66 35] ; [20  8],[67.33333333 33.66666667] ; [18.66666667  9.33333333],0
n6,1,0.633169,0.227788,[68 34] ; [20  8],[69.04615385 32.95384615] ; [18.95384615  9.04615385],0
a8,1,0.662271,0.190776,[10 88] ; [ 2 25],[ 9.408 88.592] ; [ 2.592 24.408],0
a5,1,0.669598,0.182073,[50 52] ; [15 13],[51. 51.] ; [14. 14.],0
n1,1,0.722279,0.12632,[15 23] ; [5 6],[15.51020408 22.48979592] ; [4.48979592 6.51020408],0
b2,1,0.741713,0.108627,[25 38] ; [ 6 11],[24.4125 38.5875] ; [ 6.5875 10.4125],0
b3,1,0.741713,0.108627,[25 38] ; [ 6 11],[24.4125 38.5875] ; [ 6.5875 10.4125],0
p7,1,0.762619,0.091231,[33 68] ; [10 18],[33.66666667 67.33333333] ; [ 9.33333333 18.66666667],0
a1,1,0.777138,0.080118,[ 9 93] ; [ 2 26],[ 8.63076923 93.36923077] ; [ 2.36923077 25.63076923],0
v2,1,0.804262,0.061422,[33 66] ; [ 8 18],[32.472 66.528] ; [ 8.528 17.472],0
a2,1,0.877526,0.023749,[12 90] ; [ 3 25],[11.76923077 90.23076923] ; [ 3.23076923 24.76923077],0
p11,1,0.978847,0.000703,[58 44] ; [16 12],[58.06153846 43.93846154] ; [15.93846154 12.06153846],0
a3,1,0.983385,0.000434,[64 38] ; [17 10],[64.04651163 37.95348837] ; [16.95348837 10.04651163],0
b1,1,1.0,0.0,[51 51] ; [14 14],[51. 51.] ; [14. 14.],0
