Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,35.254503,[80 11] ; [11 21],[67.32520325 23.67479675] ; [23.67479675  8.32520325],1
p10,1,0.003139,8.72466,[78 12] ; [20 12],[72.29508197 17.70491803] ; [25.70491803  6.29508197],0
p9,1,0.00403,8.270039,[82  9] ; [22 10],[76.94308943 14.05691057] ; [27.05691057  4.94308943],0
v1,1,0.02579,4.970015,[55 34] ; [12 19],[49.69166667 39.30833333] ; [17.30833333 13.69166667],0
d1,1,0.036734,4.362723,[59 32] ; [14 18],[54.00813008 36.99186992] ; [18.99186992 13.00813008],0
u2,1,0.04394,4.058847,[13 21] ; [11  5],[16.32 17.68] ; [7.68 8.32],0
n6,1,0.056935,3.624481,[78 12] ; [23  9],[74.50819672 15.49180328] ; [26.49180328  5.50819672],0
s3,1,0.067781,3.335964,[42 48] ; [ 9 23],[37.62295082 52.37704918] ; [13.37704918 18.62295082],0
u1,1,0.094194,2.801199,[17 74] ; [ 2 30],[14.05691057 76.94308943] ; [ 4.94308943 27.05691057],0
v3,1,0.113455,2.505428,[29 57] ; [ 6 26],[25.50847458 60.49152542] ; [ 9.49152542 22.50847458],0
b3,1,0.115361,2.479196,[25 28] ; [ 4 12],[22.27536232 30.72463768] ; [6.72463768 9.27536232],0
b2,1,0.115361,2.479196,[25 28] ; [ 4 12],[22.27536232 30.72463768] ; [6.72463768 9.27536232],0
b1,1,0.127078,2.327844,[37 54] ; [18 14],[40.69105691 50.30894309] ; [14.30894309 17.69105691],0
d5,1,0.129022,2.304231,[76 15] ; [22  9],[73.09836066 17.90163934] ; [24.90163934  6.09836066],0
n1,1,0.143687,2.138024,[5 7] ; [ 2 11],[3.36 8.64] ; [3.64 9.36],0
d4,1,0.152909,2.042992,[76 15] ; [23  9],[73.24390244 17.75609756] ; [25.75609756  6.24390244],0
u3,1,0.15918,1.981995,[14 20] ; [10  6],[16.32 17.68] ; [7.68 8.32],0
a1,1,0.169761,1.885051,[ 3 88] ; [ 3 29],[ 4.43902439 86.56097561] ; [ 1.56097561 30.43902439],0
p2,1,0.187703,1.735554,[82  9] ; [26  6],[79.90243902 11.09756098] ; [28.09756098  3.90243902],0
a3,1,0.210618,1.567171,[57 34] ; [16 16],[54.00813008 36.99186992] ; [18.99186992 13.00813008],0
a6,1,0.273702,1.198101,[61 30] ; [18 14],[58.44715447 32.55284553] ; [20.55284553 11.44715447],0
a8,1,0.291984,1.11045,[11 70] ; [ 2 29],[ 9.40178571 71.59821429] ; [ 3.59821429 27.40178571],0
s5,1,0.29492,1.097023,[26 61] ; [ 6 24],[23.79487179 63.20512821] ; [ 8.20512821 21.79487179],0
p5,1,0.355524,0.853642,[11 80] ; [ 2 30],[ 9.61788618 81.38211382] ; [ 3.38211382 28.61788618],0
p4,1,0.359707,0.838915,[70 21] ; [22 10],[68.06504065 22.93495935] ; [23.93495935  8.06504065],0
a4,1,0.361715,0.83193,[45 45] ; [13 19],[42.78688525 47.21311475] ; [15.21311475 16.78688525],0
a2,1,0.374507,0.788657,[21 70] ; [ 5 27],[19.23577236 71.76422764] ; [ 6.76422764 25.23577236],0
d2,1,0.389657,0.740012,[45 46] ; [13 19],[42.91056911 48.08943089] ; [15.08943089 16.91056911],0
p11,1,0.443768,0.586519,[79 12] ; [26  6],[77.68292683 13.31707317] ; [27.31707317  4.68292683],0
v4,1,0.453444,0.562028,[85  5] ; [29  3],[84.09836066  5.90163934] ; [29.90163934  2.09836066],0
p8,1,0.460426,0.544859,[66 25] ; [21 11],[64.36585366 26.63414634] ; [22.63414634  9.36585366],0
a5,1,0.484485,0.488751,[63 28] ; [20 12],[61.40650407 29.59349593] ; [21.59349593 10.40650407],0
s2,1,0.554646,0.349059,[33 56] ; [10 22],[31.62809917 57.37190083] ; [11.37190083 20.62809917],0
b4,1,0.581243,0.304229,[59 32] ; [19 13],[57.70731707 33.29268293] ; [20.29268293 11.70731707],0
p3,1,0.588465,0.292748,[49 42] ; [19 13],[50.30894309 40.69105691] ; [17.69105691 14.30894309],0
p1,1,0.608921,0.261749,[11 80] ; [ 5 27],[11.83739837 79.16260163] ; [ 4.16260163 27.83739837],0
s4,1,0.61174,0.257649,[14 72] ; [ 4 28],[13.11864407 72.88135593] ; [ 4.88135593 27.11864407],0
n2,1,0.658387,0.195489,[9 4] ; [10  3],[9.5 3.5] ; [9.5 3.5],0
