Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.0,98.681124,[ 67 157] ; [344 151],[128.04450626  95.95549374] ; [282.95549374 212.04450626],1
p6,1,0.0,66.018271,[ 38 186] ; [241 252],[ 87.16317992 136.83682008] ; [191.83682008 301.16317992],1
p3,1,0.0,47.317286,[ 75 150] ; [304 195],[117.78314917 107.21685083] ; [261.21685083 237.78314917],1
p4,1,0.0,34.595821,[110 116] ; [355 143],[145.1519337  80.8480663] ; [319.8480663 178.1519337],1
s5,1,7e-06,20.155998,[ 46 168] ; [189 297],[ 71.84285714 142.15714286] ; [163.15714286 322.84285714],1
s8,1,1.8e-05,18.402575,[ 74 150] ; [250 248],[100.52077562 123.47922438] ; [223.47922438 274.52077562],1
p10,1,5.8e-05,16.159929,[168  56] ; [431  64],[186.6147427  37.3852573] ; [412.3852573  82.6147427],1
s7,1,7.5e-05,15.66794,[ 82 131] ; [263 217],[106.03896104 106.96103896] ; [238.96103896 241.03896104],1
p11,1,0.001657,9.89586,[169  57] ; [422  77],[184.22896552  41.77103448] ; [406.77103448  92.22896552],0
p5,1,0.001792,9.75166,[ 14 212] ; [ 71 427],[ 26.53314917 199.46685083] ; [ 58.46685083 439.53314917],0
r4,1,0.001904,9.639745,[199  27] ; [472  27],[209.16689655  16.83310345] ; [461.83310345  37.16689655],0
v3,1,0.002394,9.220263,[ 68 150] ; [210 275],[ 86.20768137 131.79231863] ; [191.79231863 293.20768137],0
s6,1,0.004539,8.054713,[135  88] ; [347 140],[151.38873239  71.61126761] ; [330.61126761 156.38873239],0
a2,1,0.005869,7.589992,[ 39 187] ; [133 366],[ 53.61655172 172.38344828] ; [118.38344828 380.61655172],0
a3,1,0.006946,7.286942,[147  79] ; [371 125],[162.14404432  63.85595568] ; [355.85595568 140.14404432],0
r1,1,0.008065,7.019059,[171  54] ; [417  78],[183.75  41.25] ; [404.25  90.75],0
a1,1,0.00827,6.974,[  3 223] ; [ 28 471],[  9.66344828 216.33655172] ; [ 21.33655172 477.66344828],0
v4,1,0.011345,6.410512,[211  14] ; [483  12],[216.875   8.125] ; [477.125  17.875],0
p9,1,0.014689,5.95345,[184  39] ; [442  54],[194.15577191  28.84422809] ; [431.84422809  64.15577191],0
n5,1,0.020338,5.38266,[156  69] ; [384 112],[168.51595007  56.48404993] ; [371.48404993 124.51595007],0
b5,1,0.023984,5.095798,[150  76] ; [287 212],[136.22344828  89.77655172] ; [300.77655172 198.22344828],0
n6,1,0.036349,4.380665,[183  42] ; [432  63],[192.1875  32.8125] ; [422.8125  72.1875],0
v1,1,0.037827,4.31279,[109 109] ; [285 203],[121.66005666  96.33994334] ; [272.33994334 215.66005666],0
a5,1,0.042773,4.104363,[155  71] ; [378 121],[166.14896552  59.85103448] ; [366.85103448 132.14896552],0
u1,1,0.053441,3.730061,[ 31 195] ; [ 98 401],[ 40.21241379 185.78758621] ; [ 88.78758621 410.21241379],0
