Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,1.8e-05,18.355927,[101  34] ; [19 28],[89.01098901 45.98901099] ; [30.98901099 16.01098901],1
p11,1,0.001004,10.820476,[110  25] ; [27 20],[101.62087912  33.37912088] ; [35.37912088 11.62087912],0
r4,1,0.001028,10.776873,[125  10] ; [35 12],[118.68131868  16.31868132] ; [41.31868132  5.68131868],0
a1,1,0.001153,10.563956,[  2 133] ; [ 6 41],[  5.93406593 129.06593407] ; [ 2.06593407 44.93406593],0
p10,1,0.001981,9.56686,[109  24] ; [28 19],[101.22777778  31.77222222] ; [35.77222222 11.22777778],0
r3,1,0.004086,8.245242,[132   3] ; [41  6],[128.32417582   6.67582418] ; [44.67582418  2.32417582],0
s1,1,0.004295,8.154506,[  1 132] ; [ 4 41],[  3.73595506 129.26404494] ; [ 1.26404494 43.73595506],0
p9,1,0.006891,7.301047,[111  23] ; [30 17],[104.38674033  29.61325967] ; [36.61325967 10.38674033],0
d5,1,0.011138,6.443216,[106  29] ; [28 19],[99.3956044 35.6043956] ; [34.6043956 12.3956044],0
p2,1,0.011164,6.439062,[114  20] ; [32 15],[108.08839779  25.91160221] ; [37.91160221  9.08839779],0
n5,1,0.014346,5.995049,[97 38] ; [24 22],[90.24861878 44.75138122] ; [30.75138122 15.24861878],0
r2,1,0.018098,5.586664,[127   6] ; [40  7],[123.39444444   9.60555556] ; [43.60555556  3.39444444],0
s5,1,0.035985,4.397816,[41 88] ; [ 7 38],[35.5862069 93.4137931] ; [12.4137931 32.5862069],0
b2,1,0.042795,4.103471,[27 44] ; [ 4 21],[22.92708333 48.07291667] ; [ 8.07291667 16.92708333],0
b3,1,0.042795,4.103471,[27 44] ; [ 4 21],[22.92708333 48.07291667] ; [ 8.07291667 16.92708333],0
u2,1,0.045278,4.008249,[23 33] ; [14  7],[26.90909091 29.09090909] ; [10.09090909 10.90909091],0
v1,1,0.055227,3.675209,[66 64] ; [15 29],[60.51724138 69.48275862] ; [20.48275862 23.51724138],0
a7,1,0.063711,3.438054,[104  30] ; [30 17],[99.20441989 34.79558011] ; [34.79558011 12.20441989],0
v2,1,0.064446,3.419109,[64 61] ; [15 28],[58.7797619 66.2202381] ; [20.2202381 22.7797619],0
a2,1,0.071139,3.256538,[ 27 108] ; [ 4 43],[ 22.99450549 112.00549451] ; [ 8.00549451 38.99450549],0
s6,1,0.115516,2.477084,[95 37] ; [28 19],[90.70391061 41.29608939] ; [32.29608939 14.70391061],0
v4,1,0.132948,2.257745,[124  10] ; [40  7],[121.41436464  12.58563536] ; [42.58563536  4.41436464],0
s4,1,0.158735,1.986234,[ 26 106] ; [ 5 42],[ 22.8603352 109.1396648] ; [ 8.1396648 38.8603352],0
p8,1,0.187485,1.73727,[62 73] ; [16 30],[58.17679558 76.82320442] ; [19.82320442 26.17679558],0
b1,1,0.194109,1.686154,[46 89] ; [21 26],[49.6978022 85.3021978] ; [17.3021978 29.6978022],0
u1,1,0.198965,1.649954,[ 18 117] ; [ 3 44],[ 15.57692308 119.42307692] ; [ 5.42307692 41.57692308],0
d1,1,0.202984,1.620771,[72 63] ; [20 27],[68.24175824 66.75824176] ; [23.75824176 23.24175824],0
p7,1,0.2598,1.269822,[81 52] ; [22 21],[77.83522727 55.16477273] ; [25.16477273 17.83522727],0
d3,1,0.266766,1.233302,[87 48] ; [26 21],[83.81868132 51.18131868] ; [29.18131868 17.81868132],0
