Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,1.2e-05,19.217898,[12 24] ; [38  9],[21.68674699 14.31325301] ; [28.31325301 18.68674699],1
a5,1,0.004003,8.282412,[11 25] ; [31 19],[17.58139535 18.41860465] ; [24.41860465 25.58139535],0
a4,1,0.012514,6.236485,[ 6 30] ; [21 29],[11.30232558 24.69767442] ; [15.69767442 34.30232558],0
n6,1,0.012795,6.197225,[20 16] ; [38  9],[25.15662651 10.84337349] ; [32.84337349 14.15662651],0
s6,1,0.02083,5.340973,[13 23] ; [29 18],[18.21686747 17.78313253] ; [23.78313253 23.21686747],0
v2,1,0.032191,4.58832,[10 25] ; [25 23],[14.75903614 20.24096386] ; [20.24096386 27.75903614],0
s7,1,0.033852,4.502154,[10 25] ; [23 21],[14.62025316 20.37974684] ; [18.37974684 25.62025316],0
a6,1,0.068487,3.318911,[13 23] ; [28 22],[17.1627907 18.8372093] ; [23.8372093 26.1627907],0
v3,1,0.079071,3.0839,[ 4 32] ; [13 36],[ 7.2 28.8] ; [ 9.8 39.2],0
r3,1,0.098992,2.721713,[21 15] ; [34 11],[24.44444444 11.55555556] ; [30.55555556 14.44444444],0
a3,1,0.119141,2.428571,[15 20] ; [30 20],[18.52941176 16.47058824] ; [26.47058824 23.52941176],0
d2,1,0.122765,2.381682,[ 7 29] ; [17 32],[10.16470588 25.83529412] ; [13.83529412 35.16470588],0
p11,1,0.138034,2.199738,[22 14] ; [38 12],[25.11627907 10.88372093] ; [34.88372093 15.11627907],0
u3,1,0.164595,1.931495,[10 11] ; [ 5 14],[ 7.875 13.125] ; [ 7.125 11.875],0
n2,1,0.192622,1.697452,[10  8] ; [13  4],[11.82857143  6.17142857] ; [11.17142857  5.82857143],0
a7,1,0.195841,1.673123,[22 14] ; [23 26],[19.05882353 16.94117647] ; [25.94117647 23.05882353],0
s4,1,0.201657,1.630331,[10 26] ; [ 8 41],[ 7.62352941 28.37647059] ; [10.37647059 38.62352941],0
s8,1,0.212428,1.5548,[ 8 28] ; [17 32],[10.58823529 25.41176471] ; [14.41176471 34.58823529],0
s2,1,0.216017,1.530638,[12 24] ; [22 25],[14.74698795 21.25301205] ; [19.25301205 27.74698795],0
d5,1,0.238857,1.387325,[20 16] ; [34 16],[22.60465116 13.39534884] ; [31.39534884 18.60465116],0
p3,1,0.27872,1.17332,[11 25] ; [21 29],[13.39534884 22.60465116] ; [18.60465116 31.39534884],0
a2,1,0.310092,1.030285,[ 2 34] ; [ 6 44],[ 3.34883721 32.65116279] ; [ 4.65116279 45.34883721],0
p6,1,0.337865,0.918517,[ 9 27] ; [17 32],[11.01176471 24.98823529] ; [14.98823529 34.01176471],0
n3,1,0.357617,0.846245,[10  8] ; [12  5],[11.31428571  6.68571429] ; [10.68571429  6.31428571],0
d3,1,0.362518,0.829153,[21 14] ; [25 25],[18.94117647 16.05882353] ; [27.05882353 22.94117647],0
p9,1,0.399134,0.710934,[25 11] ; [38 11],[26.68235294  9.31764706] ; [36.31764706 12.68235294],0
s3,1,0.427903,0.628507,[14 21] ; [22 23],[15.75 19.25] ; [20.25 24.75],0
b1,1,0.489243,0.478191,[20 16] ; [24 26],[18.41860465 17.58139535] ; [25.58139535 24.41860465],0
s5,1,0.521882,0.410172,[ 7 28] ; [12 34],[ 8.20987654 26.79012346] ; [10.79012346 35.20987654],0
p10,1,0.542218,0.371444,[23 13] ; [33 14],[24.28915663 11.71084337] ; [31.71084337 15.28915663],0
b5,1,0.548414,0.360167,[20 16] ; [31 19],[21.34883721 14.65116279] ; [29.65116279 20.34883721],0
r2,1,0.564062,0.33272,[21 14] ; [23 20],[19.74358974 15.25641026] ; [24.25641026 18.74358974],0
v1,1,0.565395,0.330449,[13 22] ; [20 26],[14.25925926 20.74074074] ; [18.74074074 27.25925926],0
p5,1,0.583683,0.300317,[ 3 33] ; [ 6 44],[ 3.76744186 32.23255814] ; [ 5.23255814 44.76744186],0
d1,1,0.598285,0.277591,[11 25] ; [18 32],[12.13953488 23.86046512] ; [16.86046512 33.13953488],0
b4,1,0.630451,0.23145,[19 17] ; [29 21],[20.09302326 15.90697674] ; [27.90697674 22.09302326],0
p4,1,0.661993,0.191111,[17 19] ; [26 24],[18. 18.] ; [25. 25.],0
r1,1,0.73051,0.118644,[10 26] ; [15 33],[10.71428571 25.28571429] ; [14.28571429 33.71428571],0
p12,1,0.747529,0.103619,[ 1 35] ; [ 2 47],[ 1.27058824 34.72941176] ; [ 1.72941176 47.27058824],0
a8,1,0.790671,0.070458,[ 2 32] ; [ 2 42],[ 1.74358974 32.25641026] ; [ 2.25641026 41.74358974],0
b2,1,0.790864,0.070325,[ 4 12] ; [10 25],[ 4.39215686 11.60784314] ; [ 9.60784314 25.39215686],0
b3,1,0.790864,0.070325,[ 4 12] ; [10 25],[ 4.39215686 11.60784314] ; [ 9.60784314 25.39215686],0
p8,1,0.852281,0.034674,[14 21] ; [19 31],[13.58823529 21.41176471] ; [19.41176471 30.58823529],0
u2,1,0.882107,0.021992,[11 10] ; [9 9],[10.76923077 10.23076923] ; [9.23076923 8.76923077],0
p7,1,0.882572,0.021818,[18 17] ; [26 23],[18.33333333 16.66666667] ; [25.66666667 23.33333333],0
n1,1,0.91483,0.011438,[ 5 13] ; [ 5 12],[ 5.14285714 12.85714286] ; [ 4.85714286 12.14285714],0
v4,1,0.946212,0.004551,[27  8] ; [35 10],[27.125  7.875] ; [34.875 10.125],0
d4,1,0.947428,0.004348,[24 12] ; [33 16],[24.14117647 11.85882353] ; [32.85882353 16.14117647],0
u1,1,0.955525,0.00311,[ 3 33] ; [ 4 46],[ 2.93023256 33.06976744] ; [ 4.06976744 45.93023256],0
