Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p5,1,3.3e-05,17.23642,[5 4] ; [ 10 105],[1.08870968 7.91129032] ; [ 13.91129032 101.08870968],1
p12,1,0.044094,4.052973,[2 7] ; [  6 110],[0.576 8.424] ; [  7.424 108.576],0
p4,1,0.125308,2.34969,[7 2] ; [59 56],[4.79032258 4.20967742] ; [61.20967742 53.79032258],0
a5,1,0.170883,1.875178,[3 6] ; [66 50],[4.968 4.032] ; [64.032 51.968],0
d5,1,0.184545,1.760639,[5 4] ; [87 28],[6.67741935 2.32258065] ; [85.32258065 29.67741935],0
a8,1,0.190772,1.711648,[2 6] ; [11 99],[0.88135593 7.11864407] ; [12.11864407 97.88135593],0
d2,1,0.233901,1.416979,[5 4] ; [41 74],[3.33870968 5.66129032] ; [42.66129032 72.33870968],0
n2,1,0.248539,1.331497,[1 1] ; [29  6],[1.62162162 0.37837838] ; [28.37837838  6.62162162],0
v4,1,0.258432,1.277139,[8 1] ; [112   4],[8.64 0.36] ; [111.36   4.64],0
s3,1,0.299087,1.078261,[3 6] ; [59 56],[4.5 4.5] ; [57.5 57.5],0
s8,1,0.37138,0.799043,[2 7] ; [43 73],[3.24 5.76] ; [41.76 74.24],0
s5,1,0.389299,0.741132,[4 5] ; [33 75],[2.84615385 6.15384615] ; [34.15384615 73.84615385],0
u3,1,0.400076,0.708099,[1 3] ; [22 25],[1.80392157 2.19607843] ; [21.19607843 25.80392157],0
b1,1,0.424677,0.637336,[2 7] ; [41 75],[3.096 5.904] ; [39.904 76.096],0
a4,1,0.424677,0.637336,[2 7] ; [41 75],[3.096 5.904] ; [39.904 76.096],0
p7,1,0.43277,0.615378,[4 5] ; [66 48],[5.12195122 3.87804878] ; [64.87804878 49.12195122],0
s2,1,0.443085,0.58828,[3 6] ; [54 62],[4.104 4.896] ; [52.896 63.104],0
n3,1,0.451946,0.565767,[1 1] ; [26  9],[1.45945946 0.54054054] ; [25.54054054  9.45945946],0
n5,1,0.513907,0.426104,[7 2] ; [78 38],[6.12 2.88] ; [78.88 37.12],0
d3,1,0.521003,0.411907,[6 3] ; [64 51],[5.08064516 3.91935484] ; [64.91935484 50.08064516],0
v1,1,0.539265,0.376905,[3 6] ; [50 64],[3.87804878 5.12195122] ; [49.12195122 64.87804878],0
b2,1,0.548813,0.359448,[2 2] ; [25 46],[1.44 2.56] ; [25.56 45.44],0
b3,1,0.548813,0.359448,[2 2] ; [25 46],[1.44 2.56] ; [25.56 45.44],0
a1,1,0.548882,0.359323,[1 8] ; [  7 109],[0.576 8.424] ; [  7.424 108.576],0
a7,1,0.559621,0.34036,[5 4] ; [75 40],[5.80645161 3.19354839] ; [74.19354839 40.80645161],0
a6,1,0.567764,0.326439,[6 3] ; [66 50],[5.184 3.816] ; [66.816 49.184],0
d4,1,0.667753,0.184241,[6 3] ; [85 31],[6.552 2.448] ; [84.448 31.552],0
s6,1,0.671218,0.18018,[6 3] ; [66 45],[5.4 3.6] ; [66.6 44.4],0
p6,1,0.778577,0.079059,[3 6] ; [43 70],[3.39344262 5.60655738] ; [42.60655738 70.39344262],0
a3,1,0.817366,0.05333,[5 4] ; [69 47],[5.328 3.672] ; [68.672 47.328],0
b4,1,0.822866,0.050113,[6 3] ; [73 43],[5.688 3.312] ; [73.312 42.688],0
p3,1,0.863518,0.029549,[4 5] ; [55 61],[4.248 4.752] ; [54.752 61.248],0
p10,1,0.872863,0.025607,[7 2] ; [92 23],[7.18548387 1.81451613] ; [91.81451613 23.18548387],0
v2,1,0.884737,0.021015,[4 5] ; [47 65],[3.79338843 5.20661157] ; [47.20661157 64.79338843],0
d1,1,0.897489,0.016598,[4 5] ; [49 67],[3.816 5.184] ; [49.184 66.816],0
v3,1,0.92811,0.00814,[3 6] ; [39 73],[3.12396694 5.87603306] ; [38.87603306 73.12396694],0
p1,1,0.942167,0.005263,[1 8] ; [ 12 104],[0.936 8.064] ; [ 12.064 103.936],0
p8,1,0.94592,0.004601,[4 5] ; [52 62],[4.09756098 4.90243902] ; [51.90243902 62.09756098],0
b5,1,0.971779,0.001252,[6 3] ; [78 38],[6.048 2.952] ; [77.952 38.048],0
n4,1,0.971779,0.001252,[6 3] ; [78 38],[6.048 2.952] ; [77.952 38.048],0
p2,1,0.989405,0.000176,[7 2] ; [90 26],[6.984 2.016] ; [90.016 25.984],0
