Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,86.682226,[153   9] ; [12 27],[132.98507463  29.01492537] ; [32.01492537  6.98507463],1
p11,1,0.0,29.461982,[137  25] ; [17 22],[124.11940299  37.88059701] ; [29.88059701  9.11940299],1
n5,1,1.5e-05,18.786391,[132  29] ; [19 20],[121.555  39.445] ; [29.445  9.555],1
n6,1,3e-05,17.402267,[141  20] ; [23 16],[132.02  28.98] ; [31.98  7.02],1
u2,1,0.010097,6.617642,[40 23] ; [ 7 15],[34.83529412 28.16470588] ; [12.16470588  9.83529412],0
n1,1,0.025638,4.980237,[14 21] ; [8 2],[17.11111111 17.88888889] ; [4.88888889 5.11111111],0
r2,1,0.026011,4.955293,[145  16] ; [30  9],[140.875  20.125] ; [34.125  4.875],0
s7,1,0.029307,4.749474,[81 69] ; [13 25],[75. 75.] ; [19. 19.],0
v4,1,0.037197,4.34137,[152   9] ; [33  6],[148.925  12.075] ; [36.075  2.925],0
r1,1,0.04108,4.172725,[122  40] ; [23 16],[116.86567164  45.13432836] ; [28.13432836 10.86567164],0
n4,1,0.04108,4.172725,[122  40] ; [23 16],[116.86567164  45.13432836] ; [28.13432836 10.86567164],0
p6,1,0.044143,4.051096,[74 87] ; [11 28],[68.425 92.575] ; [16.575 22.425],0
p8,1,0.044533,4.036247,[104  56] ; [18 20],[98.58585859 61.41414141] ; [23.41414141 14.58585859],0
a5,1,0.045935,3.983967,[103  59] ; [18 21],[97.52238806 64.47761194] ; [23.47761194 15.52238806],0
b5,1,0.047359,3.932581,[88 74] ; [28 11],[93.49253731 68.50746269] ; [22.50746269 16.49253731],0
s8,1,0.051676,3.786243,[69 93] ; [10 29],[63.67164179 98.32835821] ; [15.32835821 23.67164179],0
a3,1,0.055429,3.669126,[98 64] ; [17 22],[92.68656716 69.31343284] ; [22.31343284 16.68656716],0
b1,1,0.065338,3.396433,[65 97] ; [22 17],[70.11940299 91.88059701] ; [16.88059701 22.11940299],0
r4,1,0.111543,2.532216,[141  21] ; [30  9],[137.82089552  24.17910448] ; [33.17910448  5.82089552],0
b2,1,0.11815,2.44168,[34 59] ; [ 5 20],[30.73728814 62.26271186] ; [ 8.26271186 16.73728814],0
b3,1,0.11815,2.44168,[34 59] ; [ 5 20],[30.73728814 62.26271186] ; [ 8.26271186 16.73728814],0
s4,1,0.119357,2.425737,[ 21 139] ; [ 9 30],[ 24.12060302 135.87939698] ; [ 5.87939698 33.12060302],0
p5,1,0.126726,2.332161,[ 29 132] ; [ 3 35],[ 25.88944724 135.11055276] ; [ 6.11055276 31.88944724],0
