Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,9e-06,19.683757,[80 26] ; [12 23],[69.16312057 36.83687943] ; [22.83687943 12.16312057],1
d3,1,5.1e-05,16.421586,[88 18] ; [17 18],[78.93617021 27.06382979] ; [26.06382979  8.93617021],1
p2,1,0.0002,13.828571,[87 18] ; [18 17],[78.75 26.25] ; [26.25  8.75],1
n1,1,0.00518,7.815505,[ 7 29] ; [6 3],[10.4 25.6] ; [2.6 6.4],0
n3,1,0.015178,5.895722,[30  6] ; [4 5],[27.2  8.8] ; [6.8 2.2],0
a2,1,0.015558,5.852206,[26 80] ; [ 2 33],[21.04964539 84.95035461] ; [ 6.95035461 28.04964539],0
u1,1,0.026742,4.907423,[19 87] ; [ 1 34],[15.03546099 90.96453901] ; [ 4.96453901 30.03546099],0
n6,1,0.039784,4.227053,[74 31] ; [18 17],[69. 36.] ; [23. 12.],0
p3,1,0.057072,3.620483,[44 62] ; [21 14],[48.86524823 57.13475177] ; [16.13475177 18.86524823],0
p9,1,0.075342,3.162634,[86 18] ; [24 11],[82.30215827 21.69784173] ; [27.69784173  7.30215827],0
d5,1,0.102267,2.669823,[89 17] ; [25 10],[85.70212766 20.29787234] ; [28.29787234  6.70212766],0
d1,1,0.105418,2.621598,[65 41] ; [16 19],[60.89361702 45.10638298] ; [20.10638298 14.89361702],0
p1,1,0.106436,2.606358,[ 6 98] ; [ 5 30],[ 8.23021583 95.76978417] ; [ 2.76978417 32.23021583],0
r1,1,0.111141,2.537921,[83 22] ; [23 12],[79.5 25.5] ; [26.5  8.5],0
a1,1,0.159024,1.983478,[  5 101] ; [ 4 31],[ 6.76595745 99.23404255] ; [ 2.23404255 32.76595745],0
p6,1,0.21019,1.570114,[28 76] ; [13 21],[30.89855072 73.10144928] ; [10.10144928 23.89855072],0
b5,1,0.216901,1.524759,[67 39] ; [18 17],[63.90070922 42.09929078] ; [21.09929078 13.90070922],0
p10,1,0.235428,1.407762,[79 25] ; [23 12],[76.31654676 27.68345324] ; [25.68345324  9.31654676],0
n2,1,0.23806,1.392045,[25 11] ; [8 1],[26.4  9.6] ; [6.6 2.4],0
b1,1,0.24547,1.348905,[34 72] ; [15 20],[36.83687943 69.16312057] ; [12.16312057 22.83687943],0
u3,1,0.284073,1.1475,[27  9] ; [9 6],[25.41176471 10.58823529] ; [10.58823529  4.41176471],0
s4,1,0.312143,1.021588,[27 79] ; [12 23],[29.31914894 76.68085106] ; [ 9.68085106 25.31914894],0
s5,1,0.316936,1.001547,[39 62] ; [16 17],[41.45522388 59.54477612] ; [13.54477612 19.45522388],0
p8,1,0.325934,0.964985,[44 61] ; [18 17],[46.5 58.5] ; [15.5 19.5],0
s2,1,0.334947,0.929676,[63 43] ; [24 11],[65.40425532 40.59574468] ; [21.59574468 13.40425532],0
a4,1,0.348114,0.880319,[39 67] ; [16 19],[41.34751773 64.65248227] ; [13.65248227 21.34751773],0
s8,1,0.355105,0.855129,[48 58] ; [19 16],[50.36879433 55.63120567] ; [16.63120567 18.36879433],0
u2,1,0.391382,0.734643,[26 10] ; [9 6],[24.70588235 11.29411765] ; [10.29411765  4.70588235],0
p12,1,0.406119,0.690134,[ 7 99] ; [ 1 34],[ 6.0141844 99.9858156] ; [ 1.9858156 33.0141844],0
