Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.002747,8.968078,[23  9] ; [15 26],[16.65753425 15.34246575] ; [21.34246575 19.65753425],0
b5,1,0.026625,4.914962,[23 10] ; [19 24],[18.23684211 14.76315789] ; [23.76315789 19.23684211],0
a3,1,0.031815,4.608441,[22 11] ; [18 25],[17.36842105 15.63157895] ; [22.63157895 20.36842105],0
u3,1,0.07044,3.272727,[8 3] ; [10 15],[5.5 5.5] ; [12.5 12.5],0
b3,1,0.101647,2.679506,[12 10] ; [ 7 16],[ 9.28888889 12.71111111] ; [ 9.71111111 13.28888889],0
b2,1,0.101647,2.679506,[12 10] ; [ 7 16],[ 9.28888889 12.71111111] ; [ 9.71111111 13.28888889],0
s8,1,0.18367,1.767677,[16 17] ; [14 28],[13.2 19.8] ; [16.8 25.2],0
a6,1,0.186087,1.748325,[19 14] ; [31 12],[21.71052632 11.28947368] ; [28.28947368 14.71052632],0
v3,1,0.21175,1.559421,[16 17] ; [14 27],[13.37837838 19.62162162] ; [16.62162162 24.37837838],0
p9,1,0.246705,1.341865,[28  5] ; [31 11],[25.96  7.04] ; [33.04  8.96],0
d3,1,0.271013,1.211612,[14 19] ; [13 30],[11.72368421 21.27631579] ; [15.27631579 27.72368421],0
b1,1,0.27231,1.205074,[18 15] ; [18 25],[15.63157895 17.36842105] ; [20.36842105 22.63157895],0
r1,1,0.272924,1.20199,[26  7] ; [29 14],[23.88157895  9.11842105] ; [31.11842105 11.88157895],0
u2,1,0.330995,0.945,[7 3] ; [13 12],[5.71428571 4.28571429] ; [14.28571429 10.71428571],0
s6,1,0.354571,0.857029,[22 11] ; [23 18],[20.06756757 12.93243243] ; [24.93243243 16.06756757],0
n4,1,0.376076,0.783489,[26  7] ; [30 13],[24.31578947  8.68421053] ; [31.68421053 11.31578947],0
p1,1,0.387293,0.747424,[ 8 25] ; [ 7 36],[ 6.51315789 26.48684211] ; [ 8.48684211 34.51315789],0
s7,1,0.416859,0.659152,[18 15] ; [18 22],[16.2739726 16.7260274] ; [19.7260274 20.2739726],0
a1,1,0.445062,0.583196,[ 1 32] ; [ 3 40],[ 1.73684211 31.26315789] ; [ 2.26315789 40.73684211],0
p4,1,0.460159,0.545507,[22 11] ; [32 11],[23.44736842  9.55263158] ; [30.55263158 12.44736842],0
n5,1,0.47925,0.500569,[24  9] ; [28 15],[22.57894737 10.42105263] ; [29.42105263 13.57894737],0
b4,1,0.502389,0.449886,[19 14] ; [28 15],[20.40789474 12.59210526] ; [26.59210526 16.40789474],0
d4,1,0.525911,0.402286,[17 16] ; [19 24],[15.63157895 17.36842105] ; [20.36842105 22.63157895],0
n6,1,0.550144,0.357059,[25  8] ; [35  8],[26.05263158  6.94736842] ; [33.94736842  9.05263158],0
p10,1,0.562711,0.335033,[25  8] ; [30 13],[23.88157895  9.11842105] ; [31.11842105 11.88157895],0
p11,1,0.590722,0.289218,[27  6] ; [33 10],[26.05263158  6.94736842] ; [33.94736842  9.05263158],0
r2,1,0.603443,0.269835,[31  2] ; [39  4],[30.39473684  2.60526316] ; [39.60526316  3.39473684],0
s3,1,0.611485,0.258018,[20 13] ; [23 19],[18.92 14.08] ; [24.08 17.92],0
a8,1,0.636647,0.223155,[ 2 29] ; [ 4 38],[ 2.54794521 28.45205479] ; [ 3.45205479 38.54794521],0
d2,1,0.656988,0.197203,[ 7 26] ; [11 32],[ 7.81578947 25.18421053] ; [10.18421053 32.81578947],0
s4,1,0.69192,0.157014,[ 5 28] ; [ 8 35],[ 5.64473684 27.35526316] ; [ 7.35526316 35.64473684],0
r3,1,0.720938,0.127596,[30  3] ; [38  5],[29.52631579  3.47368421] ; [38.47368421  4.52631579],0
p8,1,0.728267,0.120709,[24  9] ; [29 13],[23.32  9.68] ; [29.68 12.32],0
d1,1,0.734779,0.114769,[ 3 30] ; [ 3 40],[ 2.60526316 30.39473684] ; [ 3.39473684 39.60526316],0
a2,1,0.734779,0.114769,[ 3 30] ; [ 3 40],[ 2.60526316 30.39473684] ; [ 3.39473684 39.60526316],0
a7,1,0.777878,0.079572,[21 12] ; [26 17],[20.40789474 12.59210526] ; [26.59210526 16.40789474],0
r4,1,0.814817,0.054857,[29  4] ; [37  6],[28.65789474  4.34210526] ; [37.34210526  5.65789474],0
s1,1,0.849127,0.036188,[ 1 32] ; [ 1 42],[ 0.86842105 32.13157895] ; [ 1.13157895 41.86842105],0
s5,1,0.866815,0.028125,[11 21] ; [13 27],[10.66666667 21.33333333] ; [13.33333333 26.66666667],0
p12,1,0.893707,0.017853,[ 5 28] ; [ 7 36],[ 5.21052632 27.78947368] ; [ 6.78947368 36.21052632],0
p6,1,0.908444,0.013225,[14 17] ; [20 23],[14.24324324 16.75675676] ; [19.75675676 23.24324324],0
p2,1,0.920126,0.010055,[25  8] ; [33 10],[25.18421053  7.81578947] ; [32.81578947 10.18421053],0
p7,1,0.920126,0.010055,[25  8] ; [33 10],[25.18421053  7.81578947] ; [32.81578947 10.18421053],0
s2,1,0.926985,0.008398,[15 18] ; [20 23],[15.19736842 17.80263158] ; [19.80263158 23.19736842],0
a5,1,0.939616,0.005738,[21 12] ; [27 16],[20.84210526 12.15789474] ; [27.15789474 15.84210526],0
p5,1,0.962409,0.002221,[ 6 27] ; [ 8 35],[ 6.07894737 26.92105263] ; [ 7.92105263 35.07894737],0
v4,1,0.974798,0.000998,[30  3] ; [39  4],[29.96052632  3.03947368] ; [39.03947368  3.96052632],0
a4,1,0.976165,0.000893,[ 7 26] ; [ 9 34],[ 6.94736842 26.05263158] ; [ 9.05263158 33.94736842],0
