Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.000593,11.799198,[ 46 105] ; [17  9],[53.74576271 97.25423729] ; [ 9.25423729 16.74576271],1
s6,1,0.002361,9.245142,[69 81] ; [21  6],[76.27118644 73.72881356] ; [13.72881356 13.27118644],0
s3,1,0.003689,8.430678,[63 86] ; [19  7],[69.81714286 79.18285714] ; [12.18285714 13.81714286],0
s5,1,0.007102,7.247056,[ 26 122] ; [10 14],[ 30.97674419 117.02325581] ; [ 5.02325581 18.97674419],0
s7,1,0.024249,5.076701,[ 45 100] ; [14 12],[50.02923977 94.97076023] ; [ 8.97076023 17.02923977],0
d1,1,0.058389,3.582559,[75 77] ; [ 8 19],[70.48044693 81.51955307] ; [12.51955307 14.48044693],0
p4,1,0.095266,2.783053,[58 93] ; [15 12],[61.92696629 89.07303371] ; [11.07303371 15.92696629],0
p3,1,0.099002,2.721543,[ 48 103] ; [13 14],[51.74719101 99.25280899] ; [ 9.25280899 17.74719101],0
r3,1,0.115722,2.474284,[138  13] ; [22  5],[135.73033708  15.26966292] ; [24.26966292  2.73033708],0
r1,1,0.131441,2.2754,[111  40] ; [16 11],[107.73595506  43.26404494] ; [19.26404494  7.73595506],0
a7,1,0.172533,1.860794,[91 60] ; [20  7],[94.16292135 56.83707865] ; [16.83707865 10.16292135],0
a5,1,0.181153,1.788142,[94 58] ; [13 14],[90.8603352 61.1396648] ; [16.1396648 10.8603352],0
a8,1,0.202749,1.62246,[ 20 119] ; [ 1 21],[ 18.13043478 120.86956522] ; [ 2.86956522 19.13043478],0
v2,1,0.224684,1.474201,[68 80] ; [ 9 18],[65.12 82.88] ; [11.88 15.12],0
v1,1,0.279028,1.171819,[61 89] ; [ 8 19],[58.47457627 91.52542373] ; [10.52542373 16.47457627],0
n4,1,0.352941,0.862854,[98 53] ; [15 12],[95.85955056 55.14044944] ; [17.14044944  9.85955056],0
p9,1,0.366104,0.816847,[59 88] ; [ 8 18],[56.93063584 90.06936416] ; [10.06936416 15.93063584],0
n5,1,0.369859,0.804138,[81 70] ; [17 10],[83.13483146 67.86516854] ; [14.86516854 12.13483146],0
v3,1,0.382347,0.76314,[ 44 100] ; [ 6 21],[ 42.10526316 101.89473684] ; [ 7.89473684 19.10526316],0
n3,1,0.383712,0.758776,[37 19] ; [8 2],[38.18181818 17.81818182] ; [6.81818182 3.18181818],0
p11,1,0.396609,0.718584,[81 71] ; [12 15],[78.97206704 73.02793296] ; [14.02793296 12.97206704],0
u3,1,0.422497,0.643359,[33 28] ; [8 4],[34.26027397 26.73972603] ; [6.73972603 5.26027397],0
p2,1,0.435215,0.608865,[101  51] ; [20  7],[102.74860335  49.25139665] ; [18.25139665  8.74860335],0
b4,1,0.465513,0.532606,[90 62] ; [18  9],[91.70949721 60.29050279] ; [16.29050279 10.70949721],0
b5,1,0.471175,0.51922,[96 56] ; [19  8],[97.65363128 54.34636872] ; [17.34636872  9.65363128],0
p8,1,0.474966,0.510399,[ 49 100] ; [ 7 20],[ 47.40909091 101.59090909] ; [ 8.59090909 18.40909091],0
s8,1,0.476018,0.507972,[ 40 110] ; [ 9 18],[ 41.52542373 108.47457627] ; [ 7.47457627 19.52542373],0
d2,1,0.486535,0.48418,[72 78] ; [11 16],[70.33898305 79.66101695] ; [12.66101695 14.33898305],0
a2,1,0.500525,0.453823,[ 31 121] ; [ 4 23],[ 29.72067039 122.27932961] ; [ 5.27932961 21.72067039],0
p7,1,0.527116,0.399948,[71 79] ; [11 16],[69.49152542 80.50847458] ; [12.50847458 14.49152542],0
p1,1,0.557157,0.344651,[ 10 140] ; [ 1 26],[  9.3220339 140.6779661] ; [ 1.6779661 25.3220339],0
a3,1,0.617903,0.248825,[91 59] ; [15 12],[89.83050847 60.16949153] ; [16.16949153 10.83050847],0
b2,1,0.624387,0.239749,[33 67] ; [ 4 11],[32.17391304 67.82608696] ; [ 4.82608696 10.17391304],0
b3,1,0.624387,0.239749,[33 67] ; [ 4 11],[32.17391304 67.82608696] ; [ 4.82608696 10.17391304],0
