Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d4,1,0.0,34.235451,[70  8] ; [12 21],[57.62162162 20.37837838] ; [24.37837838  8.62162162],1
a4,1,3e-06,21.891706,[48 30] ; [ 4 28],[36.87272727 41.12727273] ; [15.12727273 16.87272727],1
d2,1,1.7e-05,18.468246,[46 31] ; [ 5 28],[35.7 41.3] ; [15.3 17.7],1
d3,1,2.5e-05,17.732158,[57 21] ; [10 23],[47.08108108 30.91891892] ; [19.91891892 13.08108108],1
a5,1,0.000122,14.754672,[62 16] ; [14 19],[53.40540541 24.59459459] ; [22.59459459 10.40540541],1
a3,1,0.000452,12.304242,[59 19] ; [13 19],[51.05454545 26.94545455] ; [20.94545455 11.05454545],1
s7,1,0.000488,12.162245,[41 33] ; [ 6 26],[32.81132075 41.18867925] ; [14.18867925 17.81132075],1
r2,1,0.003792,8.380952,[74  3] ; [26  7],[70.  7.] ; [30.  3.],0
s8,1,0.007186,7.225991,[43 35] ; [ 9 24],[36.54054054 41.45945946] ; [15.45945946 17.54054054],0
r1,1,0.018392,5.558414,[60 18] ; [18 15],[54.81081081 23.18918919] ; [23.18918919  9.81081081],0
a6,1,0.027144,4.8816,[55 23] ; [16 17],[49.89189189 28.10810811] ; [21.10810811 11.89189189],0
s1,1,0.038982,4.261642,[ 2 75] ; [ 4 28],[ 4.23853211 72.76146789] ; [ 1.76146789 30.23853211],0
p8,1,0.039703,4.230542,[18 60] ; [14 19],[22.48648649 55.51351351] ; [ 9.51351351 23.48648649],0
s2,1,0.048687,3.886107,[44 34] ; [11 20],[39.35779817 38.64220183] ; [15.64220183 15.35779817],0
s6,1,0.053347,3.733006,[52 26] ; [15 17],[47.50909091 30.49090909] ; [19.49090909 12.50909091],0
a7,1,0.105127,2.625981,[55 23] ; [18 15],[51.2972973 26.7027027] ; [21.7027027 11.2972973],0
v2,1,0.108556,2.575123,[42 29] ; [13 18],[38.28431373 32.71568627] ; [16.71568627 14.28431373],0
s3,1,0.126324,2.337109,[44 34] ; [12 18],[40.44444444 37.55555556] ; [15.55555556 14.44444444],0
b4,1,0.2033,1.618509,[48 30] ; [16 17],[44.97297297 33.02702703] ; [19.02702703 13.97297297],0
p3,1,0.210991,1.56461,[31 47] ; [ 9 24],[28.10810811 49.89189189] ; [11.89189189 21.10810811],0
v4,1,0.229302,1.445188,[72  6] ; [28  5],[70.27027027  7.72972973] ; [29.72972973  3.27027027],0
p12,1,0.229302,1.445188,[ 6 72] ; [ 5 28],[ 7.72972973 70.27027027] ; [ 3.27027027 29.72972973],0
p11,1,0.24919,1.32784,[53 25] ; [26  7],[55.51351351 22.48648649] ; [23.48648649  9.51351351],0
u2,1,0.255557,1.292669,[12  7] ; [ 9 11],[10.23076923  8.76923077] ; [10.76923077  9.23076923],0
r4,1,0.26183,1.259056,[68 10] ; [26  7],[66.05405405 11.94594595] ; [27.94594595  5.05405405],0
b5,1,0.295407,1.094813,[53 25] ; [19 14],[50.59459459 27.40540541] ; [21.40540541 11.59459459],0
p5,1,0.319561,0.990741,[ 5 70] ; [ 4 28],[ 6.30841121 68.69158879] ; [ 2.69158879 29.30841121],0
b3,1,0.324952,0.968911,[21 33] ; [ 5 14],[19.23287671 34.76712329] ; [ 6.76712329 12.23287671],0
b2,1,0.324952,0.968911,[21 33] ; [ 5 14],[19.23287671 34.76712329] ; [ 6.76712329 12.23287671],0
b1,1,0.327181,0.960025,[30 48] ; [16 17],[32.32432432 45.67567568] ; [13.67567568 19.32432432],0
p1,1,0.338084,0.917682,[ 7 71] ; [ 5 28],[ 8.43243243 69.56756757] ; [ 3.56756757 29.43243243],0
n4,1,0.394048,0.726413,[56 22] ; [21 12],[54.10810811 23.89189189] ; [22.89189189 10.10810811],0
p4,1,0.402736,0.700143,[31 47] ; [10 22],[29.07272727 48.92727273] ; [11.92727273 20.07272727],0
u3,1,0.407515,0.68604,[12  7] ; [10 10],[10.71794872  8.28205128] ; [11.28205128  8.71794872],0
p6,1,0.422105,0.644448,[22 55] ; [ 7 26],[20.3 56.7] ; [ 8.7 24.3],0
r3,1,0.456329,0.554885,[72  6] ; [29  4],[70.97297297  7.02702703] ; [30.02702703  2.97297297],0
p7,1,0.465496,0.532646,[29 46] ; [10 22],[27.3364486 47.6635514] ; [11.6635514 20.3364486],0
s5,1,0.597471,0.278828,[23 49] ; [ 8 22],[21.88235294 50.11764706] ; [ 9.11764706 20.88235294],0
a1,1,0.607224,0.264237,[ 7 71] ; [ 2 31],[ 6.32432432 71.67567568] ; [ 2.67567568 30.32432432],0
a8,1,0.637474,0.222061,[ 7 67] ; [ 4 28],[ 7.67924528 66.32075472] ; [ 3.32075472 28.67924528],0
s4,1,0.690076,0.159003,[18 58] ; [ 9 24],[18.82568807 57.17431193] ; [ 8.17431193 24.82568807],0
n6,1,0.74664,0.104376,[59 19] ; [24  9],[58.32432432 19.67567568] ; [24.67567568  8.32432432],0
n1,1,0.769943,0.085526,[15 15] ; [5 4],[15.38461538 14.61538462] ; [4.61538462 4.38461538],0
n3,1,0.788843,0.071724,[22  8] ; [7 2],[22.30769231  7.69230769] ; [6.69230769 2.30769231],0
p10,1,0.843088,0.039182,[65 13] ; [28  5],[65.35135135 12.64864865] ; [27.64864865  5.35135135],0
v1,1,0.861593,0.030397,[35 40] ; [16 17],[35.41666667 39.58333333] ; [15.58333333 17.41666667],0
v3,1,0.861825,0.030294,[25 45] ; [12 20],[25.39215686 44.60784314] ; [11.60784314 20.39215686],0
n5,1,0.886396,0.020411,[55 23] ; [23  9],[55.30909091 22.69090909] ; [22.69090909  9.30909091],0
