Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,85.739732,[ 5 35] ; [129  19],[28.5106383 11.4893617] ; [105.4893617  42.5106383],1
p11,1,4e-06,21.187434,[16 24] ; [115  33],[27.87234043 12.12765957] ; [103.12765957  44.87234043],1
p2,1,0.000364,12.711026,[21 19] ; [118  29],[29.73262032 10.26737968] ; [109.26737968  37.73262032],1
a7,1,0.001196,10.496223,[21 19] ; [115  32],[29.09090909 10.90909091] ; [106.90909091  40.09090909],0
b1,1,0.005683,7.648086,[20 20] ; [ 40 108],[12.76595745 27.23404255] ; [ 47.23404255 100.76595745],0
v1,1,0.014621,5.961619,[10 30] ; [67 77],[16.73913043 23.26086957] ; [60.26086957 83.73913043],0
a5,1,0.018027,5.593486,[18 22] ; [97 51],[24.46808511 15.53191489] ; [90.53191489 57.46808511],0
s6,1,0.018739,5.525729,[18 21] ; [98 49],[24.32258065 14.67741935] ; [91.67741935 55.32258065],0
s8,1,0.019395,5.465587,[ 7 32] ; [56 92],[13.13903743 25.86096257] ; [49.86096257 98.13903743],0
d2,1,0.019473,5.458496,[21 19] ; [ 48 100],[14.68085106 25.31914894] ; [54.31914894 93.68085106],0
d3,1,0.023574,5.125712,[21 19] ; [105  42],[26.95187166 13.04812834] ; [99.04812834 47.95187166],0
s1,1,0.032,4.598517,[ 3 37] ; [  2 146],[ 1.06382979 38.93617021] ; [  3.93617021 144.06382979],0
s7,1,0.03596,4.399024,[ 7 31] ; [52 91],[12.38674033 25.61325967] ; [46.61325967 96.38674033],0
n6,1,0.051679,3.786125,[22 18] ; [104  42],[27.09677419 12.90322581] ; [98.90322581 47.09677419],0
n5,1,0.052726,3.752573,[ 9 31] ; [57 89],[14.19354839 25.80645161] ; [51.80645161 94.19354839],0
s2,1,0.054385,3.700857,[12 27] ; [71 77],[17.31016043 21.68983957] ; [65.68983957 82.31016043],0
a6,1,0.068355,3.322085,[22 18] ; [104  44],[26.80851064 13.19148936] ; [99.19148936 48.80851064],0
s5,1,0.123277,2.375184,[ 8 31] ; [48 96],[11.93442623 27.06557377] ; [44.06557377 99.93442623],0
p8,1,0.124201,2.363525,[14 26] ; [72 76],[18.29787234 21.70212766] ; [67.70212766 80.29787234],0
b4,1,0.129944,2.293172,[28 12] ; [84 64],[23.82978723 16.17021277] ; [88.17021277 59.82978723],0
v3,1,0.144613,2.128169,[ 7 32] ; [41 97],[10.57627119 28.42372881] ; [ 37.42372881 100.57627119],0
b2,1,0.183945,1.765458,[ 5 20] ; [23 44],[ 7.60869565 17.39130435] ; [20.39130435 46.60869565],0
b3,1,0.183945,1.765458,[ 5 20] ; [23 44],[ 7.60869565 17.39130435] ; [20.39130435 46.60869565],0
u3,1,0.234745,1.411878,[13  4] ; [34 22],[10.94520548  6.05479452] ; [36.05479452 19.94520548],0
v2,1,0.238644,1.388589,[16 22] ; [73 65],[19.21590909 18.78409091] ; [69.78409091 68.21590909],0
p1,1,0.25087,1.318452,[ 1 39] ; [ 11 135],[ 2.58064516 37.41935484] ; [  9.41935484 136.58064516],0
s4,1,0.282285,1.156055,[ 7 33] ; [ 38 110],[ 9.57446809 30.42553191] ; [ 35.42553191 112.57446809],0
s3,1,0.302134,1.064751,[17 23] ; [76 71],[19.89304813 20.10695187] ; [73.10695187 73.89304813],0
r3,1,0.318346,0.995728,[39  1] ; [147   1],[39.57446809  0.42553191] ; [146.42553191   1.57446809],0
a8,1,0.33626,0.924638,[ 3 33] ; [  6 132],[ 1.86206897 34.13793103] ; [  7.13793103 130.86206897],0
b5,1,0.366815,0.814426,[22 18] ; [93 55],[24.46808511 15.53191489] ; [90.53191489 57.46808511],0
a2,1,0.375328,0.785949,[ 4 36] ; [ 23 125],[ 5.74468085 34.25531915] ; [ 21.25531915 126.74468085],0
v4,1,0.444472,0.584711,[37  2] ; [144   4],[37.7486631  1.2513369] ; [143.2513369   4.7486631],0
d4,1,0.46682,0.529494,[29 10] ; [118  30],[30.65775401  8.34224599] ; [116.34224599  31.65775401],0
p6,1,0.479059,0.501004,[ 8 31] ; [ 38 108],[ 9.6972973 29.3027027] ; [ 36.3027027 109.6972973],0
