Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,2e-06,22.339323,[2 7] ; [37  3],[7.16326531 1.83673469] ; [31.83673469  8.16326531],1
r2,1,0.000415,12.461441,[4 3] ; [39  1],[6.40425532 0.59574468] ; [36.59574468  3.40425532],1
v4,1,0.001108,10.637769,[5 4] ; [38  2],[7.89795918 1.10204082] ; [35.10204082  4.89795918],0
p9,1,0.006735,7.342335,[2 7] ; [27 11],[5.55319149 3.44680851] ; [23.44680851 14.55319149],0
a6,1,0.008029,7.026963,[1 8] ; [24 16],[4.59183673 4.40816327] ; [20.40816327 19.59183673],0
p10,1,0.014777,5.942857,[2 7] ; [26 13],[5.25 3.75] ; [22.75 16.25],0
s5,1,0.015314,5.879924,[1 7] ; [21 14],[4.09302326 3.90697674] ; [17.90697674 17.09302326],0
s1,1,0.025761,4.972001,[2 7] ; [ 1 39],[0.55102041 8.44897959] ; [ 2.44897959 37.55102041],0
d5,1,0.036032,4.395604,[6 3] ; [36  3],[7.875 1.125] ; [34.125  4.875],0
s2,1,0.039246,4.250179,[3 6] ; [28 12],[5.69387755 3.30612245] ; [25.30612245 14.69387755],0
b4,1,0.040189,4.209885,[2 7] ; [24 16],[4.7755102 4.2244898] ; [21.2244898 18.7755102],0
s6,1,0.042589,4.111622,[4 5] ; [29  8],[6.45652174 2.54347826] ; [26.54347826 10.45652174],0
s8,1,0.044771,4.027246,[1 8] ; [19 21],[3.67346939 5.32653061] ; [16.32653061 23.67346939],0
s3,1,0.057341,3.612675,[3 6] ; [27 13],[5.51020408 3.48979592] ; [24.48979592 15.51020408],0
b1,1,0.075524,3.158685,[7 2] ; [18 22],[4.59183673 4.40816327] ; [20.40816327 19.59183673],0
v1,1,0.077589,3.1147,[1 8] ; [17 23],[3.30612245 5.69387755] ; [14.69387755 25.30612245],0
a7,1,0.080944,3.045843,[4 5] ; [29 10],[6.1875 2.8125] ; [26.8125 12.1875],0
p7,1,0.100082,2.704241,[2 7] ; [21 19],[4.2244898 4.7755102] ; [18.7755102 21.2244898],0
n5,1,0.110149,2.552083,[6 3] ; [15 25],[3.85714286 5.14285714] ; [17.14285714 22.85714286],0
v2,1,0.114764,2.487359,[2 7] ; [20 19],[4.125 4.875] ; [17.875 21.125],0
b2,1,0.12076,2.407439,[3 3] ; [ 3 14],[1.56521739 4.43478261] ; [ 4.43478261 12.56521739],0
b3,1,0.12076,2.407439,[3 3] ; [ 3 14],[1.56521739 4.43478261] ; [ 4.43478261 12.56521739],0
n2,1,0.132391,2.264245,[2 4] ; [11  5],[3.54545455 2.45454545] ; [9.45454545 6.54545455],0
n1,1,0.142715,2.148437,[3 3] ; [ 3 13],[1.63636364 4.36363636] ; [ 4.36363636 11.63636364],0
n3,1,0.142715,2.148437,[3 3] ; [13  3],[4.36363636 1.63636364] ; [11.63636364  4.36363636],0
p2,1,0.19487,1.680411,[4 5] ; [27 13],[5.69387755 3.30612245] ; [25.30612245 14.69387755],0
p3,1,0.209056,1.57795,[2 7] ; [18 22],[3.67346939 5.32653061] ; [16.32653061 23.67346939],0
a1,1,0.238149,1.391519,[1 8] ; [ 1 39],[0.36734694 8.63265306] ; [ 1.63265306 38.36734694],0
n4,1,0.240073,1.380167,[6 3] ; [18 22],[4.40816327 4.59183673] ; [19.59183673 20.40816327],0
d3,1,0.305647,1.049393,[6 3] ; [32  7],[7.125 1.875] ; [30.875  8.125],0
p4,1,0.365356,0.819398,[3 6] ; [20 20],[4.2244898 4.7755102] ; [18.7755102 21.2244898],0
d4,1,0.3864,0.750239,[6 3] ; [32  8],[6.97959184 2.02040816] ; [31.02040816  8.97959184],0
a5,1,0.403775,0.697054,[5 4] ; [28 12],[6.06122449 2.93877551] ; [26.93877551 13.06122449],0
s7,1,0.43437,0.611111,[3 5] ; [19 17],[4. 4.] ; [18. 18.],0
r1,1,0.496398,0.462628,[5 4] ; [27 13],[5.87755102 3.12244898] ; [26.12244898 13.87755102],0
a4,1,0.566444,0.32867,[5 4] ; [18 22],[4.2244898 4.7755102] ; [18.7755102 21.2244898],0
b5,1,0.595407,0.281979,[5 4] ; [26 14],[5.69387755 3.30612245] ; [25.30612245 14.69387755],0
a2,1,0.639405,0.219521,[1 8] ; [ 7 33],[1.46938776 7.53061224] ; [ 6.53061224 33.46938776],0
u1,1,0.639405,0.219521,[1 8] ; [ 7 33],[1.46938776 7.53061224] ; [ 6.53061224 33.46938776],0
u2,1,0.686591,0.1628,[1 2] ; [6 7],[1.3125 1.6875] ; [5.6875 7.3125],0
v3,1,0.715808,0.132544,[2 7] ; [11 28],[2.4375 6.5625] ; [10.5625 28.4375],0
p8,1,0.74592,0.104992,[2 7] ; [11 29],[2.3877551 6.6122449] ; [10.6122449 29.3877551],0
d2,1,0.806375,0.060077,[5 4] ; [24 16],[5.32653061 3.67346939] ; [23.67346939 16.32653061],0
n6,1,0.844579,0.038431,[6 3] ; [28 12],[6.24489796 2.75510204] ; [27.75510204 12.24489796],0
u3,1,0.868645,0.02735,[2 1] ; [8 5],[1.875 1.125] ; [8.125 4.875],0
p1,1,0.908569,0.013189,[1 8] ; [ 5 35],[1.10204082 7.89795918] ; [ 4.89795918 35.10204082],0
d1,1,0.915184,0.011343,[5 4] ; [23 17],[5.14285714 3.85714286] ; [22.85714286 17.14285714],0
a3,1,0.961583,0.00232,[6 3] ; [27 13],[6.06122449 2.93877551] ; [26.93877551 13.06122449],0
p6,1,0.961583,0.00232,[3 6] ; [13 27],[2.93877551 6.06122449] ; [13.06122449 26.93877551],0
