Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,2e-06,23.023739,[57 11] ; [ 3 11],[49.75609756 18.24390244] ; [10.24390244  3.75609756],1
d1,1,1.8e-05,18.372183,[47 21] ; [ 1 13],[39.80487805 28.19512195] ; [8.19512195 5.80487805],1
d5,1,9.6e-05,15.222307,[60  8] ; [6 8],[54.73170732 13.26829268] ; [11.26829268  2.73170732],1
d2,1,0.002398,9.217207,[40 28] ; [ 2 12],[34.82926829 33.17073171] ; [7.17073171 6.82926829],0
s5,1,0.016707,5.726845,[27 36] ; [ 1 12],[23.21052632 39.78947368] ; [4.78947368 8.21052632],0
v3,1,0.019873,5.423035,[25 38] ; [ 1 13],[21.27272727 41.72727273] ; [4.72727273 9.27272727],0
u2,1,0.03509,4.440789,[17  2] ; [3 3],[15.2  3.8] ; [4.8 1.2],0
p6,1,0.073611,3.200609,[26 40] ; [ 2 12],[23.1 42.9] ; [4.9 9.1],0
v2,1,0.09357,2.811864,[38 25] ; [5 9],[35.18181818 27.81818182] ; [7.81818182 6.18181818],0
a4,1,0.094737,2.791981,[31 37] ; [ 3 11],[28.19512195 39.80487805] ; [5.80487805 8.19512195],0
s4,1,0.098897,2.723238,[19 49] ; [ 1 13],[16.58536585 51.41463415] ; [ 3.41463415 10.58536585],0
p3,1,0.240416,1.378151,[36 32] ; [5 9],[34. 34.] ; [7. 7.],0
s2,1,0.252492,1.309465,[45 23] ; [7 7],[43.12195122 24.87804878] ; [8.87804878 5.12195122],0
a5,1,0.269593,1.218818,[49 19] ; [8 6],[47.26829268 20.73170732] ; [9.73170732 4.26829268],0
u3,1,0.317618,0.99873,[17  3] ; [4 2],[16.15384615  3.84615385] ; [4.84615385 1.15384615],0
a3,1,0.324867,0.969249,[48 20] ; [8 6],[46.43902439 21.56097561] ; [9.56097561 4.43902439],0
s7,1,0.327246,0.959766,[41 23] ; [7 7],[39.38461538 24.61538462] ; [8.61538462 5.38461538],0
a7,1,0.341503,0.904782,[52 16] ; [9 5],[50.58536585 17.41463415] ; [10.41463415  3.58536585],0
b2,1,0.356489,0.850223,[18 29] ; [2 7],[16.78571429 30.21428571] ; [3.21428571 5.78571429],0
b3,1,0.356489,0.850223,[18 29] ; [2 7],[16.78571429 30.21428571] ; [3.21428571 5.78571429],0
p9,1,0.358349,0.843671,[58  8] ; [11  3],[56.925  9.075] ; [12.075  1.925],0
p7,1,0.363378,0.826184,[41 24] ; [7 7],[39.49367089 25.50632911] ; [8.50632911 5.49367089],0
p10,1,0.393222,0.728955,[53 12] ; [10  4],[51.83544304 13.16455696] ; [11.16455696  2.83544304],0
r2,1,0.419649,0.651299,[61  5] ; [12  2],[60.225  5.775] ; [12.775  1.225],0
p4,1,0.430497,0.621483,[37 31] ; [6 8],[35.65853659 32.34146341] ; [7.34146341 6.65853659],0
n1,1,0.482016,0.494298,[ 6 13] ; [2 2],[ 6.60869565 12.39130435] ; [1.39130435 2.60869565],0
a6,1,0.494216,0.467335,[42 26] ; [10  4],[43.12195122 24.87804878] ; [8.87804878 5.12195122],0
a2,1,0.513537,0.426853,[15 53] ; [ 2 12],[14.09756098 53.90243902] ; [ 2.90243902 11.09756098],0
n6,1,0.534917,0.385042,[42 25] ; [10  4],[43.01234568 23.98765432] ; [8.98765432 5.01234568],0
v1,1,0.542227,0.371429,[31 34] ; [5 8],[30. 35.] ; [6. 7.],0
p8,1,0.562664,0.335113,[30 38] ; [5 9],[29.02439024 38.97560976] ; [5.97560976 8.02439024],0
b4,1,0.592646,0.286231,[44 24] ; [8 6],[43.12195122 24.87804878] ; [8.87804878 5.12195122],0
r1,1,0.598933,0.276609,[53 15] ; [10  4],[52.24390244 15.75609756] ; [10.75609756  3.24390244],0
s3,1,0.62906,0.233338,[44 24] ; [10  4],[44.7804878 23.2195122] ; [9.2195122 4.7804878],0
s6,1,0.652019,0.203364,[56 11] ; [11  3],[55.41975309 11.58024691] ; [11.58024691  2.41975309],0
p2,1,0.670212,0.181354,[55 13] ; [12  2],[55.56097561 12.43902439] ; [11.43902439  2.56097561],0
n4,1,0.698753,0.149772,[33 35] ; [6 8],[32.34146341 35.65853659] ; [6.65853659 7.34146341],0
p1,1,0.808296,0.058867,[ 8 59] ; [ 2 12],[ 8.27160494 58.72839506] ; [ 1.72839506 12.27160494],0
p11,1,0.871653,0.026101,[50 18] ; [10  4],[49.75609756 18.24390244] ; [10.24390244  3.75609756],0
b5,1,0.940767,0.005521,[43 25] ; [9 5],[43.12195122 24.87804878] ; [8.87804878 5.12195122],0
b1,1,0.940767,0.005521,[25 43] ; [5 9],[24.87804878 43.12195122] ; [5.12195122 8.87804878],0
r4,1,0.978071,0.000756,[63  5] ; [13  1],[63.02439024  4.97560976] ; [12.97560976  1.02439024],0
a8,1,0.982619,0.000475,[10 54] ; [ 2 11],[ 9.97402597 54.02597403] ; [ 2.02597403 10.97402597],0
