Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.000153,14.331183,[ 4 23] ; [16  8],[10.58823529 16.41176471] ; [ 9.41176471 14.58823529],1
p9,1,0.000497,12.126359,[ 6 21] ; [17  7],[12.17647059 14.82352941] ; [10.82352941 13.17647059],1
p2,1,0.000532,11.998871,[ 4 24] ; [14  9],[ 9.88235294 18.11764706] ; [ 8.11764706 14.88235294],1
r3,1,0.00125,10.414454,[11 17] ; [20  4],[16.69230769 11.30769231] ; [14.30769231  9.69230769],0
n6,1,0.001268,10.388113,[ 8 20] ; [17  6],[13.7254902 14.2745098] ; [11.2745098 11.7254902],0
n3,1,0.003501,8.526007,[ 3 12] ; [6 1],[6.13636364 8.86363636] ; [2.86363636 4.13636364],0
s8,1,0.010766,6.503517,[ 1 27] ; [ 7 17],[ 4.30769231 23.69230769] ; [ 3.69230769 20.30769231],0
p8,1,0.01587,5.81723,[ 2 25] ; [ 8 15],[ 5.4 21.6] ; [ 4.6 18.4],0
d4,1,0.041356,4.161376,[16 12] ; [20  4],[19.38461538  8.61538462] ; [16.61538462  7.38461538],0
r4,1,0.058858,3.569284,[ 5 23] ; [10 14],[ 8.07692308 19.92307692] ; [ 6.92307692 17.07692308],0
d5,1,0.064704,3.4125,[14 14] ; [18  6],[17.23076923 10.76923077] ; [14.76923077  9.23076923],0
s6,1,0.091289,2.851497,[ 6 22] ; [10 13],[ 8.78431373 19.21568627] ; [ 7.21568627 15.78431373],0
s7,1,0.093006,2.821565,[ 2 23] ; [ 6 17],[ 4.16666667 20.83333333] ; [ 3.83333333 19.16666667],0
d1,1,0.109038,2.56811,[ 9 19] ; [13 11],[11.84615385 16.15384615] ; [10.15384615 13.84615385],0
b4,1,0.177227,1.820728,[16 12] ; [18  6],[18.30769231  9.69230769] ; [15.69230769  8.30769231],0
d3,1,0.181681,1.783822,[10 18] ; [13 11],[12.38461538 15.61538462] ; [10.61538462 13.38461538],0
a3,1,0.197251,1.662616,[12 15] ; [15  9],[14.29411765 12.70588235] ; [12.70588235 11.29411765],0
p7,1,0.202222,1.626255,[ 6 22] ; [ 9 15],[ 8.07692308 19.92307692] ; [ 6.92307692 17.07692308],0
v2,1,0.232014,1.428472,[ 6 21] ; [ 9 15],[ 7.94117647 19.05882353] ; [ 7.05882353 16.94117647],0
u3,1,0.238149,1.391519,[ 1 15] ; [2 7],[ 1.92 14.08] ; [1.08 7.92],0
a8,1,0.25008,1.322859,[ 3 25] ; [ 5 17],[ 4.48 23.52] ; [ 3.52 18.48],0
b5,1,0.283235,1.151502,[11 17] ; [13 11],[12.92307692 15.07692308] ; [11.07692308 12.92307692],0
