Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a7,1,1.6e-05,18.63089,[31 30] ; [128  32],[43.88687783 17.11312217] ; [115.11312217  44.88687783],1
p7,1,2.6e-05,17.674033,[19 41] ; [99 57],[32.77777778 27.22222222] ; [85.22222222 70.77777778],1
p9,1,3.6e-05,17.059622,[32 26] ; [132  28],[43.63302752 14.36697248] ; [120.36697248  39.63302752],1
d3,1,0.000105,15.036787,[28 33] ; [117  42],[40.20454545 20.79545455] ; [104.79545455  54.20454545],1
p11,1,0.000198,13.845331,[29 32] ; [119  42],[40.66666667 20.33333333] ; [107.33333333  53.66666667],1
a6,1,0.000353,12.76357,[27 34] ; [113  48],[38.46846847 22.53153153] ; [101.53153153  59.46846847],1
p8,1,0.002469,9.163603,[16 45] ; [78 82],[25.94570136 35.05429864] ; [68.05429864 91.94570136],0
p10,1,0.00582,7.605207,[32 27] ; [118  42],[40.4109589 18.5890411] ; [109.5890411  50.4109589],0
s1,1,0.008121,7.006517,[ 5 56] ; [  2 159],[ 1.92342342 59.07657658] ; [  5.07657658 155.92342342],0
v4,1,0.008128,7.005078,[52  9] ; [152   7],[56.56363636  4.43636364] ; [147.43636364  11.56363636],0
p3,1,0.012093,6.297204,[13 47] ; [64 97],[20.90497738 39.09502262] ; [ 56.09502262 104.90497738],0
n6,1,0.022074,5.239924,[33 28] ; [112  47],[40.20454545 20.79545455] ; [104.79545455  54.20454545],0
n3,1,0.039127,4.255338,[15 13] ; [41 13],[19.12195122  8.87804878] ; [36.87804878 17.12195122],0
d2,1,0.043901,4.060357,[29 32] ; [ 53 108],[22.53153153 38.46846847] ; [ 59.46846847 101.53153153],0
a4,1,0.049732,3.850475,[25 36] ; [ 44 117],[18.95945946 42.04054054] ; [ 50.04054054 110.95945946],0
b1,1,0.05259,3.756906,[27 34] ; [ 49 112],[20.88288288 40.11711712] ; [ 55.11711712 105.88288288],0
u1,1,0.066422,3.369297,[ 2 59] ; [ 18 143],[ 5.4954955 55.5045045] ; [ 14.5045045 146.4954955],0
r1,1,0.071409,3.250335,[37 24] ; [117  43],[42.50678733 18.49321267] ; [111.49321267  48.50678733],0
s8,1,0.166038,1.918356,[15 45] ; [ 56 105],[19.2760181 40.7239819] ; [ 51.7239819 109.2760181],0
s6,1,0.182374,1.778172,[31 28] ; [100  60],[35.29223744 23.70776256] ; [95.70776256 64.29223744],0
p4,1,0.186427,1.745632,[22 38] ; [75 86],[26.33484163 33.66515837] ; [70.66515837 90.33484163],0
r4,1,0.215218,1.535973,[49 12] ; [140  21],[51.93243243  9.06756757] ; [137.06756757  23.93243243],0
d1,1,0.246137,1.345099,[25 36] ; [80 81],[28.85135135 32.14864865] ; [76.14864865 84.85135135],0
d4,1,0.249915,1.323778,[44 17] ; [127  33],[47.19909502 13.80090498] ; [123.80090498  36.19909502],0
