Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.015611,5.846154,[ 2 16] ; [17 22],[ 6. 12.] ; [13. 26.],0
d1,1,0.066169,3.375582,[ 5 13] ; [22 19],[8.23728814 9.76271186] ; [18.76271186 22.23728814],0
a6,1,0.083417,2.997045,[9 9] ; [30 11],[11.89830508  6.10169492] ; [27.10169492 13.89830508],0
s4,1,0.08449,2.976349,[ 4 13] ; [ 3 38],[ 2.05172414 14.94827586] ; [ 4.94827586 36.05172414],0
d2,1,0.08858,2.9,[ 6 12] ; [23 17],[9. 9.] ; [20. 20.],0
p4,1,0.094374,2.798144,[11  7] ; [15 25],[8.06896552 9.93103448] ; [17.93103448 22.06896552],0
p7,1,0.111923,2.526854,[10  8] ; [13 26],[ 7.26315789 10.73684211] ; [15.73684211 23.26315789],0
d5,1,0.115523,2.476987,[11  7] ; [33  8],[13.42372881  4.57627119] ; [30.57627119 10.42372881],0
n5,1,0.12322,2.375913,[ 8 10] ; [27 14],[10.6779661  7.3220339] ; [24.3220339 16.6779661],0
r2,1,0.162678,1.949155,[16  2] ; [40  1],[17.08474576  0.91525424] ; [38.91525424  2.08474576],0
s1,1,0.17071,1.8767,[ 2 16] ; [ 1 39],[ 0.93103448 17.06896552] ; [ 2.06896552 37.93103448],0
n1,1,0.179712,1.8,[4 2] ; [4 8],[2.66666667 3.33333333] ; [5.33333333 6.66666667],0
s3,1,0.201425,1.632011,[11  6] ; [18 21],[8.80357143 8.19642857] ; [20.19642857 18.80357143],0
a4,1,0.204177,1.61224,[ 6 12] ; [21 20],[8.23728814 9.76271186] ; [18.76271186 22.23728814],0
b1,1,0.223443,1.482122,[11  7] ; [18 23],[8.84745763 9.15254237] ; [20.15254237 20.84745763],0
a2,1,0.231487,1.431704,[ 3 15] ; [13 28],[ 4.88135593 13.11864407] ; [11.11864407 29.88135593],0
u1,1,0.234111,1.415707,[ 1 17] ; [ 7 34],[ 2.44067797 15.55932203] ; [ 5.55932203 35.44067797],0
d3,1,0.256843,1.285692,[10  8] ; [29 12],[11.89830508  6.10169492] ; [27.10169492 13.89830508],0
p2,1,0.271149,1.210927,[12  6] ; [21 20],[10.06779661  7.93220339] ; [22.93220339 18.06779661],0
d4,1,0.272286,1.205195,[12  6] ; [32  8],[13.65517241  4.34482759] ; [30.34482759  9.65517241],0
a8,1,0.281582,1.15944,[ 1 14] ; [ 7 31],[ 2.26415094 12.73584906] ; [ 5.73584906 32.26415094],0
p6,1,0.303077,1.060606,[ 2 14] ; [10 30],[ 3.42857143 12.57142857] ; [ 8.57142857 31.42857143],0
p8,1,0.314609,1.011227,[ 8 10] ; [12 27],[ 6.31578947 11.68421053] ; [13.68421053 25.31578947],0
a3,1,0.346777,0.885214,[10  8] ; [28 13],[11.59322034  6.40677966] ; [26.40677966 14.59322034],0
s2,1,0.353611,0.860458,[8 8] ; [15 26],[6.45614035 9.54385965] ; [16.54385965 24.45614035],0
p5,1,0.380547,0.768933,[ 2 16] ; [ 2 39],[ 1.22033898 16.77966102] ; [ 2.77966102 38.22033898],0
u2,1,0.423139,0.641581,[3 4] ; [8 5],[3.85 3.15] ; [7.15 5.85],0
n6,1,0.476802,0.506168,[12  6] ; [31 10],[13.11864407  4.88135593] ; [29.88135593 11.11864407],0
s8,1,0.488081,0.480755,[ 5 12] ; [16 25],[ 6.15517241 10.84482759] ; [14.84482759 26.15517241],0
v2,1,0.500969,0.452883,[9 8] ; [25 15],[10.14035088  6.85964912] ; [23.85964912 16.14035088],0
b5,1,0.510501,0.43304,[13  5] ; [26 15],[11.89830508  6.10169492] ; [27.10169492 13.89830508],0
s7,1,0.536564,0.381944,[ 5 10] ; [17 23],[6. 9.] ; [16. 24.],0
v1,1,0.541817,0.372182,[11  7] ; [21 19],[9.93103448 8.06896552] ; [22.06896552 17.93103448],0
s6,1,0.544579,0.36712,[11  6] ; [23 18],[9.96551724 7.03448276] ; [24.03448276 16.96551724],0
n2,1,0.573138,0.31746,[5 1] ; [10  4],[4.5 1.5] ; [10.5  3.5],0
r1,1,0.575111,0.314206,[14  4] ; [29 12],[13.11864407  4.88135593] ; [29.88135593 11.11864407],0
a7,1,0.635795,0.224284,[11  7] ; [27 13],[11.79310345  6.20689655] ; [26.20689655 13.79310345],0
v4,1,0.644127,0.213385,[15  3] ; [36  5],[15.55932203  2.44067797] ; [35.44067797  5.55932203],0
b2,1,0.652317,0.202991,[ 2 10] ; [ 6 20],[2.52631579 9.47368421] ; [ 5.47368421 20.52631579],0
b3,1,0.652317,0.202991,[ 2 10] ; [ 6 20],[2.52631579 9.47368421] ; [ 5.47368421 20.52631579],0
u3,1,0.697161,0.151442,[5 3] ; [7 6],[4.57142857 3.42857143] ; [7.42857143 5.57142857],0
b4,1,0.754857,0.097495,[12  6] ; [29 12],[12.50847458  5.49152542] ; [28.49152542 12.50847458],0
s5,1,0.866745,0.028155,[ 4 13] ; [10 29],[ 4.25 12.75] ; [ 9.75 29.25],0
r3,1,0.87116,0.026304,[15  3] ; [34  6],[15.20689655  2.79310345] ; [33.79310345  6.20689655],0
p11,1,0.931248,0.007443,[9 9] ; [21 20],[9.15254237 8.84745763] ; [20.84745763 20.15254237],0
n4,1,0.981551,0.000535,[14  4] ; [32  9],[14.03389831  3.96610169] ; [31.96610169  9.03389831],0
r4,1,0.981551,0.000535,[14  4] ; [32  9],[14.03389831  3.96610169] ; [31.96610169  9.03389831],0
a5,1,0.99216,9.7e-05,[11  7] ; [25 16],[10.98305085  7.01694915] ; [25.01694915 15.98305085],0
