Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.019016,5.5,[ 8 42] ; [3 2],[10. 40.] ; [1. 4.],0
s7,1,0.020137,5.4,[14 35] ; [4 1],[16.33333333 32.66666667] ; [1.66666667 3.33333333],0
p9,1,0.027604,4.852625,[15 34] ; [4 1],[17.24074074 31.75925926] ; [1.75925926 3.24074074],0
p6,1,0.035957,4.399162,[ 9 39] ; [3 2],[10.86792453 37.13207547] ; [1.13207547 3.86792453],0
s2,1,0.043524,4.07493,[17 33] ; [4 1],[19.09090909 30.90909091] ; [1.90909091 3.09090909],0
s6,1,0.085507,2.956989,[20 30] ; [4 1],[21.81818182 28.18181818] ; [2.18181818 2.81818182],0
v2,1,0.101263,2.685536,[20 28] ; [4 1],[21.73584906 26.26415094] ; [2.26415094 2.73584906],0
u1,1,0.184625,1.76,[ 8 42] ; [2 3],[ 9.09090909 40.90909091] ; [0.90909091 4.09090909],0
n5,1,0.200954,1.635429,[24 24] ; [4 1],[25.35849057 22.64150943] ; [2.64150943 2.35849057],0
s3,1,0.200954,1.635429,[24 24] ; [4 1],[25.35849057 22.64150943] ; [2.64150943 2.35849057],0
a6,1,0.249187,1.327857,[33 17] ; [2 3],[31.81818182 18.18181818] ; [3.18181818 1.81818182],0
n6,1,0.267355,1.230266,[26 22] ; [4 1],[27.16981132 20.83018868] ; [2.83018868 2.16981132],0
p8,1,0.309375,1.033342,[18 31] ; [3 2],[19.05555556 29.94444444] ; [1.94444444 3.05555556],0
p4,1,0.357525,0.846568,[19 30] ; [3 2],[19.96296296 29.03703704] ; [2.03703704 2.96296296],0
a4,1,0.357525,0.846568,[19 30] ; [3 2],[19.96296296 29.03703704] ; [2.03703704 2.96296296],0
v1,1,0.357525,0.846568,[19 30] ; [3 2],[19.96296296 29.03703704] ; [2.03703704 2.96296296],0
u3,1,0.420246,0.649627,[ 5 16] ; [1 1],[ 5.47826087 15.52173913] ; [0.52173913 1.47826087],0
a5,1,0.473146,0.51462,[32 18] ; [4 1],[32.72727273 17.27272727] ; [3.27272727 1.72727273],0
n1,1,0.490279,0.475913,[10 12] ; [2 1],[10.56 11.44] ; [1.44 1.56],0
p1,1,0.494053,0.467687,[ 5 45] ; [1 4],[ 5.45454545 44.54545455] ; [0.54545455 4.45454545],0
p2,1,0.608815,0.261905,[26 24] ; [2 3],[25.45454545 24.54545455] ; [2.54545455 2.45454545],0
p7,1,0.63795,0.221433,[18 31] ; [1 3],[17.56603774 31.43396226] ; [1.43396226 2.56603774],0
n3,1,0.642271,0.215784,[11 10] ; [2 1],[11.375  9.625] ; [1.625 1.375],0
b4,1,0.669764,0.181878,[25 25] ; [2 3],[24.54545455 25.45454545] ; [2.45454545 2.54545455],0
u2,1,0.67415,0.176786,[ 7 13] ; [1 1],[ 7.27272727 12.72727273] ; [0.72727273 1.27272727],0
n2,1,0.737989,0.111902,[13 10] ; [2 1],[13.26923077  9.73076923] ; [1.73076923 1.26923077],0
a7,1,0.739912,0.110204,[33 16] ; [3 2],[32.66666667 16.33333333] ; [3.33333333 1.66666667],0
p3,1,0.739912,0.110204,[16 33] ; [2 3],[16.33333333 32.66666667] ; [1.66666667 3.33333333],0
d3,1,0.787919,0.072368,[33 17] ; [3 2],[32.72727273 17.27272727] ; [3.27272727 1.72727273],0
a2,1,0.840909,0.040293,[12 38] ; [1 4],[11.81818182 38.18181818] ; [1.18181818 3.81818182],0
v3,1,0.889198,0.01941,[13 33] ; [1 3],[12.88 33.12] ; [1.12 2.88],0
v4,1,0.900149,0.015743,[38 11] ; [4 1],[38.11111111 10.88888889] ; [3.88888889 1.11111111],0
b5,1,0.931112,0.007473,[29 21] ; [3 2],[29.09090909 20.90909091] ; [2.90909091 2.09090909],0
a3,1,0.940711,0.005532,[29 18] ; [3 2],[28.92307692 18.07692308] ; [3.07692308 1.92307692],0
b3,1,0.97598,0.000907,[11 17] ; [2 3],[11.03030303 16.96969697] ; [1.96969697 3.03030303],0
b2,1,0.97598,0.000907,[11 17] ; [2 3],[11.03030303 16.96969697] ; [1.96969697 3.03030303],0
