Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v1,1,3.6e-05,17.092554,[32 45] ; [75 29],[45.51933702 31.48066298] ; [61.48066298 42.51933702],1
v3,1,0.001212,10.471835,[18 60] ; [47 54],[28.32402235 49.67597765] ; [36.67597765 64.32402235],0
p4,1,0.006291,7.46486,[42 35] ; [77 27],[50.62430939 26.37569061] ; [68.37569061 35.62430939],0
a2,1,0.007253,7.209156,[ 9 69] ; [29 75],[16.28571429 61.71428571] ; [21.71428571 82.28571429],0
d5,1,0.007466,7.157267,[58 20] ; [93 11],[64.71428571 13.28571429] ; [86.28571429 17.71428571],0
u1,1,0.008243,6.979826,[ 7 71] ; [25 79],[13.71428571 64.28571429] ; [18.28571429 85.71428571],0
d3,1,0.016303,5.769855,[48 30] ; [81 23],[55.28571429 22.71428571] ; [73.71428571 30.28571429],0
d1,1,0.02548,4.990954,[35 43] ; [64 40],[42.42857143 35.57142857] ; [56.57142857 47.42857143],0
p1,1,0.029907,4.714622,[ 7 71] ; [  2 102],[ 3.85714286 74.14285714] ; [ 5.14285714 98.85714286],0
n5,1,0.043209,4.087199,[51 26] ; [82 21],[56.89444444 20.10555556] ; [76.10555556 26.89444444],0
p3,1,0.048349,3.89782,[33 44] ; [60 44],[39.56353591 37.43646409] ; [53.43646409 50.56353591],0
a3,1,0.058881,3.568627,[45 33] ; [74 30],[51. 27.] ; [68. 36.],0
r1,1,0.071986,3.237154,[54 24] ; [84 20],[59.14285714 18.85714286] ; [78.85714286 25.14285714],0
p10,1,0.081546,3.033815,[58 18] ; [89 14],[62.41340782 13.58659218] ; [84.58659218 18.41340782],0
r3,1,0.08462,2.973856,[70  8] ; [100   4],[72.85714286  5.14285714] ; [97.14285714  6.85714286],0
a6,1,0.086216,2.943638,[46 32] ; [74 30],[51.42857143 26.57142857] ; [68.57142857 35.42857143],0
a4,1,0.094889,2.789421,[26 52] ; [47 56],[31.45856354 46.54143646] ; [41.54143646 61.45856354],0
p6,1,0.109041,2.568061,[25 52] ; [46 58],[30.20441989 46.79558011] ; [40.79558011 63.20441989],0
a5,1,0.112324,2.521219,[56 22] ; [85 19],[60.42857143 17.57142857] ; [80.57142857 23.42857143],0
a7,1,0.11803,2.443269,[51 27] ; [79 25],[55.71428571 22.28571429] ; [74.28571429 29.71428571],0
d2,1,0.142136,2.154684,[29 49] ; [50 54],[33.85714286 44.14285714] ; [45.14285714 58.85714286],0
s1,1,0.187749,1.735193,[ 3 74] ; [  1 102],[ 1.71111111 75.28888889] ; [  2.28888889 100.71111111],0
b1,1,0.20789,1.586057,[31 47] ; [32 72],[27. 51.] ; [36. 68.],0
n4,1,0.257439,1.282475,[55 23] ; [81 23],[58.28571429 19.71428571] ; [77.71428571 26.28571429],0
s4,1,0.28272,1.153968,[15 61] ; [14 88],[12.38202247 63.61797753] ; [16.61797753 85.38202247],0
d4,1,0.350662,0.871059,[61 17] ; [87 17],[63.42857143 14.57142857] ; [84.57142857 19.42857143],0
a1,1,0.360743,0.835306,[ 4 74] ; [ 9 95],[ 5.57142857 72.42857143] ; [ 7.42857143 96.57142857],0
p8,1,0.416908,0.659014,[43 35] ; [49 51],[40.31460674 37.68539326] ; [51.68539326 48.31460674],0
s5,1,0.454257,0.560008,[25 52] ; [39 64],[27.37777778 49.62222222] ; [36.62222222 66.37777778],0
s7,1,0.477362,0.504884,[27 47] ; [41 57],[29.25581395 44.74418605] ; [38.74418605 59.25581395],0
p2,1,0.49834,0.45847,[59 18] ; [84 20],[60.83425414 16.16574586] ; [82.16574586 21.83425414],0
r2,1,0.513871,0.426176,[68  9] ; [94  9],[69.3  7.7] ; [92.7 10.3],0
n1,1,0.521607,0.410714,[ 8 15] ; [ 6 17],[ 7. 16.] ; [ 7. 16.],0
n3,1,0.535825,0.383333,[16  7] ; [14  9],[15.  8.] ; [15.  8.],0
n2,1,0.587114,0.294874,[16  8] ; [17  6],[16.85106383  7.14893617] ; [16.14893617  6.85106383],0
s2,1,0.589381,0.291312,[17 61] ; [26 77],[18.53038674 59.46961326] ; [24.46961326 78.53038674],0
v4,1,0.604915,0.267647,[72  6] ; [98  6],[72.85714286  5.14285714] ; [97.14285714  6.85714286],0
p11,1,0.627256,0.2358,[56 22] ; [78 26],[57.42857143 20.57142857] ; [76.57142857 27.42857143],0
r4,1,0.639187,0.219807,[68 10] ; [93 11],[69.  9.] ; [92. 12.],0
u2,1,0.6858,0.163669,[21 12] ; [17 12],[20.22580645 12.77419355] ; [17.77419355 11.22580645],0
a8,1,0.696571,0.152063,[ 8 67] ; [11 76],[ 8.7962963 66.2037037] ; [10.2037037 76.7962963],0
p5,1,0.723235,0.125414,[ 9 68] ; [14 90],[ 9.78453039 67.21546961] ; [13.21546961 90.78453039],0
b4,1,0.729805,0.11929,[43 35] ; [60 44],[44.14285714 33.85714286] ; [58.85714286 45.14285714],0
b2,1,0.757925,0.094991,[16 27] ; [23 44],[15.24545455 27.75454545] ; [23.75454545 43.24545455],0
b3,1,0.757925,0.094991,[16 27] ; [23 44],[15.24545455 27.75454545] ; [23.75454545 43.24545455],0
u3,1,0.82901,0.046644,[19 13] ; [17 13],[18.58064516 13.41935484] ; [17.41935484 12.58064516],0
s8,1,0.829183,0.046548,[30 48] ; [38 65],[29.3038674 48.6961326] ; [38.6961326 64.3038674],0
p9,1,0.837003,0.042324,[65 13] ; [87 16],[65.50276243 12.49723757] ; [86.49723757 16.50276243],0
u4,1,0.837373,0.04213,[ 1 77] ; [  1 103],[ 0.85714286 77.14285714] ; [  1.14285714 102.85714286],0
p12,1,0.917706,0.010676,[ 5 73] ; [ 7 96],[ 5.17127072 72.82872928] ; [ 6.82872928 96.17127072],0
b5,1,0.929068,0.007924,[50 28] ; [66 38],[49.71428571 28.28571429] ; [66.28571429 37.71428571],0
n6,1,0.95124,0.003739,[67 11] ; [89 15],[66.85714286 11.14285714] ; [89.14285714 14.85714286],0
p7,1,0.994412,4.9e-05,[48 28] ; [65 38],[47.97765363 28.02234637] ; [65.02234637 37.97765363],0
