Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,1e-06,23.979093,[10 63] ; [23 17],[21.31858407 51.68141593] ; [11.68141593 28.31858407],1
v2,1,2e-05,18.19702,[13 59] ; [22 16],[22.90909091 49.09090909] ; [12.09090909 25.90909091],1
s5,1,0.000164,14.200949,[ 6 66] ; [14 23],[13.21100917 58.78899083] ; [ 6.78899083 30.21100917],1
r3,1,0.000224,13.617249,[31 41] ; [31  8],[40.21621622 31.78378378] ; [21.78378378 17.21621622],1
p11,1,0.000331,12.886182,[29 44] ; [30 10],[38.11504425 34.88495575] ; [20.88495575 19.11504425],1
s3,1,0.000349,12.787306,[19 52] ; [24 15],[27.75454545 43.24545455] ; [15.24545455 23.75454545],1
s4,1,0.001757,9.787438,[ 9 64] ; [15 25],[15.50442478 57.49557522] ; [ 8.49557522 31.50442478],0
s8,1,0.002277,9.311827,[ 7 66] ; [13 27],[12.92035398 60.07964602] ; [ 7.07964602 32.92035398],0
p7,1,0.005383,7.746101,[22 50] ; [22 16],[28.8 43.2] ; [15.2 22.8],0
p2,1,0.006705,7.350208,[37 35] ; [31  9],[43.71428571 28.28571429] ; [24.28571429 15.71428571],0
s7,1,0.009394,6.74631,[15 53] ; [18 21],[20.97196262 47.02803738] ; [12.02803738 26.97196262],0
b2,1,0.018428,5.555033,[17 26] ; [ 4 25],[12.54166667 30.45833333] ; [ 8.45833333 20.54166667],0
b3,1,0.018428,5.555033,[17 26] ; [ 4 25],[12.54166667 30.45833333] ; [ 8.45833333 20.54166667],0
v1,1,0.023926,5.099988,[16 54] ; [17 22],[21.19266055 48.80733945] ; [11.80733945 27.19266055],0
d3,1,0.024122,5.085852,[29 43] ; [25 15],[34.71428571 37.28571429] ; [19.28571429 20.71428571],0
d5,1,0.024454,5.062123,[37 36] ; [29 11],[42.63716814 30.36283186] ; [23.36283186 16.63716814],0
v4,1,0.048009,3.909663,[39 34] ; [27 10],[43.8 29.2] ; [22.2 14.8],0
p4,1,0.052839,3.74901,[23 50] ; [20 20],[27.77876106 45.22123894] ; [15.22123894 24.77876106],0
p3,1,0.05633,3.642276,[15 57] ; [15 25],[19.28571429 52.71428571] ; [10.71428571 29.28571429],0
p9,1,0.064701,3.412576,[34 35] ; [27 13],[38.6146789 30.3853211] ; [22.3853211 17.6146789],0
n2,1,0.075575,3.157579,[18 19] ; [12  4],[20.94339623 16.05660377] ; [9.05660377 6.94339623],0
u3,1,0.094793,2.79103,[ 9 28] ; [8 9],[11.64814815 25.35185185] ; [ 5.35185185 11.64814815],0
