Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.001388,10.221183,[16  3] ; [2 7],[12.21428571  6.78571429] ; [5.78571429 3.21428571],0
s7,1,0.011466,6.39166,[18  1] ; [5 4],[15.60714286  3.39285714] ; [7.39285714 1.60714286],0
s6,1,0.029604,4.732164,[16  3] ; [4 5],[13.57142857  5.42857143] ; [6.42857143 2.57142857],0
p7,1,0.067362,3.346168,[12  5] ; [3 6],[9.80769231 7.19230769] ; [5.19230769 3.80769231],0
n4,1,0.067892,3.333265,[15  4] ; [4 5],[12.89285714  6.10714286] ; [6.10714286 2.89285714],0
a6,1,0.077121,3.124546,[11  8] ; [2 7],[ 8.82142857 10.17857143] ; [4.17857143 4.82142857],0
r2,1,0.11259,2.517483,[10  5] ; [3 6],[8.125 6.875] ; [4.875 4.125],0
p2,1,0.141123,2.165675,[17  2] ; [6 3],[15.60714286  3.39285714] ; [7.39285714 1.60714286],0
n6,1,0.159255,1.981287,[12  7] ; [8 1],[13.57142857  5.42857143] ; [6.42857143 2.57142857],0
p4,1,0.203226,1.619039,[10  9] ; [7 2],[11.53571429  7.46428571] ; [5.46428571 3.53571429],0
b5,1,0.225041,1.471933,[13  6] ; [4 5],[11.53571429  7.46428571] ; [5.46428571 3.53571429],0
d4,1,0.290689,1.116427,[16  3] ; [6 3],[14.92857143  4.07142857] ; [7.07142857 1.92857143],0
n5,1,0.290689,1.116427,[16  3] ; [6 3],[14.92857143  4.07142857] ; [7.07142857 1.92857143],0
p11,1,0.290689,1.116427,[16  3] ; [6 3],[14.92857143  4.07142857] ; [7.07142857 1.92857143],0
v4,1,0.326109,0.964286,[15  3] ; [6 3],[14.  4.] ; [7. 2.],0
d5,1,0.337419,0.920215,[14  5] ; [5 4],[12.89285714  6.10714286] ; [6.10714286 2.89285714],0
b4,1,0.338939,0.91444,[ 9 10] ; [6 3],[10.17857143  8.82142857] ; [4.82142857 4.17857143],0
s4,1,0.359809,0.838561,[ 5 14] ; [1 8],[ 4.07142857 14.92857143] ; [1.92857143 7.07142857],0
p6,1,0.411314,0.675,[9 9] ; [3 6],[ 8. 10.] ; [4. 5.],0
s5,1,0.412494,0.671601,[ 3 13] ; [3 6],[ 3.84 12.16] ; [2.16 6.84],0
u3,1,0.429195,0.625,[3 3] ; [3 1],[3.6 2.4] ; [2.4 1.6],0
d1,1,0.48338,0.491228,[ 9 10] ; [3 6],[ 8.14285714 10.85714286] ; [3.85714286 5.14285714],0
p10,1,0.483522,0.490909,[14  4] ; [8 1],[14.66666667  3.33333333] ; [7.33333333 1.66666667],0
v1,1,0.484118,0.489574,[ 7 10] ; [5 4],[7.84615385 9.15384615] ; [4.15384615 4.84615385],0
a3,1,0.506984,0.440286,[13  6] ; [5 4],[12.21428571  6.78571429] ; [5.78571429 3.21428571],0
a4,1,0.506984,0.440286,[ 6 13] ; [4 5],[ 6.78571429 12.21428571] ; [3.21428571 5.78571429],0
b3,1,0.541045,0.373606,[ 5 12] ; [1 5],[ 4.43478261 12.56521739] ; [1.56521739 4.43478261],0
b2,1,0.541045,0.373606,[ 5 12] ; [1 5],[ 4.43478261 12.56521739] ; [1.56521739 4.43478261],0
u1,1,0.574695,0.31489,[ 1 18] ; [1 8],[ 1.35714286 17.64285714] ; [0.64285714 8.35714286],0
s1,1,0.574695,0.31489,[ 1 18] ; [1 8],[ 1.35714286 17.64285714] ; [0.64285714 8.35714286],0
v3,1,0.608757,0.261988,[ 6 13] ; [2 7],[ 5.42857143 13.57142857] ; [2.57142857 6.42857143],0
d2,1,0.65714,0.197017,[ 8 11] ; [3 6],[ 7.46428571 11.53571429] ; [3.53571429 5.46428571],0
v2,1,0.685734,0.163743,[10  9] ; [4 5],[9.5 9.5] ; [4.5 4.5],0
d3,1,0.685734,0.163743,[10  9] ; [4 5],[9.5 9.5] ; [4.5 4.5],0
a5,1,0.700472,0.147981,[12  7] ; [5 4],[11.53571429  7.46428571] ; [5.46428571 3.53571429],0
r1,1,0.701063,0.147368,[ 5 14] ; [3 6],[ 5.42857143 13.57142857] ; [2.57142857 6.42857143],0
p9,1,0.7411,0.109162,[16  3] ; [8 1],[16.28571429  2.71428571] ; [7.71428571 1.28571429],0
n3,1,0.796762,0.066327,[4 3] ; [3 3],[3.76923077 3.23076923] ; [3.23076923 2.76923077],0
n1,1,0.796762,0.066327,[4 3] ; [3 3],[3.76923077 3.23076923] ; [3.23076923 2.76923077],0
r3,1,0.815276,0.054581,[14  5] ; [7 2],[14.25  4.75] ; [6.75 2.25],0
a7,1,0.884799,0.020993,[ 9 10] ; [4 5],[ 8.82142857 10.17857143] ; [4.17857143 4.82142857],0
p8,1,0.884799,0.020993,[ 9 10] ; [4 5],[ 8.82142857 10.17857143] ; [4.17857143 4.82142857],0
b1,1,0.884799,0.020993,[ 9 10] ; [4 5],[ 8.82142857 10.17857143] ; [4.17857143 4.82142857],0
n2,1,0.905581,0.014069,[6 1] ; [5 1],[5.92307692 1.07692308] ; [5.07692308 0.92307692],0
p3,1,0.907008,0.013645,[ 8 11] ; [4 5],[ 8.14285714 10.85714286] ; [3.85714286 5.14285714],0
u2,1,1.0,0.0,[3 3] ; [2 2],[3. 3.] ; [2. 2.],0
