Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,8e-06,20.008993,[16 42] ; [76 44],[29.97752809 28.02247191] ; [62.02247191 57.97752809],1
b1,1,0.018431,5.554668,[31 28] ; [41 79],[23.73184358 35.26815642] ; [48.26815642 71.73184358],0
p3,1,0.023357,5.141726,[30 29] ; [80 37],[36.875 22.125] ; [73.125 43.875],0
r3,1,0.027193,4.878512,[54  5] ; [118   2],[56.69273743  2.30726257] ; [115.30726257   4.69273743],0
s7,1,0.049349,3.863448,[32 24] ; [83 32],[37.66081871 18.33918129] ; [77.33918129 37.66081871],0
n6,1,0.056522,3.636606,[48 11] ; [105  10],[51.87931034  7.12068966] ; [101.12068966  13.87931034],0
a5,1,0.064644,3.414044,[44 15] ; [103  17],[48.45251397 10.54748603] ; [98.54748603 21.45251397],0
p7,1,0.09129,2.851473,[41 18] ; [93 22],[45.43678161 13.56321839] ; [88.56321839 26.43678161],0
d1,1,0.093164,2.818827,[36 23] ; [88 32],[40.87150838 18.12849162] ; [83.12849162 36.87150838],0
n5,1,0.094052,2.803623,[45 14] ; [101  16],[48.94318182 10.05681818] ; [97.05681818 19.94318182],0
u1,1,0.19582,1.673279,[11 48] ; [33 87],[14.5027933 44.4972067] ; [29.4972067 90.5027933],0
b4,1,0.198195,1.655629,[33 26] ; [79 41],[36.91620112 22.08379888] ; [75.08379888 44.91620112],0
p8,1,0.203897,1.614235,[35 24] ; [80 36],[38.77142857 20.22857143] ; [76.22857143 39.77142857],0
p11,1,0.213781,1.545635,[44 15] ; [99 21],[47.13407821 11.86592179] ; [95.86592179 24.13407821],0
p4,1,0.215212,1.536017,[39 20] ; [87 29],[42.48 16.52] ; [83.52 32.48],0
n4,1,0.231182,1.433573,[45 13] ; [101  18],[47.84180791 10.15819209] ; [98.15819209 20.84180791],0
u3,1,0.244607,1.353846,[8 5] ; [16  4],[9.45454545 3.54545455] ; [14.54545455  5.45454545],0
s8,1,0.259544,1.271186,[36 23] ; [82 36],[39.33333333 19.66666667] ; [78.66666667 39.33333333],0
n3,1,0.265114,1.241854,[8 7] ; [15  6],[9.58333333 5.41666667] ; [13.41666667  7.58333333],0
a6,1,0.274522,1.19401,[33 26] ; [76 42],[36.33333333 22.66666667] ; [72.66666667 45.33333333],0
s4,1,0.30932,1.033577,[16 43] ; [24 94],[13.33333333 45.66666667] ; [26.66666667 91.33333333],0
a3,1,0.321023,0.984776,[46 13] ; [100  19],[48.39325843 10.60674157] ; [97.60674157 21.39325843],0
a4,1,0.336767,0.9227,[34 25] ; [60 60],[30.98324022 28.01675978] ; [63.01675978 56.98324022],0
d4,1,0.40199,0.702365,[52  6] ; [111   8],[53.41242938  4.58757062] ; [109.58757062   9.41242938],0
p12,1,0.452833,0.563551,[ 7 52] ; [19 99],[ 8.66666667 50.33333333] ; [ 17.33333333 100.66666667],0
n1,1,0.453255,0.5625,[10  6] ; [10 10],[8.88888889 7.11111111] ; [11.11111111  8.88888889],0
p5,1,0.463944,0.536364,[13 46] ; [32 86],[15. 44.] ; [30. 88.],0
p6,1,0.486506,0.484245,[33 25] ; [59 56],[30.84393064 27.15606936] ; [61.15606936 53.84393064],0
d2,1,0.522111,0.409722,[30 29] ; [66 52],[32. 27.] ; [64. 54.],0
a7,1,0.522409,0.409135,[38 21] ; [83 37],[39.88268156 19.11731844] ; [81.11731844 38.88268156],0
