Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.00283,8.913985,[10  4] ; [ 5 18],[5.67567568 8.32432432] ; [ 9.32432432 13.67567568],0
a5,1,0.004495,8.072037,[11  3] ; [ 7 16],[6.81081081 7.18918919] ; [11.18918919 11.81081081],0
u3,1,0.007661,7.111111,[3 1] ; [ 1 11],[1. 3.] ; [3. 9.],0
a4,1,0.012649,6.217575,[9 5] ; [ 5 17],[5.44444444 8.55555556] ; [ 8.55555556 13.44444444],0
a6,1,0.015239,5.888637,[10  4] ; [ 7 16],[6.43243243 7.56756757] ; [10.56756757 12.43243243],0
p4,1,0.049112,3.871537,[5 9] ; [ 2 20],[ 2.72222222 11.27777778] ; [ 4.27777778 17.72222222],0
d5,1,0.05661,3.634013,[10  4] ; [ 9 14],[7.18918919 6.81081081] ; [11.81081081 11.18918919],0
n1,1,0.072073,3.235165,[6 3] ; [ 4 10],[3.91304348 5.08695652] ; [6.08695652 7.91304348],0
d1,1,0.074919,3.171812,[7 7] ; [ 5 18],[4.54054054 9.45945946] ; [ 7.45945946 15.54054054],0
a3,1,0.088961,2.893072,[10  3] ; [11 12],[7.58333333 5.41666667] ; [13.41666667  9.58333333],0
a1,1,0.11167,2.530421,[ 4 10] ; [ 2 21],[ 2.27027027 11.72972973] ; [ 3.72972973 19.27027027],0
b1,1,0.159886,1.975303,[10  4] ; [11 12],[7.94594595 6.05405405] ; [13.05405405  9.94594595],0
b5,1,0.18303,1.772848,[8 6] ; [ 8 15],[6.05405405 7.94594595] ; [ 9.94594595 13.05405405],0
v4,1,0.18303,1.772848,[8 6] ; [ 8 15],[6.05405405 7.94594595] ; [ 9.94594595 13.05405405],0
r1,1,0.234005,1.416352,[7 7] ; [ 7 16],[5.2972973 8.7027027] ; [ 8.7027027 14.2972973],0
v2,1,0.242166,1.367938,[ 4 10] ; [ 3 20],[ 2.64864865 11.35135135] ; [ 4.35135135 18.64864865],0
s2,1,0.242729,1.364673,[ 1 13] ; [ 5 18],[ 2.27027027 11.72972973] ; [ 3.72972973 19.27027027],0
p2,1,0.266831,1.232969,[ 2 12] ; [ 7 16],[ 3.40540541 10.59459459] ; [ 5.59459459 17.40540541],0
r4,1,0.282802,1.153574,[ 2 12] ; [ 1 22],[ 1.13513514 12.86486486] ; [ 1.86486486 21.13513514],0
p6,1,0.302629,1.062574,[ 2 12] ; [ 1 21],[ 1.16666667 12.83333333] ; [ 1.83333333 20.16666667],0
n2,1,0.348861,0.877595,[5 4] ; [5 9],[3.91304348 5.08695652] ; [6.08695652 7.91304348],0
n3,1,0.428539,0.626781,[5 4] ; [5 8],[4.09090909 4.90909091] ; [5.90909091 7.09090909],0
p8,1,0.437813,0.602007,[ 3 10] ; [ 3 20],[ 2.16666667 10.83333333] ; [ 3.83333333 19.16666667],0
n4,1,0.442703,0.589266,[8 6] ; [16  7],[9.08108108 4.91891892] ; [14.91891892  8.08108108],0
b4,1,0.470774,0.520159,[9 5] ; [12 11],[7.94594595 6.05405405] ; [13.05405405  9.94594595],0
r2,1,0.485667,0.486111,[9 5] ; [11 10],[8. 6.] ; [12.  9.],0
u2,1,0.550985,0.355556,[2 2] ; [4 8],[1.5 2.5] ; [4.5 7.5],0
p1,1,0.575082,0.314253,[ 1 13] ; [ 3 20],[ 1.51351351 12.48648649] ; [ 2.48648649 20.51351351],0
s5,1,0.575082,0.314253,[ 1 13] ; [ 3 20],[ 1.51351351 12.48648649] ; [ 2.48648649 20.51351351],0
d4,1,0.58239,0.302386,[8 6] ; [11 12],[7.18918919 6.81081081] ; [11.81081081 11.18918919],0
s7,1,0.582804,0.301724,[ 3 11] ; [ 3 18],[ 2.4 11.6] ; [ 3.6 17.4],0
n6,1,0.587045,0.294983,[5 8] ; [11 12],[5.77777778 7.22222222] ; [10.22222222 12.77777778],0
b3,1,0.679365,0.170842,[5 6] ; [ 6 10],[4.48148148 6.51851852] ; [6.51851852 9.48148148],0
b2,1,0.679365,0.170842,[5 6] ; [ 6 10],[4.48148148 6.51851852] ; [6.51851852 9.48148148],0
s3,1,0.693012,0.155844,[ 3 11] ; [ 6 16],[ 3.5 10.5] ; [ 5.5 16.5],0
s8,1,0.715379,0.132964,[ 1 13] ; [ 1 22],[ 0.75675676 13.24324324] ; [ 1.24324324 21.75675676],0
s4,1,0.748737,0.102595,[ 3 11] ; [ 6 17],[ 3.40540541 10.59459459] ; [ 5.59459459 17.40540541],0
p11,1,0.761057,0.092473,[ 3 11] ; [ 4 19],[ 2.64864865 11.35135135] ; [ 4.35135135 18.64864865],0
s6,1,0.761057,0.092473,[ 3 11] ; [ 4 19],[ 2.64864865 11.35135135] ; [ 4.35135135 18.64864865],0
d2,1,0.789993,0.070926,[7 7] ; [10 12],[6.61111111 7.38888889] ; [10.38888889 11.61111111],0
v1,1,0.803708,0.061778,[ 2 12] ; [ 4 19],[ 2.27027027 11.72972973] ; [ 3.72972973 19.27027027],0
p3,1,0.803708,0.061778,[ 2 12] ; [ 4 19],[ 2.27027027 11.72972973] ; [ 3.72972973 19.27027027],0
p10,1,0.803708,0.061778,[ 2 12] ; [ 4 19],[ 2.27027027 11.72972973] ; [ 3.72972973 19.27027027],0
n5,1,0.904273,0.014464,[10  4] ; [16  7],[9.83783784 4.16216216] ; [16.16216216  6.83783784],0
s1,1,0.914635,0.011491,[ 2 12] ; [ 3 20],[ 1.89189189 12.10810811] ; [ 3.10810811 19.89189189],0
p7,1,0.932412,0.007193,[ 4 10] ; [ 6 16],[ 3.88888889 10.11111111] ; [ 6.11111111 15.88888889],0
v3,1,0.982244,0.000495,[ 3 11] ; [ 5 18],[ 3.02702703 10.97297297] ; [ 4.97297297 18.02702703],0
