Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.016573,5.741039,[15  9] ; [ 6 16],[10.95652174 13.04347826] ; [10.04347826 11.95652174],0
d4,1,0.017188,5.677078,[24  1] ; [17  7],[20.91836735  4.08163265] ; [20.08163265  3.91836735],0
p4,1,0.062465,3.470693,[18  7] ; [11 13],[14.79591837 10.20408163] ; [14.20408163  9.79591837],0
p3,1,0.063596,3.441025,[16  9] ; [ 9 15],[12.75510204 12.24489796] ; [12.24489796 11.75510204],0
v3,1,0.078947,3.086445,[ 9 15] ; [ 3 18],[ 6.4 17.6] ; [ 5.6 15.4],0
p9,1,0.093006,2.821565,[23  2] ; [17  6],[20.83333333  4.16666667] ; [19.16666667  3.83333333],0
n3,1,0.095852,2.773232,[2 6] ; [7 4],[3.78947368 4.21052632] ; [5.21052632 5.78947368],0
p10,1,0.116162,2.46832,[22  3] ; [16  7],[19.79166667  5.20833333] ; [18.20833333  4.79166667],0
p2,1,0.133277,2.253913,[21  4] ; [15  8],[18.75  6.25] ; [17.25  5.75],0
s8,1,0.176189,1.829477,[12 13] ; [ 7 17],[ 9.69387755 15.30612245] ; [ 9.30612245 14.69387755],0
p8,1,0.181489,1.785392,[13 11] ; [ 8 15],[10.72340426 13.27659574] ; [10.27659574 12.72340426],0
s4,1,0.195506,1.67563,[ 7 18] ; [11 13],[ 9.18367347 15.81632653] ; [ 8.81632653 15.18367347],0
a1,1,0.199375,1.646944,[ 2 23] ; [ 5 19],[ 3.57142857 21.42857143] ; [ 3.42857143 20.57142857],0
d1,1,0.199375,1.646944,[15 10] ; [10 14],[12.75510204 12.24489796] ; [12.24489796 11.75510204],0
p5,1,0.202431,1.624751,[ 7 18] ; [ 3 20],[ 5.20833333 19.79166667] ; [ 4.79166667 18.20833333],0
d5,1,0.269491,1.219334,[21  4] ; [17  7],[19.3877551  5.6122449] ; [18.6122449  5.3877551],0
s1,1,0.277339,1.180083,[ 1 24] ; [ 3 21],[ 2.04081633 22.95918367] ; [ 1.95918367 22.04081633],0
n6,1,0.298688,1.080042,[19  6] ; [21  3],[20.40816327  4.59183673] ; [19.59183673  4.40816327],0
b4,1,0.298688,1.080042,[19  6] ; [21  3],[20.40816327  4.59183673] ; [19.59183673  4.40816327],0
a5,1,0.315041,1.009424,[18  7] ; [14 10],[16.32653061  8.67346939] ; [15.67346939  8.32653061],0
u1,1,0.316771,1.002231,[ 3 22] ; [ 1 23],[ 2.04081633 22.95918367] ; [ 1.95918367 22.04081633],0
d2,1,0.320472,0.98702,[ 8 17] ; [11 13],[ 9.69387755 15.30612245] ; [ 9.30612245 14.69387755],0
a7,1,0.320472,0.98702,[17  8] ; [13 11],[15.30612245  9.69387755] ; [14.69387755  9.30612245],0
n4,1,0.322199,0.98,[16  9] ; [12 12],[14.28571429 10.71428571] ; [13.71428571 10.28571429],0
u3,1,0.36131,0.833333,[7 3] ; [5 5],[6. 4.] ; [6. 4.],0
p1,1,0.36574,0.818087,[ 3 22] ; [ 5 18],[ 4.16666667 20.83333333] ; [ 3.83333333 19.16666667],0
a4,1,0.443638,0.586854,[11 14] ; [ 8 16],[ 9.69387755 15.30612245] ; [ 9.30612245 14.69387755],0
s2,1,0.455714,0.5564,[20  5] ; [17  7],[18.87755102  6.12244898] ; [18.12244898  5.87755102],0
a6,1,0.476671,0.506469,[14 11] ; [11 13],[12.75510204 12.24489796] ; [12.24489796 11.75510204],0
d3,1,0.478391,0.502528,[18  7] ; [15  9],[16.83673469  8.16326531] ; [16.16326531  7.83673469],0
n5,1,0.483865,0.490141,[16  9] ; [13 11],[14.79591837 10.20408163] ; [14.20408163  9.79591837],0
p12,1,0.527064,0.400048,[ 1 24] ; [ 2 22],[ 1.53061224 23.46938776] ; [ 1.46938776 22.53061224],0
b2,1,0.637947,0.221437,[6 7] ; [ 6 10],[5.37931034 7.62068966] ; [6.62068966 9.37931034],0
b3,1,0.637947,0.221437,[6 7] ; [ 6 10],[5.37931034 7.62068966] ; [6.62068966 9.37931034],0
b5,1,0.65591,0.19853,[12 13] ; [10 14],[11.2244898 13.7755102] ; [10.7755102 13.2244898],0
s3,1,0.684029,0.165626,[16  9] ; [14 10],[15.30612245  9.69387755] ; [14.69387755  9.30612245],0
s6,1,0.711531,0.136752,[19  5] ; [20  4],[19.5  4.5] ; [19.5  4.5],0
n2,1,0.718904,0.129545,[6 2] ; [9 2],[6.31578947 1.68421053] ; [8.68421053 2.31578947],0
n1,1,0.728794,0.120222,[3 5] ; [5 6],[3.36842105 4.63157895] ; [4.63157895 6.36842105],0
s7,1,0.736465,0.113258,[13 11] ; [13  9],[13.56521739 10.43478261] ; [12.43478261  9.56521739],0
p6,1,0.772638,0.083478,[12 12] ; [11 13],[11.5 12.5] ; [11.5 12.5],0
p11,1,0.829672,0.046278,[17  8] ; [17  7],[17.34693878  7.65306122] ; [16.65306122  7.34693878],0
b1,1,0.868951,0.027222,[11 14] ; [10 14],[10.71428571 14.28571429] ; [10.28571429 13.71428571],0
p7,1,0.891138,0.018732,[13 11] ; [12 11],[12.76595745 11.23404255] ; [12.23404255 10.76595745],0
