Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.000937,10.948853,[22 18] ; [19 59],[13.89830508 26.10169492] ; [27.10169492 50.89830508],1
s2,1,0.00184,9.70228,[25 15] ; [25 52],[17.09401709 22.90598291] ; [32.90598291 44.09401709],0
s6,1,0.00624,7.479563,[30 10] ; [38 40],[23.05084746 16.94915254] ; [44.94915254 33.05084746],0
s4,1,0.008062,7.019571,[11 29] ; [ 7 71],[ 6.10169492 33.89830508] ; [11.89830508 66.10169492],0
s5,1,0.011407,6.400745,[13 25] ; [10 63],[ 7.87387387 30.12612613] ; [15.12612613 57.87387387],0
s3,1,0.015298,5.881846,[27 12] ; [35 42],[20.84482759 18.15517241] ; [41.15517241 35.84482759],0
p9,1,0.026457,4.9259,[33  6] ; [50 27],[27.90517241 11.09482759] ; [55.09482759 21.90517241],0
v1,1,0.053273,3.735335,[23 17] ; [29 46],[18.08695652 21.91304348] ; [33.91304348 41.08695652],0
b4,1,0.078883,3.087762,[20 20] ; [52 26],[24.40677966 15.59322034] ; [47.59322034 30.40677966],0
p10,1,0.124434,2.360602,[28 11] ; [44 33],[24.20689655 14.79310345] ; [47.79310345 29.20689655],0
u2,1,0.137916,2.201064,[9 1] ; [19 10],[7.17948718 2.82051282] ; [20.82051282  8.17948718],0
n1,1,0.138011,2.2,[7 4] ; [ 8 14],[5. 6.] ; [10. 12.],0
b5,1,0.166511,1.914081,[22 18] ; [53 25],[25.42372881 14.57627119] ; [49.57627119 28.42372881],0
b3,1,0.189051,1.725,[ 9 14] ; [11 35],[ 6.66666667 16.33333333] ; [13.33333333 32.66666667],0
b2,1,0.189051,1.725,[ 9 14] ; [11 35],[ 6.66666667 16.33333333] ; [13.33333333 32.66666667],0
p5,1,0.201804,1.629268,[ 3 36] ; [ 2 75],[ 1.68103448 37.31896552] ; [ 3.31896552 73.68103448],0
p7,1,0.21113,1.56366,[23 16] ; [34 39],[19.84821429 19.15178571] ; [37.15178571 35.84821429],0
v2,1,0.220671,1.5,[21 15] ; [33 39],[18. 18.] ; [36. 36.],0
a5,1,0.230435,1.438175,[30 10] ; [50 28],[27.11864407 12.88135593] ; [52.88135593 25.11864407],0
b1,1,0.24001,1.380536,[22 18] ; [34 44],[18.98305085 21.01694915] ; [37.01694915 40.98305085],0
p1,1,0.26086,1.264186,[ 5 35] ; [ 5 73],[ 3.38983051 36.61016949] ; [ 6.61016949 71.38983051],0
p6,1,0.284261,1.146603,[12 27] ; [16 58],[ 9.66371681 29.33628319] ; [18.33628319 55.66371681],0
n3,1,0.292743,1.106962,[11  1] ; [17  5],[9.88235294 2.11764706] ; [18.11764706  3.88235294],0
a3,1,0.293047,1.105571,[29 11] ; [49 29],[26.44067797 13.55932203] ; [51.55932203 26.44067797],0
n2,1,0.31786,0.99773,[11  1] ; [18  5],[9.94285714 2.05714286] ; [19.05714286  3.94285714],0
v4,1,0.373937,0.790541,[38  1] ; [73  5],[37.  2.] ; [74.  4.],0
