Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,4.5e-05,16.628598,[11  6] ; [14 67],[ 4.33673469 12.66326531] ; [20.66326531 60.33673469],1
s2,1,6.8e-05,15.866756,[12  5] ; [19 67],[ 5.11650485 11.88349515] ; [25.88349515 60.11650485],1
v2,1,0.002979,8.820513,[11  6] ; [23 61],[ 5.72277228 11.27722772] ; [28.27722772 55.72277228],0
s6,1,0.009295,6.765164,[12  6] ; [29 57],[ 7.09615385 10.90384615] ; [33.90384615 52.09615385],0
r4,1,0.021164,5.313202,[16  2] ; [52 34],[11.76923077  6.23076923] ; [56.23076923 29.76923077],0
u1,1,0.02184,5.258492,[ 2 16] ; [ 1 85],[ 0.51923077 17.48076923] ; [ 2.48076923 83.51923077],0
n6,1,0.021943,5.250271,[15  3] ; [46 39],[10.66019417  7.33980583] ; [50.33980583 34.66019417],0
p10,1,0.034347,4.477366,[ 7 11] ; [14 70],[ 3.70588235 14.29411765] ; [17.29411765 66.70588235],0
s3,1,0.049187,3.868966,[11  6] ; [33 52],[7.33333333 9.66666667] ; [36.66666667 48.33333333],0
p4,1,0.055982,3.652607,[10  8] ; [27 58],[ 6.46601942 11.53398058] ; [30.53398058 54.46601942],0
v3,1,0.065388,3.395159,[9 9] ; [23 60],[ 5.7029703 12.2970297] ; [26.2970297 56.7029703],0
p5,1,0.080611,3.052532,[ 2 16] ; [ 2 83],[ 0.69902913 17.30097087] ; [ 3.30097087 81.69902913],0
v4,1,0.082189,3.02108,[17  1] ; [64 20],[14.29411765  3.70588235] ; [66.70588235 17.29411765],0
s5,1,0.083854,2.988568,[ 5 12] ; [11 75],[ 2.6407767 14.3592233] ; [13.3592233 72.6407767],0
r2,1,0.085533,2.956501,[17  1] ; [65 20],[14.33009709  3.66990291] ; [67.66990291 17.33009709],0
b4,1,0.144619,2.128109,[13  5] ; [46 40],[10.21153846  7.78846154] ; [48.78846154 37.21153846],0
a3,1,0.146646,2.106802,[11  7] ; [36 49],[8.21359223 9.78640777] ; [38.78640777 46.21359223],0
r3,1,0.15167,2.055374,[16  2] ; [62 23],[13.63106796  4.36893204] ; [64.36893204 20.63106796],0
p11,1,0.190827,1.711221,[11  7] ; [38 48],[8.48076923 9.51923077] ; [40.51923077 45.48076923],0
n1,1,0.192084,1.701562,[3 1] ; [13 19],[1.77777778 2.22222222] ; [14.22222222 17.77777778],0
p2,1,0.197689,1.659369,[12  6] ; [43 43],[9.51923077 8.48076923] ; [45.48076923 40.51923077],0
p3,1,0.202505,1.624217,[ 8 10] ; [25 61],[ 5.71153846 12.28846154] ; [27.28846154 58.71153846],0
v1,1,0.202505,1.624217,[ 8 10] ; [25 61],[ 5.71153846 12.28846154] ; [27.28846154 58.71153846],0
r1,1,0.212471,1.554506,[14  4] ; [53 32],[11.70873786  6.29126214] ; [55.29126214 29.70873786],0
d5,1,0.223552,1.48142,[11  7] ; [39 47],[8.65384615 9.34615385] ; [41.34615385 44.65384615],0
b1,1,0.230197,1.439646,[12  6] ; [44 42],[9.69230769 8.30769231] ; [46.30769231 39.69230769],0
n5,1,0.248872,1.329626,[12  6] ; [44 41],[9.78640777 8.21359223] ; [46.21359223 38.78640777],0
s1,1,0.375291,0.786071,[ 3 15] ; [ 8 76],[ 1.94117647 16.05882353] ; [ 9.05882353 74.94117647],0
p6,1,0.464523,0.534973,[ 5 13] ; [17 68],[ 3.84466019 14.15533981] ; [18.15533981 66.84466019],0
u3,1,0.513193,0.427551,[4 3] ; [22 28],[3.19298246 3.80701754] ; [22.80701754 27.19298246],0
d2,1,0.540189,0.375189,[ 3 15] ; [20 66],[ 3.98076923 14.01923077] ; [19.01923077 66.98076923],0
u2,1,0.543424,0.369231,[4 3] ; [22 27],[3.25 3.75] ; [22.75 26.25],0
a8,1,0.558993,0.341451,[ 1 15] ; [ 9 72],[ 1.64948454 14.35051546] ; [ 8.35051546 72.64948454],0
d4,1,0.668103,0.183829,[ 8 10] ; [43 43],[8.82692308 9.17307692] ; [42.17307692 43.82692308],0
a2,1,0.67835,0.17199,[ 1 17] ; [ 3 83],[ 0.69230769 17.30769231] ; [ 3.30769231 82.69230769],0
a7,1,0.701677,0.146733,[10  8] ; [43 42],[9.26213592 8.73786408] ; [43.73786408 41.26213592],0
p8,1,0.745382,0.105453,[ 4 14] ; [22 63],[ 4.54368932 13.45631068] ; [21.45631068 63.54368932],0
n4,1,0.801023,0.063516,[12  6] ; [54 31],[11.53398058  6.46601942] ; [54.46601942 30.53398058],0
p1,1,0.817932,0.052995,[ 1 17] ; [ 6 79],[ 1.22330097 16.77669903] ; [ 5.77669903 79.22330097],0
a4,1,0.830295,0.045935,[ 3 15] ; [16 69],[ 3.32038835 14.67961165] ; [15.67961165 69.32038835],0
a5,1,0.840085,0.040717,[ 8 10] ; [36 50],[ 7.61538462 10.38461538] ; [36.38461538 49.61538462],0
b5,1,0.872897,0.025594,[10  8] ; [46 40],[9.69230769 8.30769231] ; [46.30769231 39.69230769],0
b3,1,0.932318,0.007213,[4 9] ; [16 34],[4.12698413 8.87301587] ; [15.87301587 34.12698413],0
b2,1,0.932318,0.007213,[4 9] ; [16 34],[4.12698413 8.87301587] ; [15.87301587 34.12698413],0
a1,1,0.965896,0.001828,[ 1 17] ; [ 5 81],[ 1.03846154 16.96153846] ; [ 4.96153846 81.03846154],0
s4,1,0.967743,0.001635,[ 3 15] ; [14 72],[ 2.94230769 15.05769231] ; [14.05769231 71.94230769],0
d3,1,0.974754,0.001001,[ 6 12] ; [29 57],[ 6.05769231 11.94230769] ; [28.94230769 57.05769231],0
a6,1,1.0,0.0,[9 9] ; [43 43],[9. 9.] ; [43. 43.],0
p7,1,1.0,0.0,[9 9] ; [42 42],[9. 9.] ; [42. 42.],0
