Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,35.100622,[112   4] ; [33 20],[99.52662722 16.47337278] ; [45.47337278  7.52662722],1
s6,1,3.9e-05,16.936483,[75 37] ; [17 35],[62.82926829 49.17073171] ; [29.17073171 22.82926829],1
v3,1,5.5e-05,16.251184,[48 64] ; [ 6 47],[36.65454545 75.34545455] ; [17.34545455 35.65454545],1
a5,1,0.000291,13.127883,[72 44] ; [17 36],[61.0887574 54.9112426] ; [27.9112426 25.0887574],1
r2,1,0.000741,11.384391,[112   4] ; [43 10],[106.39053254   9.60946746] ; [48.60946746  4.39053254],1
v1,1,0.00114,10.585756,[58 55] ; [13 40],[48.3313253 64.6686747] ; [22.6686747 30.3313253],0
a7,1,0.001581,9.981963,[77 39] ; [21 31],[67.66666667 48.33333333] ; [30.33333333 21.66666667],0
v2,1,0.001889,9.654258,[55 53] ; [13 39],[45.9 62.1] ; [22.1 29.9],0
n4,1,0.003832,8.361732,[89 27] ; [29 24],[80.99408284 35.00591716] ; [37.00591716 15.99408284],0
r3,1,0.008144,7.001437,[108   8] ; [42 11],[102.95857988  13.04142012] ; [47.04142012  5.95857988],0
a3,1,0.012762,6.201805,[65 50] ; [19 34],[57.5 57.5] ; [26.5 26.5],0
s5,1,0.016072,5.795005,[31 79] ; [ 6 47],[24.96932515 85.03067485] ; [12.03067485 40.96932515],0
d3,1,0.017612,5.6343,[39 77] ; [ 8 43],[32.64670659 83.35329341] ; [14.35329341 36.64670659],0
s8,1,0.022402,5.214259,[44 70] ; [11 42],[37.54491018 76.45508982] ; [17.45508982 35.54491018],0
p11,1,0.035791,4.407027,[92 24] ; [34 19],[86.4852071 29.5147929] ; [39.5147929 13.4852071],0
p3,1,0.062787,3.462184,[54 60] ; [17 36],[48.46706587 65.53293413] ; [22.53293413 30.46706587],0
p4,1,0.067812,3.335193,[63 52] ; [21 32],[57.5 57.5] ; [26.5 26.5],0
a6,1,0.070554,3.270093,[74 42] ; [26 27],[68.63905325 47.36094675] ; [31.36094675 21.63905325],0
s7,1,0.071721,3.243184,[46 61] ; [14 36],[40.89171975 66.10828025] ; [19.10828025 30.89171975],0
u3,1,0.076013,3.148148,[28 23] ; [12 22],[24. 27.] ; [16. 18.],0
s2,1,0.1059,2.614358,[44 68] ; [14 39],[39.36969697 72.63030303] ; [18.63030303 34.36969697],0
n1,1,0.130269,2.289297,[15 18] ; [ 4 13],[12.54 20.46] ; [ 6.46 10.54],0
