Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,66.466949,[77  7] ; [ 6 30],[58.1 25.9] ; [24.9 11.1],1
n6,1,0.003482,8.536155,[80  4] ; [28  8],[75.6  8.4] ; [32.4  3.6],0
r1,1,0.012057,6.302521,[73 12] ; [23 12],[68. 17.] ; [28.  7.],0
s7,1,0.020176,5.396639,[56 24] ; [16 18],[50.52631579 29.47368421] ; [21.47368421 12.52631579],0
u1,1,0.02572,4.974746,[19 66] ; [ 2 34],[14.75206612 70.24793388] ; [ 6.24793388 29.75206612],0
p9,1,0.0312,4.641923,[72 10] ; [25 10],[67.98290598 14.01709402] ; [29.01709402  5.98290598],0
a5,1,0.043427,4.078707,[67 18] ; [22 14],[62.52066116 22.47933884] ; [26.47933884  9.52066116],0
s8,1,0.056805,3.6283,[39 45] ; [10 26],[34.3 49.7] ; [14.7 21.3],0
p4,1,0.061418,3.498677,[55 29] ; [17 19],[50.4 33.6] ; [21.6 14.4],0
a4,1,0.063039,3.455579,[44 41] ; [12 24],[39.33884298 45.66115702] ; [16.66115702 19.33884298],0
n2,1,0.069983,3.283429,[17  3] ; [8 6],[14.70588235  5.29411765] ; [10.29411765  3.70588235],0
a2,1,0.070527,3.270724,[22 63] ; [ 4 32],[18.26446281 66.73553719] ; [ 7.73553719 28.26446281],0
p6,1,0.070986,3.26007,[36 49] ; [ 9 27],[31.61157025 53.38842975] ; [13.38842975 22.61157025],0
s4,1,0.074219,3.187157,[21 62] ; [15 21],[25.1092437 57.8907563] ; [10.8907563 25.1092437],0
p2,1,0.093044,2.820908,[72 13] ; [25 10],[68.70833333 16.29166667] ; [28.29166667  6.70833333],0
p10,1,0.099272,2.717203,[71 13] ; [25 10],[67.76470588 16.23529412] ; [28.23529412  6.76470588],0
b1,1,0.104114,2.641365,[37 48] ; [10 26],[33.01652893 51.98347107] ; [13.98347107 22.01652893],0
a6,1,0.10611,2.611216,[58 27] ; [19 17],[54.09090909 30.90909091] ; [22.90909091 13.09090909],0
a8,1,0.11546,2.477852,[10 66] ; [ 1 31],[ 7.74074074 68.25925926] ; [ 3.25925926 28.74074074],0
b4,1,0.131061,2.279894,[49 36] ; [26 10],[52.68595041 32.31404959] ; [22.31404959 13.68595041],0
v4,1,0.135444,2.228976,[79  5] ; [30  5],[76.94117647  7.05882353] ; [32.05882353  2.94117647],0
d2,1,0.151267,2.059431,[47 37] ; [15 21],[43.4 40.6] ; [18.6 17.4],0
p5,1,0.162014,1.955325,[16 69] ; [ 3 32],[13.45833333 71.54166667] ; [ 5.54166667 29.45833333],0
r3,1,0.18852,1.729144,[74  8] ; [35  1],[75.74576271  6.25423729] ; [33.25423729  2.74576271],0
a3,1,0.190176,1.716254,[60 25] ; [21 15],[56.90082645 28.09917355] ; [24.09917355 11.90082645],0
p7,1,0.235491,1.407388,[56 27] ; [19 15],[53.20512821 29.79487179] ; [21.79487179 12.20512821],0
u2,1,0.319424,0.991304,[13 10] ; [6 9],[11.5 11.5] ; [7.5 7.5],0
p3,1,0.330454,0.947117,[46 39] ; [16 20],[43.55371901 41.44628099] ; [18.44628099 17.55371901],0
v3,1,0.337687,0.919192,[28 56] ; [ 8 25],[25.84615385 58.15384615] ; [10.15384615 22.84615385],0
b5,1,0.3452,0.891024,[41 44] ; [14 22],[38.63636364 46.36363636] ; [16.36363636 19.63636364],0
s1,1,0.35645,0.850362,[ 6 79] ; [ 1 35],[ 4.91735537 80.08264463] ; [ 2.08264463 33.91735537],0
s3,1,0.367385,0.81249,[54 30] ; [20 16],[51.8 32.2] ; [22.2 13.8],0
p12,1,0.369474,0.805433,[ 9 75] ; [ 2 34],[ 7.7 76.3] ; [ 3.3 32.7],0
s2,1,0.391041,0.735702,[52 33] ; [19 17],[49.87603306 35.12396694] ; [21.12396694 14.87603306],0
u3,1,0.411868,0.673401,[15 10] ; [7 8],[13.75 11.25] ; [8.25 6.75],0
b3,1,0.424406,0.638082,[20 32] ; [ 6 15],[18.52054795 33.47945205] ; [ 7.47945205 13.52054795],0
b2,1,0.424406,0.638082,[20 32] ; [ 6 15],[18.52054795 33.47945205] ; [ 7.47945205 13.52054795],0
