Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.00084,11.150601,[ 6 35] ; [23 25],[13.35955056 27.64044944] ; [15.64044944 32.35955056],1
p10,1,0.002997,8.809477,[18 26] ; [35 14],[25.07526882 18.92473118] ; [27.92473118 21.07526882],0
r3,1,0.006767,7.333684,[31 13] ; [46  4],[36.04255319  7.95744681] ; [40.95744681  9.04255319],0
p6,1,0.008723,6.878744,[ 4 40] ; [15 33],[ 9.08695652 34.91304348] ; [ 9.91304348 38.08695652],0
p9,1,0.018414,5.556335,[21 22] ; [35 13],[26.46153846 16.53846154] ; [29.53846154 18.46153846],0
s6,1,0.018471,5.550949,[18 26] ; [32 17],[23.65591398 20.34408602] ; [26.34408602 22.65591398],0
s7,1,0.041651,4.14931,[15 24] ; [29 19],[19.72413793 19.27586207] ; [24.27586207 23.72413793],0
p7,1,0.052399,3.762989,[10 33] ; [20 27],[14.33333333 28.66666667] ; [15.66666667 31.33333333],0
u2,1,0.097961,2.738426,[5 7] ; [7 2],[6.85714286 5.14285714] ; [5.14285714 3.85714286],0
s5,1,0.098066,2.736719,[ 8 35] ; [16 31],[11.46666667 31.53333333] ; [12.53333333 34.46666667],0
n6,1,0.119415,2.42498,[28 15] ; [39 10],[31.31521739 11.68478261] ; [35.68478261 13.31521739],0
s2,1,0.119551,2.42319,[15 29] ; [25 25],[18.72340426 25.27659574] ; [21.27659574 28.72340426],0
s8,1,0.136898,2.212481,[14 30] ; [23 26],[17.50537634 26.49462366] ; [19.49462366 29.50537634],0
n1,1,0.13856,2.193882,[13 11] ; [ 6 13],[10.60465116 13.39534884] ; [ 8.39534884 10.60465116],0
v1,1,0.241891,1.369539,[13 29] ; [21 28],[15.69230769 26.30769231] ; [18.30769231 30.69230769],0
d2,1,0.248573,1.331309,[29 13] ; [39 10],[31.38461538 10.61538462] ; [36.61538462 12.38461538],0
d3,1,0.255339,1.293852,[38  5] ; [39 10],[35.98913043  7.01086957] ; [41.01086957  7.98913043],0
r1,1,0.280627,1.164052,[29 15] ; [38 12],[31.36170213 12.63829787] ; [35.63829787 14.36170213],0
p4,1,0.312595,1.019681,[13 31] ; [19 29],[15.30434783 28.69565217] ; [16.69565217 31.30434783],0
p11,1,0.319261,0.991972,[21 23] ; [29 21],[23.40425532 20.59574468] ; [26.59574468 23.40425532],0
s1,1,0.326218,0.963854,[ 4 40] ; [ 2 47],[ 2.83870968 41.16129032] ; [ 3.16129032 45.83870968],0
a8,1,0.381338,0.766385,[ 2 42] ; [ 4 39],[ 3.03448276 40.96551724] ; [ 2.96551724 40.03448276],0
a6,1,0.390678,0.73683,[30 13] ; [30 19],[28.04347826 14.95652174] ; [31.95652174 17.04347826],0
s3,1,0.393114,0.72929,[19 25] ; [26 24],[21.06382979 22.93617021] ; [23.93617021 26.06382979],0
a3,1,0.40598,0.690542,[32 12] ; [40 10],[33.70212766 10.29787234] ; [38.29787234 11.70212766],0
v4,1,0.408166,0.684136,[34 10] ; [42  8],[35.57446809  8.42553191] ; [40.42553191  9.57446809],0
b1,1,0.437238,0.60352,[22 22] ; [21 29],[20.12765957 23.87234043] ; [22.87234043 27.12765957],0
a2,1,0.523492,0.407008,[15 29] ; [14 36],[13.57446809 30.42553191] ; [15.42553191 34.57446809],0
p5,1,0.525444,0.403195,[ 4 38] ; [ 3 47],[ 3.19565217 38.80434783] ; [ 3.80434783 46.19565217],0
n4,1,0.533892,0.386978,[30 14] ; [37 13],[31.36170213 12.63829787] ; [35.63829787 14.36170213],0
p3,1,0.604213,0.268689,[16 28] ; [15 33],[14.82608696 29.17391304] ; [16.17391304 31.82608696],0
a4,1,0.637917,0.221477,[27 16] ; [29 21],[25.89247312 17.10752688] ; [30.10752688 19.89247312],0
n5,1,0.693889,0.154907,[29 15] ; [31 19],[28.08510638 15.91489362] ; [31.91489362 18.08510638],0
r4,1,0.701388,0.147032,[31 13] ; [37 13],[31.82978723 12.17021277] ; [36.17021277 13.82978723],0
n2,1,0.708487,0.139793,[14 10] ; [10  9],[13.39534884 10.60465116] ; [10.60465116  8.39534884],0
u4,1,0.753854,0.098321,[ 2 42] ; [ 3 47],[ 2.34042553 41.65957447] ; [ 2.65957447 47.34042553],0
b5,1,0.754722,0.097605,[25 19] ; [30 20],[25.74468085 18.25531915] ; [29.25531915 20.74468085],0
n3,1,0.829384,0.046437,[12 11] ; [10  8],[12.34146341 10.65853659] ; [9.65853659 8.34146341],0
a5,1,0.855046,0.033373,[35  9] ; [39 11],[34.63829787  9.36170213] ; [39.36170213 10.63829787],0
r2,1,0.865476,0.028699,[39  3] ; [45  3],[39.2  2.8] ; [44.8  3.2],0
u3,1,0.867258,0.027937,[8 4] ; [7 3],[8.18181818 3.81818182] ; [6.81818182 3.18181818],0
a7,1,0.868756,0.027304,[31 13] ; [36 14],[31.36170213 12.63829787] ; [35.63829787 14.36170213],0
b4,1,0.869924,0.026816,[28 16] ; [31 19],[27.61702128 16.38297872] ; [31.38297872 18.61702128],0
p1,1,0.871367,0.026219,[ 3 41] ; [ 3 47],[ 2.80851064 41.19148936] ; [ 3.19148936 46.80851064],0
a1,1,0.881183,0.022341,[ 4 40] ; [ 5 45],[ 4.21276596 39.78723404] ; [ 4.78723404 45.21276596],0
p8,1,0.884377,0.021148,[10 34] ; [12 38],[10.29787234 33.70212766] ; [11.70212766 38.29787234],0
u1,1,0.889171,0.019419,[12 32] ; [13 37],[11.70212766 32.29787234] ; [13.29787234 36.70212766],0
s4,1,0.950787,0.003809,[ 9 34] ; [10 39],[ 8.88043478 34.11956522] ; [10.11956522 38.88043478],0
b2,1,0.954745,0.00322,[12 20] ; [14 24],[11.88571429 20.11428571] ; [14.11428571 23.88571429],0
b3,1,0.954745,0.00322,[12 20] ; [14 24],[11.88571429 20.11428571] ; [14.11428571 23.88571429],0
