Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,6e-06,20.626508,[80  2] ; [6 4],[76.65217391  5.34782609] ; [9.34782609 0.65217391],1
s3,1,3.9e-05,16.912865,[66 16] ; [2 8],[60.60869565 21.39130435] ; [7.39130435 2.60869565],1
r4,1,7.6e-05,15.65507,[77  6] ; [5 5],[73.1827957  9.8172043] ; [8.8172043 1.1827957],1
s2,1,0.000119,14.813941,[64 18] ; [2 8],[58.82608696 23.17391304] ; [7.17391304 2.82608696],1
r1,1,0.000302,13.055869,[72 11] ; [4 6],[67.82795699 15.17204301] ; [8.17204301 1.82795699],1
r2,1,0.002181,9.390949,[79  4] ; [6 3],[76.68478261  6.31521739] ; [8.31521739 0.68478261],0
b4,1,0.020108,5.402499,[56 27] ; [3 7],[52.65591398 30.34408602] ; [6.34408602 3.65591398],0
d1,1,0.022389,5.215334,[62 21] ; [4 6],[58.90322581 24.09677419] ; [7.09677419 2.90322581],0
s5,1,0.027004,4.890583,[48 31] ; [2 7],[44.88636364 34.11363636] ; [5.11363636 3.88636364],0
v4,1,0.029986,4.710099,[80  3] ; [8 2],[78.53763441  4.46236559] ; [9.46236559 0.53763441],0
u3,1,0.052808,3.75,[15  5] ; [1 3],[13.33333333  6.66666667] ; [2.66666667 1.33333333],0
d5,1,0.059621,3.547903,[75  8] ; [7 3],[73.1827957  9.8172043] ; [8.8172043 1.1827957],0
s8,1,0.068036,3.329787,[50 33] ; [3 7],[47.30107527 35.69892473] ; [5.69892473 4.30107527],0
s7,1,0.076211,3.143904,[54 25] ; [4 6],[51.48314607 27.51685393] ; [6.51685393 3.48314607],0
d2,1,0.080614,3.052472,[49 34] ; [3 7],[46.40860215 36.59139785] ; [5.59139785 4.40860215],0
d4,1,0.121965,2.391906,[73 10] ; [7 3],[71.39784946 11.60215054] ; [8.60215054 1.39784946],0
a5,1,0.163144,1.944836,[66 17] ; [6 4],[64.25806452 18.74193548] ; [7.74193548 2.25806452],0
b5,1,0.166818,1.911309,[52 31] ; [4 6],[49.97849462 33.02150538] ; [6.02150538 3.97849462],0
a2,1,0.180456,1.793865,[25 58] ; [1 9],[23.20430108 59.79569892] ; [2.79569892 7.20430108],0
a6,1,0.236623,1.400602,[57 26] ; [5 5],[55.33333333 27.66666667] ; [6.66666667 3.33333333],0
u1,1,0.253078,1.306231,[22 61] ; [1 9],[20.52688172 62.47311828] ; [2.47311828 7.52688172],0
p10,1,0.256432,1.287918,[70 13] ; [7 3],[68.72043011 14.27956989] ; [8.27956989 1.72043011],0
a3,1,0.277572,1.178942,[63 20] ; [6 4],[61.58064516 21.41935484] ; [7.41935484 2.58064516],0
p3,1,0.321948,0.981015,[62 21] ; [6 4],[60.68817204 22.31182796] ; [7.31182796 2.68817204],0
a7,1,0.369053,0.80685,[61 22] ; [6 4],[59.79569892 23.20430108] ; [7.20430108 2.79569892],0
a4,1,0.394954,0.723636,[45 38] ; [4 6],[43.7311828 39.2688172] ; [5.2688172 4.7311828],0
d3,1,0.426898,0.631247,[67 16] ; [7 3],[66.04301075 16.95698925] ; [7.95698925 2.04301075],0
n6,1,0.489012,0.478699,[72 10] ; [8 2],[71.30434783 10.69565217] ; [8.69565217 1.30434783],0
v1,1,0.55035,0.35669,[41 41] ; [6 4],[41.89130435 40.10869565] ; [5.10869565 4.89130435],0
p11,1,0.617283,0.249705,[64 19] ; [7 3],[63.3655914 19.6344086] ; [7.6344086 2.3655914],0
s1,1,0.628753,0.233756,[ 5 78] ; [1 9],[ 5.35483871 77.64516129] ; [0.64516129 9.35483871],0
b1,1,0.690097,0.15898,[36 47] ; [5 5],[36.59139785 46.40860215] ; [4.40860215 5.59139785],0
v2,1,0.703882,0.144465,[38 44] ; [4 6],[37.43478261 44.56521739] ; [4.56521739 5.43478261],0
p8,1,0.713675,0.134634,[54 28] ; [6 4],[53.47826087 28.52173913] ; [6.52173913 3.47826087],0
p9,1,0.724614,0.124115,[70 13] ; [8 2],[69.61290323 13.38709677] ; [8.38709677 1.61290323],0
b2,1,0.765458,0.088996,[11 36] ; [2 5],[11.31481481 35.68518519] ; [1.68518519 5.31481481],0
b3,1,0.765458,0.088996,[11 36] ; [2 5],[11.31481481 35.68518519] ; [1.68518519 5.31481481],0
p2,1,0.849722,0.0359,[73 10] ; [9 1],[73.1827957  9.8172043] ; [8.8172043 1.1827957],0
p7,1,0.887689,0.019946,[64 18] ; [8 2],[64.17391304 17.82608696] ; [7.82608696 2.17391304],0
p6,1,0.929341,0.007863,[51 32] ; [6 4],[50.87096774 32.12903226] ; [6.12903226 3.87096774],0
n4,1,0.943107,0.005093,[59 24] ; [7 3],[58.90322581 24.09677419] ; [7.09677419 2.90322581],0
