Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,1.4e-05,18.809252,[52  8] ; [ 6 11],[45.19480519 14.80519481] ; [12.80519481  4.19480519],1
d3,1,0.000327,12.907271,[43 17] ; [ 4 13],[36.62337662 23.37662338] ; [10.37662338  6.62337662],1
p1,1,0.009976,6.63919,[ 4 56] ; [ 5 12],[ 7.01298701 52.98701299] ; [ 1.98701299 15.01298701],0
s5,1,0.026578,4.91803,[20 38] ; [ 1 15],[16.45945946 41.54054054] ; [ 4.54054054 11.45945946],0
a7,1,0.028246,4.812972,[39 21] ; [ 6 11],[35.06493506 24.93506494] ; [9.93506494 7.06493506],0
s6,1,0.044479,4.038273,[37 22] ; [ 6 11],[33.38157895 25.61842105] ; [9.61842105 7.38157895],0
s2,1,0.045943,3.98369,[30 29] ; [ 4 13],[26.39473684 32.60526316] ; [7.60526316 9.39473684],0
r3,1,0.080431,3.056165,[52  7] ; [12  5],[49.68421053  9.31578947] ; [14.31578947  2.68421053],0
p3,1,0.103583,2.649486,[26 31] ; [ 4 13],[23.10810811 33.89189189] ; [ 6.89189189 10.10810811],0
r1,1,0.105368,2.622357,[47 13] ; [10  7],[44.41558442 15.58441558] ; [12.58441558  4.41558442],0
v2,1,0.119262,2.426985,[35 21] ; [ 7 10],[32.21917808 23.78082192] ; [9.78082192 7.21917808],0
r4,1,0.144789,2.126307,[46 14] ; [10  7],[43.63636364 16.36363636] ; [12.36363636  4.63636364],0
a3,1,0.144789,2.126307,[46 14] ; [10  7],[43.63636364 16.36363636] ; [12.36363636  4.63636364],0
u2,1,0.17595,1.831502,[11  2] ; [4 3],[9.75 3.25] ; [5.25 1.75],0
s1,1,0.186438,1.74554,[ 2 55] ; [ 2 15],[ 3.08108108 53.91891892] ; [ 0.91891892 16.08108108],0
s3,1,0.187974,1.733425,[31 27] ; [ 6 11],[28.61333333 29.38666667] ; [8.38666667 8.61333333],0
s4,1,0.261998,1.25817,[10 50] ; [ 1 16],[ 8.57142857 51.42857143] ; [ 2.42857143 14.57142857],0
v4,1,0.286422,1.136364,[54  6] ; [12  3],[52.8  7.2] ; [13.2  1.8],0
a5,1,0.299049,1.078431,[40 20] ; [9 8],[38.18181818 21.81818182] ; [10.81818182  6.18181818],0
p2,1,0.360338,0.836714,[44 14] ; [11  6],[42.53333333 15.46666667] ; [12.46666667  4.53333333],0
p11,1,0.360386,0.836549,[35 25] ; [12  5],[36.62337662 23.37662338] ; [10.37662338  6.62337662],0
a4,1,0.360386,0.836549,[25 35] ; [ 5 12],[23.37662338 36.62337662] ; [ 6.62337662 10.37662338],0
p8,1,0.371744,0.797826,[20 37] ; [8 9],[21.56756757 35.43243243] ; [ 6.43243243 10.56756757],0
a6,1,0.4086,0.682871,[35 25] ; [8 9],[33.50649351 26.49350649] ; [9.49350649 7.50649351],0
s8,1,0.426419,0.632556,[24 36] ; [ 5 12],[22.5974026 37.4025974] ; [ 6.4025974 10.5974026],0
n2,1,0.449692,0.571429,[15  6] ; [6 1],[15.75  5.25] ; [5.25 1.75],0
a8,1,0.522748,0.408468,[ 4 50] ; [ 2 14],[ 4.62857143 49.37142857] ; [ 1.37142857 14.62857143],0
s7,1,0.542011,0.371826,[24 31] ; [ 6 11],[22.91666667 32.08333333] ; [7.08333333 9.91666667],0
b3,1,0.545739,0.365007,[12 22] ; [5 6],[12.84444444 21.15555556] ; [4.15555556 6.84444444],0
b2,1,0.545739,0.365007,[12 22] ; [5 6],[12.84444444 21.15555556] ; [4.15555556 6.84444444],0
v3,1,0.598746,0.276892,[20 35] ; [ 5 12],[19.09722222 35.90277778] ; [ 5.90277778 11.09722222],0
n5,1,0.633699,0.227077,[26 34] ; [8 8],[26.84210526 33.15789474] ; [7.15789474 8.84210526],0
p7,1,0.637805,0.221624,[26 30] ; [9 8],[26.84931507 29.15068493] ; [8.15068493 8.84931507],0
u3,1,0.71714,0.13125,[11  3] ; [5 2],[10.66666667  3.33333333] ; [5.33333333 1.66666667],0
d2,1,0.725425,0.123354,[24 36] ; [ 6 11],[23.37662338 36.62337662] ; [ 6.62337662 10.37662338],0
p10,1,0.766892,0.087878,[34 22] ; [11  6],[34.52054795 21.47945205] ; [10.47945205  6.52054795],0
p9,1,0.800833,0.063639,[42 15] ; [12  5],[41.59459459 15.40540541] ; [12.40540541  4.59459459],0
p6,1,0.808964,0.058449,[14 39] ; [ 5 12],[14.38571429 38.61428571] ; [ 4.61428571 12.38571429],0
n1,1,0.826824,0.047863,[10 11] ; [3 4],[ 9.75 11.25] ; [3.25 3.75],0
b5,1,0.831955,0.045026,[37 23] ; [10  7],[36.62337662 23.37662338] ; [10.37662338  6.62337662],0
b4,1,0.880379,0.022647,[33 27] ; [9 8],[32.72727273 27.27272727] ; [9.27272727 7.72727273],0
p5,1,0.8828,0.021733,[ 4 54] ; [ 1 16],[ 3.86666667 54.13333333] ; [ 1.13333333 15.86666667],0
a1,1,0.907774,0.01342,[ 4 56] ; [ 1 16],[ 3.8961039 56.1038961] ; [ 1.1038961 15.8961039],0
n4,1,0.926027,0.00862,[31 29] ; [9 8],[31.16883117 28.83116883] ; [8.83116883 8.16883117],0
r2,1,0.930181,0.007677,[52  8] ; [14  2],[52.10526316  7.89473684] ; [13.89473684  2.10526316],0
a2,1,0.948365,0.004194,[11 49] ; [ 3 14],[10.90909091 49.09090909] ; [ 3.09090909 13.90909091],0
b1,1,0.971121,0.001311,[35 25] ; [10  7],[35.06493506 24.93506494] ; [9.93506494 7.06493506],0
p4,1,0.988084,0.000223,[24 34] ; [ 7 10],[23.97333333 34.02666667] ; [7.02666667 9.97333333],0
