Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r2,1,4e-06,21.145983,[73  2] ; [5 4],[69.64285714  5.35714286] ; [8.35714286 0.64285714],1
r1,1,5e-06,20.953912,[62 13] ; [2 9],[55.81395349 19.18604651] ; [8.18604651 2.81395349],1
v4,1,0.001034,10.765021,[70  4] ; [7 4],[67.03529412  6.96470588] ; [9.96470588 1.03529412],0
a5,1,0.00686,7.309205,[57 18] ; [4 7],[53.19767442 21.80232558] ; [7.80232558 3.19767442],0
p9,1,0.018976,5.503686,[61 13] ; [5 5],[58.14285714 15.85714286] ; [7.85714286 2.14285714],0
n6,1,0.026886,4.898089,[52 22] ; [4 7],[48.75294118 25.24705882] ; [7.24705882 3.75294118],0
a3,1,0.082028,3.024252,[59 16] ; [6 5],[56.68604651 18.31395349] ; [8.31395349 2.68604651],0
b1,1,0.095624,2.777059,[22 53] ; [6 5],[24.41860465 50.58139535] ; [3.58139535 7.41860465],0
a4,1,0.120884,2.40583,[32 43] ; [2 9],[29.65116279 45.34883721] ; [4.34883721 6.65116279],0
p7,1,0.143515,2.13986,[48 27] ; [4 6],[45.88235294 29.11764706] ; [6.11764706 3.88235294],0
s8,1,0.164225,1.934886,[44 31] ; [4 7],[41.86046512 33.13953488] ; [6.13953488 4.86046512],0
p10,1,0.232566,1.425099,[58 17] ; [6 4],[56.47058824 18.52941176] ; [7.52941176 2.47058824],0
a2,1,0.233731,1.418013,[19 56] ; [ 1 10],[17.44186047 57.55813953] ; [2.55813953 8.44186047],0
n3,1,0.235595,1.406759,[16  3] ; [3 2],[15.04166667  3.95833333] ; [3.95833333 1.04166667],0
v3,1,0.314,1.013774,[23 46] ; [2 9],[21.5625 47.4375] ; [3.4375 7.5625],0
s2,1,0.316782,1.002187,[46 29] ; [5 6],[44.47674419 30.52325581] ; [6.52325581 4.47674419],0
p2,1,0.323401,0.975144,[58 17] ; [7 4],[56.68604651 18.31395349] ; [8.31395349 2.68604651],0
n4,1,0.332746,0.938182,[39 36] ; [4 7],[37.5 37.5] ; [5.5 5.5],0
p4,1,0.375486,0.785428,[38 37] ; [4 7],[36.62790698 38.37209302] ; [5.37209302 5.62790698],0
b4,1,0.378062,0.776994,[51 24] ; [6 5],[49.70930233 25.29069767] ; [7.29069767 3.70930233],0
s4,1,0.378062,0.776994,[24 51] ; [5 6],[25.29069767 49.70930233] ; [3.70930233 7.29069767],0
s6,1,0.380134,0.770269,[57 18] ; [7 4],[55.81395349 19.18604651] ; [8.18604651 2.81395349],0
u1,1,0.385245,0.753896,[15 60] ; [ 1 10],[13.95348837 61.04651163] ; [2.04651163 8.95348837],0
s1,1,0.45401,0.560621,[ 3 72] ; [ 1 10],[ 3.48837209 71.51162791] ; [ 0.51162791 10.48837209],0
p3,1,0.521521,0.410885,[35 40] ; [4 7],[34.01162791 40.98837209] ; [4.98837209 6.01162791],0
d5,1,0.550241,0.356885,[63 12] ; [10  1],[63.6627907 11.3372093] ; [9.3372093 1.6627907],0
p6,1,0.553436,0.351198,[29 44] ; [3 7],[28.14457831 44.85542169] ; [3.85542169 6.14457831],0
v1,1,0.664078,0.188607,[35 39] ; [4 6],[34.35714286 39.64285714] ; [4.64285714 5.35714286],0
n1,1,0.702195,0.146199,[ 8 11] ; [2 4],[ 7.6 11.4] ; [2.4 3.6],0
d3,1,0.735596,0.114035,[58 17] ; [8 3],[57.55813953 17.44186047] ; [8.44186047 2.55813953],0
d2,1,0.746797,0.104242,[38 37] ; [5 6],[37.5 37.5] ; [5.5 5.5],0
p11,1,0.752393,0.099531,[51 24] ; [8 3],[51.45348837 23.54651163] ; [7.54651163 3.45348837],0
p5,1,0.777937,0.079529,[ 5 69] ; [ 1 10],[ 5.22352941 68.77647059] ; [ 0.77647059 10.22352941],0
s5,1,0.810446,0.057528,[29 43] ; [4 5],[29.33333333 42.66666667] ; [3.66666667 5.33333333],0
p8,1,0.810601,0.057432,[33 42] ; [4 6],[32.64705882 42.35294118] ; [4.35294118 5.64705882],0
a7,1,0.813472,0.055672,[57 18] ; [8 3],[56.68604651 18.31395349] ; [8.31395349 2.68604651],0
a6,1,0.842631,0.039414,[50 25] ; [7 4],[49.70930233 25.29069767] ; [7.29069767 3.70930233],0
d1,1,0.86155,0.030416,[43 32] ; [6 5],[42.73255814 32.26744186] ; [6.26744186 4.73255814],0
b5,1,0.86155,0.030416,[43 32] ; [6 5],[42.73255814 32.26744186] ; [6.26744186 4.73255814],0
a8,1,0.870447,0.026598,[ 8 60] ; [1 9],[ 7.84615385 60.15384615] ; [1.15384615 8.84615385],0
b2,1,0.893236,0.018012,[20 30] ; [3 5],[19.82758621 30.17241379] ; [3.17241379 4.82758621],0
b3,1,0.893236,0.018012,[20 30] ; [3 5],[19.82758621 30.17241379] ; [3.17241379 4.82758621],0
s3,1,0.912188,0.012162,[49 26] ; [7 4],[48.8372093 26.1627907] ; [7.1627907 3.8372093],0
n2,1,0.935989,0.00645,[13  6] ; [4 2],[12.92  6.08] ; [4.08 1.92],0
u3,1,0.950458,0.00386,[13  3] ; [4 1],[12.95238095  3.04761905] ; [4.04761905 0.95238095],0
v2,1,0.987173,0.000258,[38 32] ; [6 5],[38.02469136 31.97530864] ; [5.97530864 5.02469136],0
u2,1,1.0,0.0,[12  3] ; [4 1],[12.  3.] ; [4. 1.],0
