Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.000296,13.095395,[102   7] ; [56 19],[93.59782609 15.40217391] ; [64.40217391 10.59782609],1
p11,1,0.00088,11.064495,[78 33] ; [35 41],[67.07486631 43.92513369] ; [45.92513369 30.07486631],1
p9,1,0.002256,9.328377,[76 32] ; [36 39],[66.09836066 41.90163934] ; [45.90163934 29.09836066],0
b1,1,0.002887,8.87758,[33 78] ; [39 37],[42.73796791 68.26203209] ; [29.26203209 46.73796791],0
p10,1,0.005705,7.641186,[69 40] ; [32 43],[59.83152174 49.16847826] ; [41.16847826 33.83152174],0
r3,1,0.009296,6.765135,[105   6] ; [63 13],[99.72192513 11.27807487] ; [68.27807487  7.72192513],0
s5,1,0.024804,5.037524,[31 78] ; [10 61],[24.82777778 84.17222222] ; [16.17222222 54.82777778],0
r4,1,0.026911,4.896507,[89 22] ; [50 26],[82.50802139 28.49197861] ; [56.49197861 19.50802139],0
s6,1,0.050906,3.811363,[50 59] ; [24 52],[43.6 65.4] ; [30.4 45.6],0
s1,1,0.052035,3.774648,[  3 108] ; [ 7 69],[  5.93582888 105.06417112] ; [ 4.06417112 71.93582888],0
p2,1,0.061365,3.500115,[81 28] ; [46 29],[75.23369565 33.76630435] ; [51.76630435 23.23369565],0
r2,1,0.062229,3.476964,[100   9] ; [62 13],[95.9673913 13.0326087] ; [66.0326087  8.9673913],0
p7,1,0.068371,3.321709,[59 51] ; [30 45],[52.91891892 57.08108108] ; [36.08108108 38.91891892],0
a7,1,0.104834,2.630415,[83 27] ; [49 27],[78.06451613 31.93548387] ; [53.93548387 22.06451613],0
p1,1,0.104858,2.630051,[  3 106] ; [ 6 69],[  5.33152174 103.66847826] ; [ 3.66847826 71.33152174],0
d3,1,0.152507,2.046996,[79 31] ; [47 29],[74.51612903 35.48387097] ; [51.48387097 24.51612903],0
a2,1,0.157509,1.997977,[ 10 101] ; [12 64],[13.05882353 97.94117647] ; [ 8.94117647 67.05882353],0
a3,1,0.157816,1.995032,[61 49] ; [50 26],[65.64516129 44.35483871] ; [45.35483871 30.64516129],0
p6,1,0.161451,1.960584,[26 83] ; [11 61],[22.28176796 86.71823204] ; [14.71823204 57.28176796],0
a4,1,0.229185,1.445914,[33 78] ; [29 47],[36.80213904 74.19786096] ; [25.19786096 50.80213904],0
p12,1,0.235599,1.406735,[  5 106] ; [ 1 73],[  3.6 107.4] ; [ 2.4 71.6],0
a5,1,0.263835,1.248522,[61 50] ; [48 28],[64.70053476 46.29946524] ; [44.29946524 31.70053476],0
s4,1,0.346236,0.887204,[22 89] ; [11 65],[19.58823529 91.41176471] ; [13.41176471 62.58823529],0
n1,1,0.380018,0.770644,[ 7 28] ; [ 8 19],[ 8.46774194 26.53225806] ; [ 6.53225806 20.46774194],0
r1,1,0.441155,0.593276,[74 37] ; [54 21],[76.38709677 34.61290323] ; [51.61290323 23.38709677],0
u2,1,0.472287,0.516619,[24 25] ; [15 11],[25.48 23.52] ; [13.52 12.48],0
b2,1,0.481842,0.494691,[16 38] ; [ 9 30],[14.51612903 39.48387097] ; [10.48387097 28.51612903],0
b3,1,0.481842,0.494691,[16 38] ; [ 9 30],[14.51612903 39.48387097] ; [10.48387097 28.51612903],0
d2,1,0.49772,0.459795,[37 74] ; [29 47],[39.17647059 71.82352941] ; [26.82352941 49.17647059],0
s3,1,0.504953,0.444511,[39 68] ; [31 44],[41.15384615 65.84615385] ; [28.84615385 46.15384615],0
p3,1,0.521406,0.411111,[34 77] ; [26 48],[36. 75.] ; [24. 50.],0
d5,1,0.538693,0.377968,[78 32] ; [57 19],[79.83870968 30.16129032] ; [55.16129032 20.83870968],0
s2,1,0.540627,0.374379,[35 75] ; [21 55],[33.11827957 76.88172043] ; [22.88172043 53.11827957],0
s7,1,0.54735,0.362086,[25 84] ; [13 55],[23.40112994 85.59887006] ; [14.59887006 53.40112994],0
n4,1,0.582589,0.302068,[38 73] ; [29 47],[39.77005348 71.22994652] ; [27.22994652 48.77005348],0
u1,1,0.594153,0.283905,[  8 103] ; [ 4 72],[  7.12299465 103.87700535] ; [ 4.87700535 71.12299465],0
v2,1,0.625585,0.238095,[52 56] ; [32 40],[50.4 57.6] ; [33.6 38.4],0
b4,1,0.644547,0.212844,[68 43] ; [44 32],[66.48128342 44.51871658] ; [45.51871658 30.48128342],0
n2,1,0.662858,0.190071,[22 12] ; [16 11],[21.18032787 12.81967213] ; [16.81967213 10.18032787],0
p4,1,0.6704,0.181135,[43 67] ; [27 48],[41.62162162 68.37837838] ; [28.37837838 46.62162162],0
u3,1,0.68489,0.164673,[25 24] ; [14 11],[25.82432432 23.17567568] ; [13.17567568 11.82432432],0
v1,1,0.691648,0.157307,[35 72] ; [27 49],[36.25136612 70.74863388] ; [25.74863388 50.25136612],0
d1,1,0.726991,0.121893,[54 57] ; [35 41],[52.82887701 58.17112299] ; [36.17112299 39.82887701],0
v3,1,0.78816,0.0722,[25 81] ; [18 53],[25.75141243 80.24858757] ; [17.24858757 53.75141243],0
d4,1,0.811661,0.056779,[89 22] ; [62 14],[89.63101604 21.36898396] ; [61.36898396 14.63101604],0
b5,1,0.830904,0.0456,[66 45] ; [44 32],[65.29411765 45.70588235] ; [44.70588235 31.29411765],0
p8,1,0.864059,0.029313,[43 67] ; [28 46],[42.44565217 67.55434783] ; [28.55434783 45.44565217],0
a1,1,0.903187,0.014796,[  4 107] ; [ 3 73],[  4.15508021 106.84491979] ; [ 2.84491979 73.15508021],0
n3,1,0.909474,0.012928,[24 10] ; [18  8],[23.8 10.2] ; [18.2  7.8],0
a6,1,0.972844,0.001159,[66 45] ; [45 31],[65.88770053 45.11229947] ; [45.11229947 30.88770053],0
