Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,52.528152,[113   9] ; [20 28],[95.44705882 26.55294118] ; [37.55294118 10.44705882],1
s6,1,0.000163,14.211579,[75 45] ; [15 34],[63.90532544 56.09467456] ; [26.09467456 22.90532544],1
a5,1,0.002627,9.049754,[87 35] ; [23 26],[78.47953216 43.52046784] ; [31.52046784 17.47953216],0
v4,1,0.002845,8.904616,[116   4] ; [41  8],[111.47928994   8.52071006] ; [45.52071006  3.47928994],0
s3,1,0.003958,8.302756,[63 56] ; [14 35],[54.54166667 64.45833333] ; [22.45833333 26.54166667],0
s2,1,0.004229,8.182689,[53 68] ; [10 39],[44.84117647 76.15882353] ; [18.15882353 30.84117647],0
p3,1,0.00598,7.556185,[55 67] ; [11 38],[47.0877193 74.9122807] ; [18.9122807 30.0877193],0
b1,1,0.006172,7.499247,[31 91] ; [23 26],[38.52631579 83.47368421] ; [15.47368421 33.52631579],0
p2,1,0.007825,7.073076,[105  16] ; [34 15],[98.93529412 22.06470588] ; [40.06470588  8.93529412],0
d5,1,0.009304,6.763468,[96 26] ; [29 20],[89.18128655 32.81871345] ; [35.81871345 13.18128655],0
s8,1,0.014004,6.037678,[49 73] ; [10 39],[42.09356725 79.90643275] ; [16.90643275 32.09356725],0
p7,1,0.01769,5.626598,[77 42] ; [22 27],[70.125 48.875] ; [28.875 20.125],0
p4,1,0.021059,5.321939,[61 61] ; [15 34],[54.22222222 67.77777778] ; [21.77777778 27.22222222],0
a7,1,0.026469,4.925139,[95 27] ; [30 19],[89.18128655 32.81871345] ; [35.81871345 13.18128655],0
n6,1,0.031914,4.603094,[88 34] ; [27 22],[82.04678363 39.95321637] ; [32.95321637 16.04678363],0
s5,1,0.039177,4.253159,[36 82] ; [ 7 40],[30.75151515 87.24848485] ; [12.24848485 34.75151515],0
d1,1,0.040013,4.217318,[66 56] ; [18 31],[59.92982456 62.07017544] ; [24.07017544 24.92982456],0
s4,1,0.046238,3.972897,[ 22 100] ; [ 3 46],[ 17.83625731 104.16374269] ; [ 7.16374269 41.83625731],0
d3,1,0.060816,3.51498,[90 32] ; [29 20],[84.9005848 37.0994152] ; [34.0994152 14.9005848],0
r2,1,0.063776,3.436364,[113   7] ; [41  7],[110.  10.] ; [44.  4.],0
p8,1,0.077248,3.121873,[60 61] ; [17 32],[54.80588235 66.19411765] ; [22.19411765 26.80588235],0
a2,1,0.11996,2.417848,[ 18 104] ; [ 3 46],[ 14.98245614 107.01754386] ; [ 6.01754386 42.98245614],0
a8,1,0.129591,2.297403,[  9 106] ; [ 7 37],[ 11.57232704 103.42767296] ; [ 4.42767296 39.57232704],0
u2,1,0.134654,2.238012,[29 14] ; [ 9 10],[26.35483871 16.64516129] ; [11.64516129  7.35483871],0
r4,1,0.173258,1.854527,[109  13] ; [40  9],[106.30409357  15.69590643] ; [42.69590643  6.30409357],0
u3,1,0.193572,1.690219,[30 13] ; [10  9],[27.74193548 15.25806452] ; [12.25806452  6.74193548],0
b4,1,0.239726,1.382205,[79 43] ; [27 22],[75.62573099 46.37426901] ; [30.37426901 18.62573099],0
p12,1,0.240912,1.375251,[  8 114] ; [ 1 47],[  6.45882353 115.54117647] ; [ 2.54117647 45.45882353],0
s7,1,0.278933,1.172281,[45 76] ; [13 33],[42.0239521 78.9760479] ; [15.9760479 30.0239521],0
n2,1,0.284661,1.1447,[20 11] ; [12  3],[21.56521739  9.43478261] ; [10.43478261  4.56521739],0
b3,1,0.286628,1.135393,[26 45] ; [ 8 23],[23.66666667 47.33333333] ; [10.33333333 20.66666667],0
b2,1,0.286628,1.135393,[26 45] ; [ 8 23],[23.66666667 47.33333333] ; [10.33333333 20.66666667],0
n4,1,0.318297,0.995931,[52 70] ; [25 24],[54.93567251 67.06432749] ; [22.06432749 26.93567251],0
p1,1,0.349616,0.874849,[ 10 111] ; [ 2 46],[  8.59171598 112.40828402] ; [ 3.40828402 44.59171598],0
r3,1,0.396109,0.720106,[118   4] ; [46  3],[117.00584795   4.99415205] ; [46.99415205  2.00584795],0
a6,1,0.408096,0.684342,[78 44] ; [28 21],[75.62573099 46.37426901] ; [30.37426901 18.62573099],0
d4,1,0.427343,0.630034,[101  21] ; [38 11],[99.16959064 22.83040936] ; [39.83040936  9.16959064],0
a4,1,0.4976,0.46005,[44 78] ; [15 34],[42.09356725 79.90643275] ; [16.90643275 32.09356725],0
v1,1,0.528832,0.396635,[45 72] ; [21 27],[46.8 70.2] ; [19.2 28.8],0
d2,1,0.534387,0.386043,[46 76] ; [16 33],[44.23391813 77.76608187] ; [17.76608187 31.23391813],0
n3,1,0.548819,0.359437,[22  8] ; [13  3],[22.82608696  7.17391304] ; [12.17391304  3.82608696],0
n1,1,0.555113,0.348236,[ 9 22] ; [ 6 10],[ 9.89361702 21.10638298] ; [ 5.10638298 10.89361702],0
v3,1,0.555681,0.347238,[32 85] ; [11 37],[30.49090909 86.50909091] ; [12.50909091 35.49090909],0
p6,1,0.63856,0.220631,[35 85] ; [12 35],[33.77245509 86.22754491] ; [13.22754491 33.77245509],0
r1,1,0.639787,0.219021,[93 28] ; [36 13],[91.81764706 29.18235294] ; [37.18235294 11.81764706],0
s1,1,0.663981,0.188723,[  4 118] ; [ 1 48],[  3.56725146 118.43274854] ; [ 1.43274854 47.56725146],0
a3,1,0.664213,0.188446,[79 43] ; [30 19],[77.76608187 44.23391813] ; [31.23391813 17.76608187],0
a1,1,0.749792,0.101706,[  6 116] ; [ 3 46],[  6.42105263 115.57894737] ; [ 2.57894737 46.42105263],0
b5,1,0.866791,0.028135,[73 49] ; [30 19],[73.48538012 48.51461988] ; [29.51461988 19.48538012],0
v2,1,0.886793,0.020267,[59 57] ; [25 23],[59.41463415 56.58536585] ; [24.58536585 23.41463415],0
u1,1,0.942028,0.005288,[ 12 110] ; [ 5 44],[ 12.12865497 109.87134503] ; [ 4.87134503 44.12865497],0
