Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,2e-06,22.231672,[ 1 10] ; [27  4],[7.33333333 3.66666667] ; [20.66666667 10.33333333],1
a5,1,0.000486,12.169372,[3 8] ; [26  5],[7.5952381 3.4047619] ; [21.4047619  9.5952381],1
p3,1,0.001452,10.137992,[1 9] ; [21 10],[5.36585366 4.63414634] ; [16.63414634 14.36585366],0
r1,1,0.005338,7.76107,[5 6] ; [27  4],[8.38095238 2.61904762] ; [23.61904762  7.38095238],0
r4,1,0.009429,6.739779,[6 5] ; [28  3],[8.9047619 2.0952381] ; [25.0952381  5.9047619],0
a3,1,0.014035,6.033704,[4 6] ; [25  6],[7.07317073 2.92682927] ; [21.92682927  9.07317073],0
p7,1,0.023669,5.118752,[3 6] ; [23  8],[5.85 3.15] ; [20.15 10.85],0
p8,1,0.036264,4.38467,[2 8] ; [18 13],[4.87804878 5.12195122] ; [15.12195122 15.87804878],0
s8,1,0.067915,3.332701,[ 1 10] ; [12 19],[3.4047619 7.5952381] ; [ 9.5952381 21.4047619],0
d3,1,0.068526,3.317978,[4 7] ; [21 10],[6.54761905 4.45238095] ; [18.45238095 12.54761905],0
v3,1,0.096519,2.762148,[2 8] ; [15 15],[4.25 5.75] ; [12.75 17.25],0
b1,1,0.115786,2.47342,[3 8] ; [17 14],[5.23809524 5.76190476] ; [14.76190476 16.23809524],0
p4,1,0.122624,2.383479,[3 7] ; [18 13],[5.12195122 4.87804878] ; [15.87804878 15.12195122],0
d1,1,0.129219,2.301857,[5 6] ; [22  9],[7.07142857 3.92857143] ; [19.92857143 11.07142857],0
a6,1,0.129219,2.301857,[5 6] ; [22  9],[7.07142857 3.92857143] ; [19.92857143 11.07142857],0
v2,1,0.129219,2.301857,[5 6] ; [22  9],[7.07142857 3.92857143] ; [19.92857143 11.07142857],0
s2,1,0.167793,1.902551,[5 6] ; [ 7 23],[3.2195122 7.7804878] ; [ 8.7804878 21.2195122],0
v4,1,0.209284,1.576373,[8 2] ; [29  2],[9.02439024 0.97560976] ; [27.97560976  3.02439024],0
s3,1,0.252023,1.312055,[5 6] ; [ 8 22],[3.48780488 7.51219512] ; [ 9.51219512 20.48780488],0
p10,1,0.255989,1.290323,[6 3] ; [26  5],[7.2 1.8] ; [24.8  6.2],0
d5,1,0.27192,1.207038,[8 3] ; [27  4],[9.16666667 1.83333333] ; [25.83333333  5.16666667],0
p6,1,0.277962,1.177027,[2 8] ; [12 19],[3.41463415 6.58536585] ; [10.58536585 20.41463415],0
v1,1,0.345779,0.888889,[5 5] ; [20 10],[6.25 3.75] ; [18.75 11.25],0
a7,1,0.350266,0.872492,[8 3] ; [17 13],[6.70731707 4.29268293] ; [18.29268293 11.70731707],0
p12,1,0.387184,0.747767,[1 9] ; [ 1 30],[0.48780488 9.51219512] ; [ 1.51219512 29.48780488],0
p11,1,0.418731,0.653873,[8 3] ; [26  5],[8.9047619 2.0952381] ; [25.0952381  5.9047619],0
a2,1,0.432599,0.615836,[ 1 10] ; [ 6 25],[1.83333333 9.16666667] ; [ 5.16666667 25.83333333],0
n1,1,0.465209,0.533333,[2 2] ; [3 1],[2.5 1.5] ; [2.5 1.5],0
p2,1,0.490657,0.475086,[7 2] ; [27  4],[7.65 1.35] ; [26.35  4.65],0
a4,1,0.491251,0.473785,[4 7] ; [15 16],[4.97619048 6.02380952] ; [14.02380952 16.97619048],0
p1,1,0.494209,0.467349,[1 9] ; [ 6 25],[1.70731707 8.29268293] ; [ 5.29268293 25.70731707],0
u2,1,0.558185,0.342857,[3 4] ; [3 2],[3.5 3.5] ; [2.5 2.5],0
b4,1,0.619668,0.246334,[8 3] ; [20 11],[7.33333333 3.66666667] ; [20.66666667 10.33333333],0
b2,1,0.662521,0.190476,[3 4] ; [11 10],[3.5 3.5] ; [10.5 10.5],0
b3,1,0.662521,0.190476,[3 4] ; [11 10],[3.5 3.5] ; [10.5 10.5],0
d2,1,0.688156,0.161089,[7 4] ; [17 13],[6.43902439 4.56097561] ; [17.56097561 12.43902439],0
d4,1,0.697146,0.151457,[9 2] ; [26  4],[9.3902439 1.6097561] ; [25.6097561  4.3902439],0
a8,1,0.704389,0.143946,[1 8] ; [ 2 26],[0.72972973 8.27027027] ; [ 2.27027027 25.72972973],0
b5,1,0.758635,0.094417,[3 8] ; [10 21],[3.4047619 7.5952381] ; [ 9.5952381 21.4047619],0
r2,1,0.770279,0.08527,[10  1] ; [29  2],[10.21428571  0.78571429] ; [28.78571429  2.21428571],0
r3,1,0.791701,0.06975,[10  1] ; [28  2],[10.19512195  0.80487805] ; [27.80487805  2.19512195],0
p9,1,0.794668,0.067732,[7 3] ; [23  8],[7.31707317 2.68292683] ; [22.68292683  8.31707317],0
u3,1,0.796762,0.066327,[3 4] ; [3 3],[3.23076923 3.76923077] ; [2.76923077 3.23076923],0
s7,1,0.838007,0.041797,[3 7] ; [ 8 22],[2.75 7.25] ; [ 8.25 21.75],0
p5,1,0.849842,0.035842,[2 7] ; [ 6 25],[1.8 7.2] ; [ 6.2 24.8],0
u1,1,0.875284,0.024633,[2 9] ; [ 5 26],[1.83333333 9.16666667] ; [ 5.16666667 25.83333333],0
n6,1,0.932167,0.007245,[9 2] ; [25  6],[8.9047619 2.0952381] ; [25.0952381  5.9047619],0
s4,1,0.954599,0.003241,[ 1 10] ; [ 3 28],[1.04761905 9.95238095] ; [ 2.95238095 28.04761905],0
