Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1e-06,24.107183,[98 10] ; [4 7],[92.57142857 15.42857143] ; [9.42857143 1.57142857],1
r3,1,0.000149,14.380634,[103   5] ; [7 4],[99.83193277  8.16806723] ; [10.16806723  0.83193277],1
b1,1,0.009925,6.648264,[36 72] ; [8 3],[39.93277311 68.06722689] ; [4.06722689 6.93277311],0
d1,1,0.018087,5.587659,[60 48] ; [2 9],[56.26890756 51.73109244] ; [5.73109244 5.26890756],0
v4,1,0.018729,5.526643,[100   7] ; [8 3],[97.93220339  9.06779661] ; [10.06779661  0.93220339],0
n6,1,0.052544,3.758369,[93 15] ; [7 4],[90.75630252 17.24369748] ; [9.24369748 1.75630252],0
a3,1,0.061259,3.502964,[85 22] ; [6 5],[82.51694915 24.48305085] ; [8.48305085 2.51694915],0
n4,1,0.071943,3.238135,[85 23] ; [6 5],[82.58823529 25.41176471] ; [8.41176471 2.58823529],0
n1,1,0.085832,2.950849,[16 13] ; [1 5],[14.08571429 14.91428571] ; [2.91428571 3.08571429],0
a4,1,0.110708,2.544087,[46 61] ; [2 9],[43.52542373 63.47457627] ; [4.47457627 6.52542373],0
s3,1,0.116759,2.460265,[34 73] ; [ 1 10],[31.73728814 75.26271186] ; [3.26271186 7.73728814],0
d2,1,0.150587,2.066291,[54 54] ; [3 8],[51.73109244 56.26890756] ; [5.26890756 5.73109244],0
p3,1,0.161669,1.958544,[63 45] ; [4 7],[60.80672269 47.19327731] ; [6.19327731 4.80672269],0
n3,1,0.162111,1.954422,[18 10] ; [2 4],[16.47058824 11.52941176] ; [3.52941176 2.47058824],0
n5,1,0.168107,1.89974,[80 28] ; [6 5],[78.05042017 29.94957983] ; [7.94957983 3.05042017],0
r1,1,0.189425,1.722086,[87 21] ; [7 4],[85.31092437 22.68907563] ; [8.68907563 2.31092437],0
a6,1,0.249239,1.327566,[77 31] ; [6 5],[75.32773109 32.67226891] ; [7.67226891 3.32773109],0
v2,1,0.271235,1.210491,[57 49] ; [4 7],[55.26495726 50.73504274] ; [5.73504274 5.26495726],0
n2,1,0.281695,1.158895,[21  8] ; [3 3],[19.88571429  9.11428571] ; [4.11428571 1.88571429],0
s5,1,0.292178,1.109557,[24 84] ; [4 7],[25.41176471 82.58823529] ; [2.58823529 8.41176471],0
a5,1,0.330741,0.945996,[83 25] ; [7 4],[81.68067227 26.31932773] ; [8.31932773 2.68067227],0
u1,1,0.366766,0.814594,[22 86] ; [ 1 10],[20.87394958 87.12605042] ; [2.12605042 8.87394958],0
p7,1,0.40788,0.684972,[71 35] ; [6 5],[69.76068376 36.23931624] ; [7.23931624 3.76068376],0
u3,1,0.418442,0.654686,[14  9] ; [4 1],[14.78571429  8.21428571] ; [3.21428571 1.78571429],0
p6,1,0.422917,0.642196,[42 64] ; [3 8],[40.76923077 65.23076923] ; [4.23076923 6.76923077],0
s4,1,0.488057,0.480808,[12 96] ; [2 9],[12.70588235 95.29411765] ; [1.29411765 9.70588235],0
u2,1,0.521213,0.411492,[15  8] ; [4 1],[15.60714286  7.39285714] ; [3.39285714 1.60714286],0
s6,1,0.583378,0.300806,[68 40] ; [6 5],[67.15966387 40.84033613] ; [6.84033613 4.15966387],0
p11,1,0.592402,0.286609,[86 22] ; [8 3],[85.31092437 22.68907563] ; [8.68907563 2.31092437],0
a8,1,0.594508,0.283358,[14 79] ; [ 1 10],[13.41346154 79.58653846] ; [1.58653846 9.41346154],0
a2,1,0.615809,0.251803,[27 81] ; [2 9],[26.31932773 81.68067227] ; [2.68067227 8.31932773],0
d3,1,0.643224,0.214551,[76 32] ; [7 4],[75.32773109 32.67226891] ; [7.67226891 3.32773109],0
d5,1,0.647687,0.208829,[85 23] ; [8 3],[84.40336134 23.59663866] ; [8.59663866 2.40336134],0
b5,1,0.685926,0.163531,[56 52] ; [5 6],[55.36134454 52.63865546] ; [5.63865546 5.36134454],0
a7,1,0.691761,0.157186,[75 33] ; [7 4],[74.42016807 33.57983193] ; [7.57983193 3.42016807],0
b2,1,0.752063,0.099805,[36 47] ; [3 3],[36.37078652 46.62921348] ; [2.62921348 3.37078652],0
b3,1,0.752063,0.099805,[36 47] ; [3 3],[36.37078652 46.62921348] ; [2.62921348 3.37078652],0
p12,1,0.755734,0.096776,[ 7 99] ; [ 1 10],[ 7.24786325 98.75213675] ; [ 0.75213675 10.24786325],0
v1,1,0.774114,0.082368,[53 53] ; [6 5],[53.45299145 52.54700855] ; [5.54700855 5.45299145],0
p5,1,0.898127,0.016391,[18 90] ; [2 9],[18.1512605 89.8487395] ; [1.8487395 9.1512605],0
p8,1,0.913606,0.01177,[56 50] ; [6 5],[56.17094017 49.82905983] ; [5.82905983 5.17094017],0
p2,1,0.919525,0.010207,[87 21] ; [9 2],[87.12605042 20.87394958] ; [8.87394958 2.12605042],0
