Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,78.625951,[56 89] ; [296  78],[98.34296724 46.65703276] ; [253.65703276 120.34296724],1
d3,1,0.0,41.33851,[75 70] ; [299  75],[104.4894027  40.5105973] ; [269.5105973 104.4894027],1
a2,1,0.0,30.756998,[ 13 132] ; [123 252],[ 37.92307692 107.07692308] ; [ 98.07692308 276.92307692],1
b5,1,1e-06,23.814211,[59 86] ; [241 134],[83.65384615 61.34615385] ; [216.34615385 158.65384615],1
u1,1,7e-06,20.159168,[ 10 135] ; [ 91 284],[ 28.16346154 116.83653846] ; [ 72.83653846 302.16346154],1
r2,1,0.0007,11.48908,[126  16] ; [356  13],[133.94129159   8.05870841] ; [348.05870841  20.94129159],1
v4,1,0.0017,9.848076,[133  10] ; [364   6],[138.53996101   4.46003899] ; [358.46003899  11.53996101],0
r4,1,0.002156,9.411442,[124  21] ; [352  23],[132.73076923  12.26923077] ; [343.26923077  31.73076923],0
r3,1,0.003241,8.666843,[134  11] ; [363   8],[139.66085271   5.33914729] ; [357.33914729  13.66085271],0
d1,1,0.004792,7.956254,[72 73] ; [237 138],[86.16346154 58.83653846] ; [222.83653846 152.16346154],0
r1,1,0.007788,7.081475,[110  35] ; [317  53],[120.22330097  24.77669903] ; [306.77669903  63.22330097],0
p4,1,0.01152,6.383221,[91 53] ; [279  96],[102.65895954  41.34104046] ; [267.34104046 107.65895954],0
u3,1,0.023036,5.165807,[17 27] ; [53 36],[23.15789474 20.84210526] ; [46.84210526 42.15789474],0
p9,1,0.033937,4.497882,[120  24] ; [335  37],[126.97674419  17.02325581] ; [328.02325581  43.97674419],0
a5,1,0.034601,4.464767,[100  45] ; [292  83],[109.30769231  35.69230769] ; [282.69230769  92.30769231],0
s5,1,0.051578,3.789389,[64 77] ; [131 233],[54.44554455 86.55445545] ; [140.55445545 223.44554455],0
b1,1,0.056005,3.651909,[67 78] ; [139 236],[57.44230769 87.55769231] ; [148.55769231 226.44230769],0
d5,1,0.065822,3.384249,[111  33] ; [315  60],[118.19653179  25.80346821] ; [307.80346821  67.19653179],0
s4,1,0.076368,3.140562,[ 32 113] ; [ 57 311],[ 25.15594542 119.84405458] ; [ 63.84405458 304.15594542],0
n3,1,0.088202,2.906893,[28 12] ; [53 10],[31.45631068  8.54368932] ; [49.54368932 13.45631068],0
d4,1,0.093845,2.807142,[112  31] ; [317  58],[118.43050193  24.56949807] ; [310.56949807  64.43050193],0
a8,1,0.101657,2.679352,[ 16 121] ; [ 59 273],[ 21.90831557 115.09168443] ; [ 53.09168443 278.90831557],0
v2,1,0.114331,2.49331,[76 67] ; [219 141],[83.8667992 59.1332008] ; [211.1332008 148.8667992],0
s6,1,0.121125,2.402707,[91 49] ; [263 102],[98.13861386 41.86138614] ; [255.86138614 109.13861386],0
p10,1,0.128504,2.310488,[118  25] ; [327  46],[123.32364341  19.67635659] ; [321.67635659  51.32364341],0
s3,1,0.142817,2.147344,[91 52] ; [208 160],[83.67318982 59.32681018] ; [215.32681018 152.67318982],0
a3,1,0.160718,1.967457,[101  43] ; [284  89],[107.23404255  36.76595745] ; [277.76595745  95.23404255],0
p12,1,0.167943,1.901206,[  8 135] ; [ 35 340],[ 11.87065637 131.12934363] ; [ 31.12934363 343.87065637],0
n6,1,0.174884,1.840569,[120  24] ; [326  45],[124.70679612  19.29320388] ; [321.29320388  49.70679612],0
a4,1,0.18185,1.782436,[58 86] ; [175 199],[64.77220077 79.22779923] ; [168.22779923 205.77220077],0
p8,1,0.212742,1.552671,[93 50] ; [263 109],[98.85048544 44.14951456] ; [257.14951456 114.85048544],0
b4,1,0.226147,1.464932,[75 70] ; [216 159],[81.14423077 63.85576923] ; [209.85576923 165.14423077],0
s7,1,0.236889,1.399015,[81 57] ; [189 169],[75.12096774 62.87903226] ; [194.87903226 163.12096774],0
b2,1,0.345946,0.88827,[39 53] ; [ 86 148],[35.27607362 56.72392638] ; [ 89.72392638 144.27607362],0
b3,1,0.345946,0.88827,[39 53] ; [ 86 148],[35.27607362 56.72392638] ; [ 89.72392638 144.27607362],0
n5,1,0.392107,0.732398,[115  29] ; [284  88],[111.34883721  32.65116279] ; [287.65116279  84.34883721],0
s8,1,0.397147,0.716949,[75 70] ; [177 195],[70.67698259 74.32301741] ; [181.32301741 190.67698259],0
p1,1,0.410921,0.676134,[ 11 134] ; [ 37 336],[ 13.43629344 131.56370656] ; [ 34.56370656 338.43629344],0
p11,1,0.445752,0.58143,[119  26] ; [318  57],[121.85576923  23.14423077] ; [315.14423077  59.85576923],0
n1,1,0.473364,0.514113,[15 25] ; [19 43],[13.33333333 26.66666667] ; [20.66666667 41.33333333],0
v3,1,0.479261,0.500545,[65 80] ; [149 211],[61.44554455 83.55445545] ; [152.55445545 207.44554455],0
a1,1,0.492974,0.470029,[ 10 135] ; [ 20 355],[  8.36538462 136.63461538] ; [ 21.63461538 353.36538462],0
u4,1,0.529036,0.396243,[  4 141] ; [  7 367],[  3.07321773 141.92678227] ; [  7.92678227 366.07321773],0
p3,1,0.532652,0.389329,[85 60] ; [231 144],[88.11538462 56.88461538] ; [227.88461538 147.11538462],0
p5,1,0.624909,0.239028,[ 23 122] ; [ 53 321],[ 21.23314066 123.76685934] ; [ 54.76685934 319.23314066],0
n2,1,0.67433,0.176579,[29 11] ; [48 15],[29.90291262 10.09708738] ; [47.09708738 15.90291262],0
s1,1,0.678084,0.172291,[  4 140] ; [  8 362],[  3.3618677 140.6381323] ; [  8.6381323 361.3618677],0
v1,1,0.745649,0.105223,[80 62] ; [212 154],[81.62204724 60.37795276] ; [210.37795276 155.62204724],0
d2,1,0.818484,0.052668,[72 73] ; [182 193],[70.82692308 74.17307692] ; [183.17307692 191.82692308],0
s2,1,0.840156,0.04068,[74 71] ; [193 178],[75.02906977 69.97093023] ; [191.97093023 179.02906977],0
n4,1,0.896942,0.016777,[114  30] ; [298  76],[114.53281853  29.46718147] ; [297.46718147  76.53281853],0
u2,1,0.900896,0.015508,[25 19] ; [51 37],[25.33333333 18.66666667] ; [50.66666667 37.33333333],0
p6,1,0.989584,0.00017,[69 73] ; [181 191],[69.06614786 72.93385214] ; [180.93385214 191.06614786],0
