Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b3,1,0.003354,8.603879,[56 74] ; [ 2 19],[49.93377483 80.06622517] ; [ 8.06622517 12.93377483],0
b2,1,0.003354,8.603879,[56 74] ; [ 2 19],[49.93377483 80.06622517] ; [ 8.06622517 12.93377483],0
s3,1,0.008536,6.91738,[125  52] ; [33  3],[131.29577465  45.70422535] ; [26.70422535  9.29577465],0
s2,1,0.013467,6.106666,[116  62] ; [31  5],[122.27102804  55.72897196] ; [24.72897196 11.27102804],0
b4,1,0.023365,5.141168,[110  71] ; [15 22],[103.78440367  77.21559633] ; [21.21559633 15.78440367],0
a5,1,0.028489,4.798251,[143  38] ; [23 14],[137.82568807  43.17431193] ; [28.17431193  8.82568807],0
s6,1,0.043478,4.076702,[145  35] ; [34  2],[149.16666667  30.83333333] ; [29.83333333  6.16666667],0
s5,1,0.046597,3.959893,[ 61 114] ; [18 16],[ 66.14832536 108.85167464] ; [12.85167464 21.14832536],0
a8,1,0.080181,3.061236,[ 30 133] ; [ 2 31],[ 26.6122449 136.3877551] ; [ 5.3877551 27.6122449],0
v3,1,0.09469,2.792773,[84 83] ; [13 24],[79.40686275 87.59313725] ; [17.59313725 19.40686275],0
p2,1,0.112346,2.520901,[148  33] ; [26 11],[144.46788991  36.53211009] ; [29.53211009  7.46788991],0
p11,1,0.158027,1.993005,[146  35] ; [26 11],[142.80733945  38.19266055] ; [29.19266055  7.80733945],0
d4,1,0.160265,1.971724,[150  31] ; [27 10],[146.9587156  34.0412844] ; [30.0412844  6.9587156],0
p12,1,0.188787,1.727061,[ 17 164] ; [ 1 35],[ 15.01382488 165.98617512] ; [ 2.98617512 33.01382488],0
a6,1,0.202019,1.627718,[127  54] ; [22 15],[123.71100917  57.28899083] ; [25.28899083 11.71100917],0
r1,1,0.241572,1.371396,[157  21] ; [30  7],[154.81860465  23.18139535] ; [32.18139535  4.81860465],0
v2,1,0.269041,1.221628,[102  68] ; [18 18],[99.02912621 70.97087379] ; [20.97087379 15.02912621],0
n1,1,0.30796,1.039403,[21 24] ; [4 9],[19.39655172 25.60344828] ; [5.60344828 7.39655172],0
p3,1,0.308364,1.037669,[90 91] ; [15 22],[87.17889908 93.82110092] ; [17.82110092 19.17889908],0
a2,1,0.312973,1.018088,[ 54 127] ; [ 8 29],[ 51.47706422 129.52293578] ; [10.52293578 26.47706422],0
b1,1,0.410484,0.677397,[ 70 111] ; [17 20],[ 72.23394495 108.76605505] ; [14.76605505 22.23394495],0
u2,1,0.429195,0.625,[25 11] ; [5 4],[24. 12.] ; [6. 3.],0
a7,1,0.480112,0.49861,[128  53] ; [24 13],[126.20183486  54.79816514] ; [25.79816514 11.20183486],0
p8,1,0.516833,0.420209,[83 96] ; [15 22],[81.21296296 97.78703704] ; [16.78703704 20.21296296],0
n4,1,0.538885,0.377611,[139  40] ; [27 10],[137.56481481  41.43518519] ; [28.43518519  8.56481481],0
u3,1,0.550487,0.356446,[25 12] ; [7 2],[25.73913043 11.26086957] ; [6.26086957 2.73913043],0
a3,1,0.597934,0.278123,[144  37] ; [28  9],[142.80733945  38.19266055] ; [29.19266055  7.80733945],0
p7,1,0.609946,0.260254,[100  77] ; [22 14],[101.38028169  75.61971831] ; [20.61971831 15.38028169],0
n6,1,0.625673,0.237974,[149  30] ; [32  5],[149.99537037  29.00462963] ; [31.00462963  5.99537037],0
d1,1,0.640091,0.218623,[115  66] ; [22 15],[113.74770642  67.25229358] ; [23.25229358 13.74770642],0
u1,1,0.690104,0.158972,[ 34 147] ; [ 8 29],[ 34.87155963 146.12844037] ; [ 7.12844037 29.87155963],0
v1,1,0.721081,0.127459,[91 79] ; [21 16],[91.98067633 78.01932367] ; [20.01932367 16.98067633],0
p4,1,0.73102,0.118177,[98 82] ; [19 18],[97.05069124 82.94930876] ; [19.94930876 17.05069124],0
d2,1,0.749884,0.101628,[103  78] ; [20 17],[102.12385321  78.87614679] ; [20.87614679 16.12385321],0
p5,1,0.768751,0.086441,[ 17 159] ; [ 3 34],[ 16.5258216 159.4741784] ; [ 3.4741784 33.5258216],0
a4,1,0.771132,0.084619,[83 98] ; [16 21],[82.19724771 98.80275229] ; [16.80275229 20.19724771],0
p9,1,0.774003,0.082451,[156  23] ; [32  4],[156.52093023  22.47906977] ; [31.47906977  4.52093023],0
s1,1,0.826586,0.047997,[  6 170] ; [ 1 36],[  5.78403756 170.21596244] ; [ 1.21596244 35.78403756],0
v4,1,0.839117,0.041218,[173   6] ; [36  1],[173.19907407   5.80092593] ; [35.80092593  1.19907407],0
r2,1,0.863236,0.029672,[168  11] ; [35  2],[168.22685185  10.77314815] ; [34.77314815  2.22685185],0
d3,1,0.86675,0.028153,[120  61] ; [24 13],[119.55963303  61.44036697] ; [24.44036697 12.55963303],0
s7,1,0.870136,0.026728,[124  46] ; [26  9],[124.3902439  45.6097561] ; [25.6097561  9.3902439],0
p1,1,0.87503,0.024735,[ 11 170] ; [ 2 35],[ 10.79357798 170.20642202] ; [ 2.20642202 34.79357798],0
d5,1,0.893018,0.018087,[150  31] ; [31  6],[150.27981651  30.72018349] ; [30.72018349  6.27981651],0
r4,1,0.938494,0.005954,[167  14] ; [34  3],[166.8853211  14.1146789] ; [34.1146789  2.8853211],0
n2,1,0.950108,0.003915,[35 11] ; [10  3],[35.08474576 10.91525424] ; [9.91525424 3.08474576],0
b5,1,0.969107,0.0015,[107  74] ; [22 15],[107.10550459  73.89449541] ; [21.89449541 15.10550459],0
p10,1,0.980377,0.000605,[153  25] ; [31  5],[153.04672897  24.95327103] ; [30.95327103  5.04672897],0
n5,1,0.982777,0.000466,[135  43] ; [28  9],[134.94883721  43.05116279] ; [28.05116279  8.94883721],0
