Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p5,1,0.767861,0.087127,[12 64] ; [ 7 32],[12.55652174 63.44347826] ; [ 6.44347826 32.55652174],0
a1,1,0.768784,0.086416,[ 3 73] ; [ 2 37],[ 3.30434783 72.69565217] ; [ 1.69565217 37.30434783],0
d2,1,0.79705,0.066135,[39 37] ; [21 18],[39.65217391 36.34782609] ; [20.34782609 18.65217391],0
p2,1,0.817471,0.053268,[61 15] ; [32  7],[61.46086957 14.53913043] ; [31.53913043  7.46086957],0
a5,1,0.820049,0.051748,[57 19] ; [30  9],[57.49565217 18.50434783] ; [29.50434783  9.49565217],0
a7,1,0.828862,0.046726,[56 20] ; [28 11],[55.51304348 20.48695652] ; [28.48695652 10.51304348],0
a8,1,0.883244,0.021567,[13 56] ; [ 6 28],[12.72815534 56.27184466] ; [ 6.27184466 27.72815534],0
r2,1,0.891924,0.018461,[67  7] ; [35  4],[66.79646018  7.20353982] ; [35.20353982  3.79646018],0
p11,1,0.95489,0.0032,[64 12] ; [33  6],[64.10434783 11.89565217] ; [32.89565217  6.10434783],0
d3,1,0.962243,0.002241,[51 25] ; [26 13],[50.88695652 25.11304348] ; [26.11304348 12.88695652],0
p1,1,0.969477,0.001464,[ 6 70] ; [ 3 36],[ 5.94782609 70.05217391] ; [ 3.05217391 35.94782609],0
b4,1,0.974697,0.001006,[47 29] ; [24 15],[46.92173913 29.07826087] ; [24.07826087 14.92173913],0
n5,1,1.0,0.0,[56 20] ; [28 10],[56. 20.] ; [28. 10.],0
