Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p1,1,4.9e-05,16.494842,[ 17 216] ; [5 7],[ 20.92244898 212.07755102] ; [ 1.07755102 10.92244898],1
p3,1,0.002111,9.450519,[ 60 172] ; [8 4],[ 64.6557377 167.3442623] ; [3.3442623 8.6557377],0
p4,1,0.00517,7.818989,[ 82 152] ; [9 3],[ 86.56097561 147.43902439] ; [4.43902439 7.56097561],0
p8,1,0.019567,5.450147,[ 49 183] ; [6 6],[ 52.29508197 179.70491803] ; [2.70491803 9.29508197],0
n5,1,0.046345,3.969016,[148  85] ; [11  1],[151.2122449  81.7877551] ; [7.7877551 4.2122449],0
s1,1,0.051921,3.778326,[ 10 224] ; [ 2 10],[ 11.41463415 222.58536585] ; [ 0.58536585 11.41463415],0
s5,1,0.060443,3.525184,[ 47 174] ; [5 6],[ 49.53448276 171.46551724] ; [2.46551724 8.53448276],0
s6,1,0.073276,3.20806,[112 119] ; [9 3],[115.02469136 115.97530864] ; [5.97530864 6.02469136],0
s7,1,0.112298,2.521584,[ 71 154] ; [6 5],[ 73.41101695 151.58898305] ; [3.58898305 7.41101695],0
b5,1,0.132665,2.261043,[148  86] ; [5 7],[145.53658537  88.46341463] ; [7.46341463 4.53658537],0
p10,1,0.141052,2.166448,[144  87] ; [10  2],[146.39506173  84.60493827] ; [7.60493827 4.39506173],0
s8,1,0.165275,1.925285,[ 56 178] ; [5 7],[ 58.02439024 175.97560976] ; [2.97560976 9.02439024],0
v2,1,0.168873,1.892917,[ 82 145] ; [ 2 10],[ 79.78242678 147.21757322] ; [4.21757322 7.78242678],0
n4,1,0.199658,1.644877,[153  81] ; [10  2],[155.04878049  78.95121951] ; [7.95121951 4.04878049],0
p2,1,0.209204,1.576923,[154  80] ; [10  2],[156.  78.] ; [8. 4.],0
d1,1,0.21429,1.542205,[113 121] ; [8 4],[115.09756098 118.90243902] ; [5.90243902 6.09756098],0
a4,1,0.215672,1.532941,[100 132] ; [3 9],[ 97.93442623 134.06557377] ; [5.06557377 6.93442623],0
n2,1,0.219303,1.508926,[60 29] ; [1 2],[59.01086957 29.98913043] ; [1.98913043 1.01086957],0
r2,1,0.25955,1.271153,[200  31] ; [9 3],[198.67901235  32.32098765] ; [10.32098765  1.67901235],0
d3,1,0.269553,1.219019,[138  96] ; [9 3],[139.82926829  94.17073171] ; [7.17073171 4.82926829],0
s3,1,0.285872,1.13896,[ 99 133] ; [7 5],[100.78688525 131.21311475] ; [5.21311475 6.78688525],0
b2,1,0.313798,1.014621,[49 84] ; [1 5],[47.84172662 85.15827338] ; [2.15827338 3.84172662],0
b3,1,0.313798,1.014621,[49 84] ; [1 5],[47.84172662 85.15827338] ; [2.15827338 3.84172662],0
s4,1,0.324856,0.969296,[ 46 186] ; [ 1 11],[ 44.68852459 187.31147541] ; [2.31147541 9.68852459],0
n3,1,0.328877,0.953313,[54 34] ; [1 2],[53.18681319 34.81318681] ; [1.81318681 1.18681319],0
a6,1,0.406344,0.689471,[145  89] ; [6 6],[143.63414634  90.36585366] ; [7.36585366 4.63414634],0
a3,1,0.438396,0.600478,[142  90] ; [6 6],[140.72131148  91.27868852] ; [7.27868852 4.72131148],0
a2,1,0.445467,0.58216,[ 39 195] ; [ 1 11],[ 38.04878049 195.95121951] ; [ 1.95121951 10.04878049],0
v4,1,0.461446,0.542384,[195  38] ; [11  1],[195.91020408  37.08979592] ; [10.08979592  1.91020408],0
v1,1,0.495704,0.464121,[ 81 148] ; [5 6],[ 82.05833333 146.94166667] ; [3.94166667 7.05833333],0
r1,1,0.580702,0.305101,[154  79] ; [7 5],[153.11428571  79.88571429] ; [7.88571429 4.11428571],0
b4,1,0.596729,0.279958,[138  96] ; [8 4],[138.87804878  95.12195122] ; [7.12195122 4.87804878],0
r4,1,0.602096,0.271847,[172  62] ; [8 4],[171.2195122  62.7804878] ; [8.7804878 3.2195122],0
a5,1,0.639725,0.219103,[152  82] ; [7 5],[151.24390244  82.75609756] ; [7.75609756 4.24390244],0
d2,1,0.659843,0.193714,[101 131] ; [6 6],[101.73770492 130.26229508] ; [5.26229508 6.73770492],0
p11,1,0.662281,0.190764,[151  83] ; [7 5],[150.29268293  83.70731707] ; [7.70731707 4.29268293],0
s2,1,0.686886,0.162477,[ 83 148] ; [5 7],[ 83.65432099 147.34567901] ; [4.34567901 7.65432099],0
u1,1,0.699284,0.149218,[ 30 204] ; [ 2 10],[ 30.43902439 203.56097561] ; [ 1.56097561 10.43902439],0
p6,1,0.779258,0.07856,[ 32 200] ; [ 2 10],[ 32.32786885 199.67213115] ; [ 1.67213115 10.32786885],0
b1,1,0.823992,0.049468,[ 90 144] ; [5 7],[ 90.36585366 143.63414634] ; [4.63414634 7.36585366],0
u3,1,0.835958,0.042877,[50 42] ; [3 3],[49.75510204 42.24489796] ; [3.24489796 2.75510204],0
u2,1,0.835958,0.042877,[42 50] ; [3 3],[42.24489796 49.75510204] ; [2.75510204 3.24489796],0
r3,1,0.87665,0.024092,[198  35] ; [10  2],[197.8122449  35.1877551] ; [10.1877551  1.8122449],0
d5,1,0.883416,0.021503,[171  63] ; [9 3],[171.2195122  62.7804878] ; [8.7804878 3.2195122],0
a7,1,0.951443,0.003708,[154  80] ; [8 4],[154.09756098  79.90243902] ; [7.90243902 4.09756098],0
d4,1,0.959778,0.002543,[177  57] ; [9 3],[176.92682927  57.07317073] ; [9.07317073 2.92682927],0
