Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.0,58.623116,[106   1] ; [38 34],[86.07821229 20.92178771] ; [57.92178771 14.07821229],1
d2,1,0.0,55.452285,[80 27] ; [13 59],[55.59217877 51.40782123] ; [37.40782123 34.59217877],1
d3,1,0.0,47.563001,[93 14] ; [27 45],[71.73184358 35.26815642] ; [48.26815642 23.73184358],1
d4,1,0.0,46.43161,[105   2] ; [42 30],[87.87150838 19.12849162] ; [59.12849162 12.87150838],1
a2,1,0.0,31.604938,[43 65] ; [ 2 70],[27. 81.] ; [18. 54.],1
u1,1,0.0,26.994897,[36 72] ; [ 1 71],[22.2 85.8] ; [14.8 57.2],1
a4,1,0.0,25.62872,[67 41] ; [17 55],[50.4 57.6] ; [33.6 38.4],1
a5,1,0.000747,11.368371,[89 19] ; [43 29],[79.2 28.8] ; [52.8 19.2],1
r2,1,0.002063,9.492661,[106   1] ; [63  8],[101.58988764   5.41011236] ; [67.41011236  3.58988764],0
r1,1,0.003843,8.356481,[94 14] ; [50 22],[86.4 21.6] ; [57.6 14.4],0
a3,1,0.006278,7.468631,[92 16] ; [49 23],[84.6 23.4] ; [56.4 15.6],0
a6,1,0.01631,5.769149,[74 33] ; [37 35],[66.35195531 40.64804469] ; [44.64804469 27.35195531],0
n4,1,0.035819,4.405721,[93 15] ; [53 19],[87.6 20.4] ; [58.4 13.6],0
s3,1,0.038184,4.296821,[86 21] ; [48 24],[80.10055866 26.89944134] ; [53.89944134 18.10055866],0
r4,1,0.048917,3.878205,[98 10] ; [58 14],[93.6 14.4] ; [62.4  9.6],0
s2,1,0.058989,3.565574,[79 29] ; [43 29],[73.2 34.8] ; [48.8 23.2],0
a1,1,0.069519,3.294347,[  8 100] ; [ 1 71],[  5.4 102.6] ; [ 3.6 68.4],0
b4,1,0.076686,3.133772,[64 44] ; [33 39],[58.2 49.8] ; [38.8 33.2],0
p7,1,0.114052,2.497164,[65 41] ; [51 19],[69.86363636 36.13636364] ; [46.13636364 23.86363636],0
s6,1,0.128985,2.304675,[88 18] ; [53 19],[83.96629213 22.03370787] ; [57.03370787 14.96629213],0
p9,1,0.168069,1.900084,[94 13] ; [57 14],[90.76966292 16.23033708] ; [60.23033708 10.76966292],0
p2,1,0.170672,1.87703,[86 22] ; [63  9],[89.4 18.6] ; [59.6 12.4],0
s8,1,0.173656,1.851096,[68 40] ; [38 34],[63.6 44.4] ; [42.4 29.6],0
u2,1,0.196851,1.665584,[12  4] ; [12 10],[10.10526316  5.89473684] ; [13.89473684  8.10526316],0
n2,1,0.204876,1.607268,[18 10] ; [20  5],[20.0754717  7.9245283] ; [17.9245283  7.0754717],0
p12,1,0.272254,1.205357,[ 9 99] ; [ 3 69],[  7.2 100.8] ; [ 4.8 67.2],0
r3,1,0.297707,1.084437,[103   5] ; [65  6],[101.36312849   6.63687151] ; [66.63687151  4.36312849],0
b5,1,0.300832,1.070503,[58 50] ; [33 39],[54.6 53.4] ; [36.4 35.6],0
v2,1,0.315644,1.006913,[49 57] ; [27 43],[45.77272727 60.22727273] ; [30.22727273 39.77272727],0
s1,1,0.373874,0.790748,[  8 100] ; [ 3 69],[  6.6 101.4] ; [ 4.4 67.6],0
p8,1,0.390791,0.73648,[49 57] ; [38 34],[51.80898876 54.19101124] ; [35.19101124 36.80898876],0
n3,1,0.42707,0.630777,[21  6] ; [17  8],[19.73076923  7.26923077] ; [18.26923077  6.73076923],0
