Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,37.975,[29 16] ; [ 2 46],[15. 30.] ; [16. 32.],1
s7,1,0.000189,13.936056,[22 19] ; [ 7 38],[13.8255814 27.1744186] ; [15.1744186 29.8255814],1
s6,1,0.001355,10.266413,[29 16] ; [15 33],[21.29032258 23.70967742] ; [22.70967742 25.29032258],0
u3,1,0.004265,8.1675,[12  3] ; [3 9],[8.33333333 6.66666667] ; [6.66666667 5.33333333],0
v4,1,0.017552,5.640324,[39  4] ; [34 14],[34.49450549  8.50549451] ; [38.50549451  9.49450549],0
d4,1,0.024329,5.071001,[36  8] ; [29 19],[31.08695652 12.91304348] ; [33.91304348 14.08695652],0
u2,1,0.040403,4.200882,[12  3] ; [5 7],[9.44444444 5.55555556] ; [7.55555556 4.44444444],0
b3,1,0.050077,3.838884,[ 4 22] ; [11 17],[ 7.22222222 18.77777778] ; [ 7.77777778 20.22222222],0
b2,1,0.050077,3.838884,[ 4 22] ; [11 17],[ 7.22222222 18.77777778] ; [ 7.77777778 20.22222222],0
r3,1,0.051373,3.796065,[40  5] ; [35 13],[36.29032258  8.70967742] ; [38.70967742  9.29032258],0
a4,1,0.06405,3.429282,[14 31] ; [24 24],[18.38709677 26.61290323] ; [19.61290323 28.38709677],0
d3,1,0.071298,3.252871,[31 13] ; [25 23],[26.7826087 17.2173913] ; [29.2173913 18.7826087],0
d2,1,0.086809,2.932583,[16 28] ; [26 22],[20.08695652 23.91304348] ; [21.91304348 26.08695652],0
p10,1,0.090969,2.857143,[28 17] ; [20 25],[24. 21.] ; [24. 21.],0
b5,1,0.09798,2.738121,[31 14] ; [25 23],[27.09677419 17.90322581] ; [28.90322581 19.09677419],0
s8,1,0.10141,2.683227,[14 31] ; [ 8 40],[10.64516129 34.35483871] ; [11.35483871 36.64516129],0
r2,1,0.146169,2.111779,[40  3] ; [39  8],[37.74444444  5.25555556] ; [41.25555556  5.74444444],0
