Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b2,1,0.000308,13.01858,[ 1 25] ; [56 82],[ 9.03658537 16.96341463] ; [47.96341463 90.03658537],1
b3,1,0.000308,13.01858,[ 1 25] ; [56 82],[ 9.03658537 16.96341463] ; [47.96341463 90.03658537],1
s5,1,0.009277,6.768645,[21 26] ; [ 64 183],[13.58843537 33.41156463] ; [ 71.41156463 175.58843537],0
s2,1,0.01341,6.114195,[30 19] ; [105 145],[22.12374582 26.87625418] ; [112.87625418 137.12374582],0
a3,1,0.058496,3.57951,[24 27] ; [154  97],[30.05960265 20.94039735] ; [147.94039735 103.05960265],0
p5,1,0.05959,3.548756,[ 2 49] ; [ 33 217],[ 5.93023256 45.06976744] ; [ 29.06976744 220.93023256],0
p4,1,0.059942,3.539001,[21 30] ; [139 111],[27.10963455 23.89036545] ; [132.89036545 117.10963455],0
a8,1,0.068906,3.308896,[ 2 45] ; [ 33 207],[ 5.73170732 41.26829268] ; [ 29.26829268 210.73170732],0
d3,1,0.073911,3.193958,[26 24] ; [ 96 154],[20.33333333 29.66666667] ; [101.66666667 148.33333333],0
p2,1,0.074216,3.187233,[38 13] ; [212  38],[42.35880399  8.64119601] ; [207.64119601  42.35880399],0
v3,1,0.07694,3.128374,[11 38] ; [ 88 160],[16.33333333 32.66666667] ; [ 82.66666667 165.33333333],0
s3,1,0.088276,2.905534,[31 19] ; [121 127],[25.5033557 24.4966443] ; [126.4966443 121.5033557],0
v2,1,0.12849,2.310649,[20 29] ; [125 112],[24.84265734 24.15734266] ; [120.15734266 116.84265734],0
a5,1,0.137214,2.208933,[26 25] ; [156  95],[30.73509934 20.26490066] ; [151.26490066  99.73509934],0
a6,1,0.15236,2.048461,[26 25] ; [155  96],[30.56622517 20.43377483] ; [150.43377483 100.56622517],0
b5,1,0.160143,1.972875,[24 27] ; [145 106],[28.5397351 22.4602649] ; [140.4602649 110.5397351],0
p3,1,0.167586,1.904408,[18 33] ; [115 136],[22.4602649 28.5397351] ; [110.5397351 140.4602649],0
n4,1,0.181037,1.789088,[32 19] ; [181  70],[35.97019868 15.02980132] ; [177.02980132  73.97019868],0
d4,1,0.186207,1.747377,[26 25] ; [153  98],[30.22847682 20.77152318] ; [148.77152318 102.22847682],0
s8,1,0.257,1.284845,[16 35] ; [100 151],[19.58940397 31.41059603] ; [ 96.41059603 154.58940397],0
p6,1,0.306856,1.044159,[13 38] ; [ 81 166],[16.08724832 34.91275168] ; [ 77.91275168 169.08724832],0
p9,1,0.347346,0.88313,[49  2] ; [231  19],[47.44186047  3.55813953] ; [232.55813953  17.44186047],0
p1,1,0.356201,0.851244,[ 3 48] ; [ 25 225],[ 4.74418605 46.25581395] ; [ 23.25581395 226.74418605],0
r1,1,0.375216,0.786316,[34 17] ; [182  68],[36.59800664 14.40199336] ; [179.40199336  70.59800664],0
s7,1,0.377246,0.779656,[26 24] ; [107 130],[23.17073171 26.82926829] ; [109.82926829 127.17073171],0
a7,1,0.38536,0.753532,[30 20] ; [166  84],[32.66666667 17.33333333] ; [163.33333333  86.66666667],0
s6,1,0.392218,0.732056,[33 14] ; [158  90],[30.43050847 16.56949153] ; [160.56949153  87.43050847],0
a2,1,0.394872,0.723887,[ 2 49] ; [ 18 233],[ 3.37748344 47.62251656] ; [ 16.62251656 234.37748344],0
b1,1,0.413519,0.66866,[17 34] ; [ 99 152],[19.58940397 31.41059603] ; [ 96.41059603 154.58940397],0
