Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r1,1,3e-06,21.625697,[28 25] ; [67  8],[39.3359375 13.6640625] ; [55.6640625 19.3359375],1
v3,1,3e-06,21.612935,[ 9 42] ; [44 30],[21.624 29.376] ; [31.376 42.624],1
p11,1,3.1e-05,17.359781,[34 19] ; [70  5],[43.0625  9.9375] ; [60.9375 14.0625],1
v1,1,0.000176,14.068752,[20 33] ; [52 21],[30.28571429 22.71428571] ; [41.71428571 31.28571429],1
a5,1,0.000627,11.694028,[31 22] ; [64 11],[39.3359375 13.6640625] ; [55.6640625 19.3359375],1
r4,1,0.001966,9.581468,[39 14] ; [70  5],[45.1328125  7.8671875] ; [63.8671875 11.1328125],0
p8,1,0.002598,9.070021,[25 28] ; [55 20],[33.125 19.875] ; [46.875 28.125],0
p7,1,0.002617,9.056627,[32 21] ; [63 12],[39.3359375 13.6640625] ; [55.6640625 19.3359375],0
p10,1,0.002701,8.999455,[35 18] ; [66  9],[41.8203125 11.1796875] ; [59.1796875 15.8203125],0
r3,1,0.006091,7.523269,[43 10] ; [72  3],[47.6171875  5.3828125] ; [67.3828125  7.6171875],0
v4,1,0.006264,7.472839,[46  7] ; [74  1],[49.6875  3.3125] ; [70.3125  4.6875],0
s8,1,0.008956,6.831623,[ 8 45] ; [27 48],[14.4921875 38.5078125] ; [20.5078125 54.4921875],0
a4,1,0.017017,5.694669,[15 38] ; [37 38],[21.53125 31.46875] ; [30.46875 44.53125],0
n5,1,0.026594,4.916999,[33 20] ; [60 15],[38.5078125 14.4921875] ; [54.4921875 20.5078125],0
a3,1,0.04424,4.047369,[30 22] ; [56 19],[35.21259843 16.78740157] ; [50.78740157 24.21259843],0
a2,1,0.048871,3.87977,[ 6 47] ; [19 56],[10.3515625 42.6484375] ; [14.6484375 60.3515625],0
p9,1,0.05894,3.566957,[38 15] ; [64 11],[42.234375 10.765625] ; [59.765625 15.234375],0
b2,1,0.061318,3.501363,[ 9 22] ; [26 26],[13.07228916 17.92771084] ; [21.92771084 30.07228916],0
b3,1,0.061318,3.501363,[ 9 22] ; [26 26],[13.07228916 17.92771084] ; [21.92771084 30.07228916],0
s5,1,0.068484,3.318991,[ 5 45] ; [17 58],[ 8.8 41.2] ; [13.2 61.8],0
n2,1,0.096791,2.757639,[7 5] ; [9 1],[8.72727273 3.27272727] ; [7.27272727 2.72727273],0
p5,1,0.108172,2.580731,[ 2 50] ; [ 9 66],[ 4.50393701 47.49606299] ; [ 6.49606299 68.50393701],0
n4,1,0.16916,1.890374,[41 12] ; [65 10],[43.890625  9.109375] ; [62.109375 12.890625],0
s7,1,0.176371,1.827944,[12 37] ; [26 46],[15.38842975 33.61157025] ; [22.61157025 49.38842975],0
b5,1,0.19347,1.690992,[33 20] ; [38 37],[29.3984375 23.6015625] ; [41.6015625 33.3984375],0
n6,1,0.226196,1.464622,[40 12] ; [64 11],[42.58267717  9.41732283] ; [61.41732283 13.58267717],0
d2,1,0.227104,1.458905,[18 34] ; [34 41],[21.29133858 30.70866142] ; [30.70866142 44.29133858],0
p2,1,0.2641,1.247136,[42 11] ; [65 10],[44.3046875  8.6953125] ; [62.6953125 12.3046875],0
d3,1,0.318638,0.99453,[33 20] ; [53 22],[35.609375 17.390625] ; [50.390625 24.609375],0
a1,1,0.321523,0.982741,[ 1 52] ; [ 4 71],[ 2.0703125 50.9296875] ; [ 2.9296875 72.0703125],0
u1,1,0.345978,0.888155,[ 6 47] ; [13 62],[ 7.8671875 45.1328125] ; [11.1328125 63.8671875],0
n3,1,0.363722,0.825,[9 3] ; [9 1],[9.81818182 2.18181818] ; [8.18181818 1.81818182],0
d5,1,0.489056,0.478603,[43 10] ; [57 18],[41.40625 11.59375] ; [58.59375 16.40625],0
p6,1,0.508976,0.436171,[18 35] ; [29 44],[19.76984127 33.23015873] ; [27.23015873 45.76984127],0
b1,1,0.563088,0.334385,[22 31] ; [35 40],[23.6015625 29.3984375] ; [33.3984375 41.6015625],0
r2,1,0.565542,0.330199,[48  5] ; [70  5],[48.859375  4.140625] ; [69.140625  5.859375],0
d1,1,0.571867,0.319568,[27 26] ; [42 33],[28.5703125 24.4296875] ; [40.4296875 34.5703125],0
a6,1,0.662448,0.190563,[37 16] ; [55 20],[38.09375 14.90625] ; [53.90625 21.09375],0
d4,1,0.670598,0.180904,[40 13] ; [59 16],[40.9921875 12.0078125] ; [58.0078125 16.9921875],0
u3,1,0.710822,0.137457,[12 11] ; [11  8],[12.5952381 10.4047619] ; [10.4047619  8.5952381],0
u2,1,0.710822,0.137457,[11 12] ; [ 8 11],[10.4047619 12.5952381] ; [ 8.5952381 10.4047619],0
s1,1,0.722945,0.125689,[ 2 51] ; [ 2 73],[ 1.65625 51.34375] ; [ 2.34375 72.65625],0
s3,1,0.735566,0.114062,[16 36] ; [21 54],[15.1496063 36.8503937] ; [21.8503937 53.1496063],0
p4,1,0.739891,0.110223,[36 17] ; [53 22],[36.8515625 16.1484375] ; [52.1484375 22.8515625],0
s4,1,0.775555,0.081291,[ 5 48] ; [ 6 69],[ 4.5546875 48.4453125] ; [ 6.4453125 68.5546875],0
s2,1,0.860024,0.031097,[12 41] ; [16 59],[11.59375 41.40625] ; [16.40625 58.59375],0
n1,1,0.867258,0.027937,[4 8] ; [3 7],[3.81818182 8.18181818] ; [3.18181818 6.81818182],0
b4,1,0.885611,0.020696,[29 24] ; [42 33],[29.3984375 23.6015625] ; [41.6015625 33.3984375],0
a7,1,0.890389,0.018992,[39 14] ; [56 19],[39.3359375 13.6640625] ; [55.6640625 19.3359375],0
a8,1,0.932951,0.007078,[ 5 40] ; [ 7 59],[ 4.86486486 40.13513514] ; [ 7.13513514 58.86486486],0
p1,1,0.983521,0.000427,[ 7 46] ; [10 65],[ 7.0390625 45.9609375] ; [ 9.9609375 65.0390625],0
