Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,5.9e-05,16.123046,[15 23] ; [42 10],[24.06666667 13.93333333] ; [32.93333333 19.06666667],1
a4,1,7.6e-05,15.652326,[ 5 33] ; [28 24],[13.93333333 24.06666667] ; [19.06666667 32.93333333],1
d5,1,0.000607,11.752895,[16 22] ; [41 12],[23.8021978 14.1978022] ; [33.1978022 19.8021978],1
a6,1,0.002708,8.994733,[13 25] ; [35 18],[20.04395604 17.95604396] ; [27.95604396 25.04395604],0
p9,1,0.004053,8.260084,[17 20] ; [38 12],[23.3908046 13.6091954] ; [31.6091954 18.3908046],0
p4,1,0.006616,7.374433,[ 8 29] ; [26 26],[14.13483146 22.86516854] ; [19.86516854 32.13483146],0
d1,1,0.008726,6.877988,[ 9 29] ; [27 26],[15.03296703 22.96703297] ; [20.96703297 32.03296703],0
d2,1,0.009099,6.803375,[11 26] ; [30 22],[17.04494382 19.95505618] ; [23.95505618 28.04494382],0
p5,1,0.016086,5.793496,[ 1 37] ; [10 41],[ 4.69662921 33.30337079] ; [ 6.30337079 44.69662921],0
p3,1,0.025834,4.9671,[ 6 32] ; [19 32],[10.6741573 27.3258427] ; [14.3258427 36.6741573],0
s7,1,0.039131,4.255165,[ 9 27] ; [23 26],[13.55294118 22.44705882] ; [18.44705882 30.55294118],0
d4,1,0.042729,4.106108,[18 19] ; [37 16],[22.61111111 14.38888889] ; [32.38888889 20.61111111],0
a7,1,0.044979,4.019432,[11 26] ; [27 26],[15.62222222 21.37777778] ; [22.37777778 30.62222222],0
u1,1,0.049533,3.857208,[ 1 37] ; [ 8 45],[ 3.75824176 34.24175824] ; [ 5.24175824 47.75824176],0
s8,1,0.069398,3.297204,[ 6 32] ; [17 35],[ 9.71111111 28.28888889] ; [13.28888889 38.71111111],0
p10,1,0.089697,2.879803,[18 19] ; [34 17],[21.86363636 15.13636364] ; [30.13636364 20.86363636],0
n6,1,0.090447,2.866396,[21 17] ; [37 14],[24.76404494 13.23595506] ; [33.23595506 17.76404494],0
p11,1,0.110619,2.545349,[18 20] ; [34 19],[21.71428571 16.28571429] ; [30.28571429 22.71428571],0
b4,1,0.112737,2.515426,[25 13] ; [26 27],[21.2967033 16.7032967] ; [29.7032967 23.2967033],0
s4,1,0.123859,2.367834,[10 28] ; [ 7 45],[ 7.17777778 30.82222222] ; [ 9.82222222 42.17777778],0
a1,1,0.140147,2.176349,[ 3 35] ; [10 43],[ 5.42857143 32.57142857] ; [ 7.57142857 45.42857143],0
n4,1,0.174003,1.848109,[27 11] ; [44  9],[29.64835165  8.35164835] ; [41.35164835 11.64835165],0
p6,1,0.189348,1.722683,[ 7 30] ; [16 35],[ 9.67045455 27.32954545] ; [13.32954545 37.67045455],0
d3,1,0.250778,1.318963,[15 22] ; [28 25],[17.67777778 19.32222222] ; [25.32222222 27.67777778],0
v2,1,0.262873,1.253561,[16 20] ; [17 35],[13.5 22.5] ; [19.5 32.5],0
b1,1,0.29391,1.101622,[18 20] ; [31 22],[20.46153846 17.53846154] ; [28.53846154 24.46153846],0
v1,1,0.302198,1.064469,[10 28] ; [18 31],[12.22988506 25.77011494] ; [15.77011494 33.22988506],0
s3,1,0.415977,0.661654,[12 26] ; [20 30],[13.81818182 24.18181818] ; [18.18181818 31.81818182],0
u3,1,0.44868,0.573983,[ 7 16] ; [2 9],[ 6.08823529 16.91176471] ; [2.91176471 8.08823529],0
n1,1,0.466763,0.52963,[ 7 13] ; [11 13],[ 8.18181818 11.81818182] ; [ 9.81818182 14.18181818],0
p8,1,0.476262,0.50741,[10 28] ; [17 34],[11.52808989 26.47191011] ; [15.47191011 35.52808989],0
s2,1,0.61422,0.254075,[11 27] ; [17 33],[12.09090909 25.90909091] ; [15.90909091 34.09090909],0
v4,1,0.617697,0.249118,[23 14] ; [29 22],[21.86363636 15.13636364] ; [30.13636364 20.86363636],0
s1,1,0.671884,0.179406,[ 3 35] ; [ 3 50],[ 2.50549451 35.49450549] ; [ 3.49450549 49.50549451],0
