Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,8.8e-05,15.388736,[82 16] ; [20 19],[72.96350365 25.03649635] ; [29.03649635  9.96350365],1
p4,1,0.000512,12.070153,[89  9] ; [26 13],[82.26277372 15.73722628] ; [32.73722628  6.26277372],1
p7,1,0.020148,5.398985,[91  7] ; [30  8],[87.19117647 10.80882353] ; [33.80882353  4.19117647],0
a3,1,0.030143,4.701102,[81 16] ; [26 13],[76.31617647 20.68382353] ; [30.68382353  8.31617647],0
s1,1,0.033966,4.496418,[ 2 96] ; [ 4 35],[ 4.2919708 93.7080292] ; [ 1.7080292 37.2919708],0
a5,1,0.037903,4.309356,[85 13] ; [28 11],[80.83211679 17.16788321] ; [32.16788321  6.83211679],0
p5,1,0.041623,4.150486,[32 66] ; [ 6 33],[27.18248175 70.81751825] ; [10.81751825 28.18248175],0
v2,1,0.046662,3.957543,[61 37] ; [16 21],[55.8962963 42.1037037] ; [21.1037037 15.8962963],0
p2,1,0.069517,3.294394,[89  9] ; [31  8],[85.83941606 12.16058394] ; [34.16058394  4.83941606],0
b5,1,0.069626,3.291814,[46 52] ; [25 14],[50.78832117 47.21167883] ; [20.21167883 18.78832117],0
p10,1,0.084357,2.978886,[95  3] ; [35  4],[92.99270073  5.00729927] ; [37.00729927  1.99270073],0
p9,1,0.084357,2.978886,[95  3] ; [35  4],[92.99270073  5.00729927] ; [37.00729927  1.99270073],0
n2,1,0.101594,2.680342,[18  2] ; [8 4],[16.25  3.75] ; [9.75 2.25],0
r3,1,0.114563,2.490121,[95  2] ; [36  3],[93.43382353  3.56617647] ; [37.56617647  1.43382353],0
v3,1,0.117091,2.455807,[45 52] ; [12 26],[40.95555556 56.04444444] ; [16.04444444 21.95555556],0
d5,1,0.162883,1.947252,[86 11] ; [31  8],[83.44852941 13.55147059] ; [33.55147059  5.44852941],0
d1,1,0.198489,1.653455,[69 29] ; [23 16],[65.81021898 32.18978102] ; [26.18978102 12.81021898],0
u3,1,0.201421,1.632044,[14  3] ; [8 5],[12.46666667  4.53333333] ; [9.53333333 3.46666667],0
a1,1,0.271889,1.207193,[11 87] ; [ 2 37],[ 9.29927007 88.70072993] ; [ 3.70072993 35.29927007],0
s4,1,0.274599,1.193627,[32 64] ; [ 9 29],[29.37313433 66.62686567] ; [11.62686567 26.37313433],0
d4,1,0.303704,1.05786,[86 11] ; [32  7],[84.16176471 12.83823529] ; [33.83823529  5.16176471],0
b2,1,0.388299,0.744263,[29 30] ; [11 17],[27.12643678 31.87356322] ; [12.87356322 15.12643678],0
b3,1,0.388299,0.744263,[29 30] ; [11 17],[27.12643678 31.87356322] ; [12.87356322 15.12643678],0
a8,1,0.429674,0.623705,[11 82] ; [ 6 29],[12.3515625 80.6484375] ; [ 4.6484375 30.3515625],0
p11,1,0.440226,0.595692,[81 17] ; [30  9],[79.40145985 18.59854015] ; [31.59854015  7.40145985],0
u1,1,0.461827,0.541464,[26 72] ; [ 8 31],[24.32116788 73.67883212] ; [ 9.67883212 29.32116788],0
a7,1,0.472952,0.515072,[69 29] ; [25 14],[67.24087591 30.75912409] ; [26.75912409 12.24087591],0
p12,1,0.500363,0.454166,[17 80] ; [ 5 34],[15.69117647 81.30882353] ; [ 6.30882353 32.69117647],0
s7,1,0.512339,0.429288,[71 21] ; [28 11],[69.52671756 22.47328244] ; [29.47328244  9.52671756],0
u2,1,0.547403,0.361991,[11  6] ; [7 6],[10.2  6.8] ; [7.8 5.2],0
n5,1,0.560777,0.338361,[82 16] ; [31  8],[80.83211679 17.16788321] ; [32.16788321  6.83211679],0
n1,1,0.580912,0.304762,[12  8] ; [6 6],[11.25  8.75] ; [6.75 5.25],0
n4,1,0.607237,0.264218,[82 16] ; [34  5],[82.97810219 15.02189781] ; [33.02189781  5.97810219],0
r2,1,0.669062,0.182701,[94  4] ; [38  1],[94.42335766  3.57664234] ; [37.57664234  1.42335766],0
a6,1,0.671134,0.180278,[61 36] ; [23 16],[59.91176471 37.08823529] ; [24.08823529 14.91176471],0
d3,1,0.690277,0.158785,[76 22] ; [29 10],[75.10948905 22.89051095] ; [29.89051095  9.10948905],0
b4,1,0.707797,0.140488,[62 36] ; [26 13],[62.94890511 35.05109489] ; [25.05109489 13.94890511],0
b1,1,0.716879,0.131503,[41 57] ; [15 24],[40.05839416 57.94160584] ; [15.94160584 23.05839416],0
r1,1,0.818682,0.052551,[82 16] ; [32  7],[81.54744526 16.45255474] ; [32.45255474  6.54744526],0
s3,1,0.820742,0.051343,[69 29] ; [26 12],[68.45588235 29.54411765] ; [26.54411765 11.45588235],0
p1,1,0.826014,0.048319,[19 78] ; [ 7 32],[18.54411765 78.45588235] ; [ 7.45588235 31.54411765],0
s2,1,0.833258,0.044321,[77 21] ; [30  9],[76.54014599 21.45985401] ; [30.45985401  8.54014599],0
n3,1,0.842356,0.039553,[12  8] ; [7 4],[12.25806452  7.74193548] ; [6.74193548 4.25806452],0
s8,1,0.879682,0.022914,[64 34] ; [26 13],[64.37956204 33.62043796] ; [25.62043796 13.37956204],0
n6,1,0.914488,0.01153,[89  8] ; [36  3],[89.15441176  7.84558824] ; [35.84558824  3.15441176],0
d2,1,0.936073,0.006433,[51 47] ; [20 19],[50.78832117 47.21167883] ; [20.21167883 18.78832117],0
a2,1,0.938489,0.005955,[27 71] ; [11 28],[27.18248175 70.81751825] ; [10.81751825 28.18248175],0
v1,1,0.939018,0.005853,[66 32] ; [26 13],[65.81021898 32.18978102] ; [26.18978102 12.81021898],0
s6,1,0.977916,0.000766,[86 10] ; [35  4],[86.04444444  9.95555556] ; [34.95555556  4.04444444],0
a4,1,0.98009,0.000623,[53 45] ; [21 18],[52.93430657 45.06569343] ; [21.06569343 17.93430657],0
