Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,7e-06,20.120537,[43  4] ; [26 26],[32.75757576 14.24242424] ; [36.24242424 15.75757576],1
r4,1,1.9e-05,18.282756,[38  9] ; [20 32],[27.53535354 19.46464646] ; [30.46464646 21.53535354],1
p2,1,3.5e-05,17.114074,[34 11] ; [17 34],[23.90625 21.09375] ; [27.09375 23.90625],1
p4,1,5e-05,16.449696,[21 24] ; [ 5 46],[12.1875 32.8125] ; [13.8125 37.1875],1
v4,1,0.000203,13.799638,[41  5] ; [28 23],[32.72164948 13.27835052] ; [36.27835052 14.72164948],1
v2,1,0.000212,13.720612,[24 20] ; [ 9 41],[15.44680851 28.55319149] ; [17.55319149 32.44680851],1
p9,1,0.000362,12.720235,[33 14] ; [17 33],[24.22680412 22.77319588] ; [25.77319588 24.22680412],1
p7,1,0.000598,11.782135,[25 20] ; [11 40],[16.875 28.125] ; [19.125 31.875],1
p10,1,0.00117,10.536941,[29 17] ; [15 35],[21.08333333 24.91666667] ; [22.91666667 27.08333333],0
p8,1,0.002635,9.04464,[19 27] ; [ 7 43],[12.45833333 33.54166667] ; [13.54166667 36.45833333],0
n2,1,0.006044,7.537076,[11  2] ; [ 9 15],[7.02702703 5.97297297] ; [12.97297297 11.02702703],0
s8,1,0.009068,6.809288,[ 8 39] ; [ 1 51],[ 4.27272727 42.72727273] ; [ 4.72727273 47.27272727],0
n3,1,0.02231,5.221445,[11  2] ; [10 12],[7.8 5.2] ; [13.2  8.8],0
s7,1,0.025011,5.023107,[10 32] ; [ 3 42],[ 6.27586207 35.72413793] ; [ 6.72413793 38.27586207],0
r2,1,0.035443,4.423718,[42  5] ; [37 14],[37.8877551  9.1122449] ; [41.1122449  9.8877551],0
r1,1,0.03698,4.351326,[34 13] ; [27 25],[28.95959596 18.04040404] ; [32.04040404 19.95959596],0
d2,1,0.03698,4.351326,[13 34] ; [25 27],[18.04040404 28.95959596] ; [19.95959596 32.04040404],0
s1,1,0.044776,4.027053,[ 1 44] ; [ 7 45],[ 3.71134021 41.28865979] ; [ 4.28865979 47.71134021],0
v1,1,0.053396,3.731489,[20 26] ; [13 39],[15.48979592 30.51020408] ; [17.51020408 34.48979592],0
u3,1,0.063601,3.440904,[10  5] ; [ 7 13],[7.28571429 7.71428571] ; [ 9.71428571 10.28571429],0
b5,1,0.077767,3.110966,[30 17] ; [24 28],[25.63636364 21.36363636] ; [28.36363636 23.63636364],0
p6,1,0.0927,2.826851,[10 34] ; [ 5 45],[ 7.0212766 36.9787234] ; [ 7.9787234 42.0212766],0
p3,1,0.098667,2.726957,[15 31] ; [ 9 41],[11.5 34.5] ; [12.5 37.5],0
a5,1,0.165657,1.921812,[30 17] ; [26 26],[26.58585859 20.41414141] ; [29.41414141 22.58585859],0
b3,1,0.17713,1.821541,[ 5 19] ; [11 18],[ 7.24528302 16.75471698] ; [ 8.75471698 20.24528302],0
b2,1,0.17713,1.821541,[ 5 19] ; [11 18],[ 7.24528302 16.75471698] ; [ 8.75471698 20.24528302],0
a2,1,0.195614,1.674824,[ 4 43] ; [ 9 43],[ 6.17171717 40.82828283] ; [ 6.82828283 45.17171717],0
n1,1,0.23437,1.414141,[6 5] ; [ 8 16],[4.4 6.6] ; [ 9.6 14.4],0
d5,1,0.254902,1.296236,[34 13] ; [32 20],[31.33333333 15.66666667] ; [34.66666667 17.33333333],0
v3,1,0.285882,1.138915,[14 32] ; [10 38],[11.74468085 34.25531915] ; [12.25531915 35.74468085],0
a4,1,0.313911,1.014149,[17 30] ; [24 28],[19.46464646 27.53535354] ; [21.53535354 30.46464646],0
s2,1,0.417501,0.657339,[10 36] ; [ 8 44],[ 8.44897959 37.55102041] ; [ 9.55102041 42.44897959],0
n4,1,0.471523,0.518405,[26 21] ; [25 27],[24.21212121 22.78787879] ; [26.78787879 25.21212121],0
u1,1,0.474178,0.512222,[ 2 45] ; [ 4 48],[ 2.84848485 44.15151515] ; [ 3.15151515 48.84848485],0
n5,1,0.483197,0.491639,[18 28] ; [24 28],[19.71428571 26.28571429] ; [22.28571429 29.71428571],0
b4,1,0.519621,0.414645,[25 22] ; [31 21],[26.58585859 20.41414141] ; [29.41414141 22.58585859],0
d3,1,0.521035,0.411844,[27 20] ; [26 25],[25.41836735 21.58163265] ; [27.58163265 23.41836735],0
s5,1,0.5379,0.379447,[ 3 43] ; [ 5 45],[ 3.83333333 42.16666667] ; [ 4.16666667 45.83333333],0
u2,1,0.556732,0.345395,[9 6] ; [10 10],[8.14285714 6.85714286] ; [10.85714286  9.14285714],0
a3,1,0.579011,0.307836,[32 15] ; [32 19],[30.69387755 16.30612245] ; [33.30612245 17.69387755],0
s4,1,0.617615,0.249234,[ 4 43] ; [ 6 46],[ 4.74747475 42.25252525] ; [ 5.25252525 46.74747475],0
d1,1,0.628541,0.234045,[15 32] ; [19 33],[16.14141414 30.85858586] ; [17.85858586 34.14141414],0
a7,1,0.666778,0.185394,[30 17] ; [31 21],[28.95959596 18.04040404] ; [32.04040404 19.95959596],0
a6,1,0.691271,0.157713,[28 19] ; [33 19],[28.95959596 18.04040404] ; [32.04040404 19.95959596],0
d4,1,0.706084,0.14222,[33 14] ; [34 17],[32.13265306 14.86734694] ; [34.86734694 16.13265306],0
a8,1,0.871367,0.026219,[ 3 41] ; [ 3 47],[ 2.80851064 41.19148936] ; [ 3.19148936 46.80851064],0
p1,1,0.874977,0.024756,[ 4 42] ; [ 5 47],[ 4.2244898 41.7755102] ; [ 4.7755102 47.2244898],0
s3,1,0.896276,0.016996,[15 31] ; [16 35],[14.70103093 31.29896907] ; [16.29896907 34.70103093],0
b1,1,0.964104,0.002025,[26 21] ; [29 23],[26.11111111 20.88888889] ; [28.88888889 23.11111111],0
