Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,1e-06,24.943894,[32 23] ; [14 68],[18.46715328 36.53284672] ; [27.53284672 54.46715328],1
s8,1,1e-06,23.482345,[23 32] ; [ 6 76],[11.64233577 43.35766423] ; [17.35766423 64.64233577],1
v4,1,0.000119,14.80837,[52  3] ; [54 27],[42.86764706 12.13235294] ; [63.13235294 17.86764706],1
s5,1,0.000147,14.406423,[19 35] ; [ 7 73],[10.47761194 43.52238806] ; [15.52238806 64.47761194],1
r4,1,0.000251,13.404775,[39 16] ; [32 50],[28.50364964 26.49635036] ; [42.49635036 39.50364964],1
s7,1,0.000607,11.753606,[24 29] ; [14 65],[15.25757576 37.74242424] ; [22.74242424 56.25757576],1
s3,1,0.00074,11.386724,[31 24] ; [22 58],[21.59259259 33.40740741] ; [31.40740741 48.59259259],1
p11,1,0.001965,9.581552,[42 13] ; [41 41],[33.32116788 21.67883212] ; [49.67883212 32.32116788],0
p2,1,0.003057,8.77313,[45 10] ; [46 34],[37.07407407 17.92592593] ; [53.92592593 26.07407407],0
s4,1,0.003372,8.594583,[19 36] ; [11 71],[12.04379562 42.95620438] ; [17.95620438 64.04379562],0
p10,1,0.004616,8.024182,[42 12] ; [43 37],[34.25373134 19.74626866] ; [50.74626866 29.25373134],0
u2,1,0.006904,7.297658,[17  9] ; [13 28],[11.64179104 14.35820896] ; [18.35820896 22.64179104],0
r3,1,0.00939,6.74712,[47  8] ; [53 28],[40.44117647 14.55882353] ; [59.55882353 21.44117647],0
p4,1,0.011853,6.332693,[30 25] ; [27 55],[22.88321168 32.11678832] ; [34.11678832 47.88321168],0
d4,1,0.017215,5.674327,[40 15] ; [43 39],[33.32116788 21.67883212] ; [49.67883212 32.32116788],0
p7,1,0.020712,5.350861,[30 23] ; [29 51],[23.5112782 29.4887218] ; [35.4887218 44.5112782],0
a5,1,0.028102,4.821782,[34 21] ; [35 47],[27.70072993 27.29927007] ; [41.29927007 40.70072993],0
p8,1,0.036235,4.385992,[26 29] ; [24 57],[20.22058824 34.77941176] ; [29.77941176 51.22058824],0
n2,1,0.064853,3.408718,[16  4] ; [14 12],[13.04347826  6.95652174] ; [16.95652174  9.04347826],0
v1,1,0.0653,3.397388,[17 37] ; [14 65],[12.58646617 41.41353383] ; [18.41353383 60.58646617],0
d3,1,0.079671,3.071603,[29 26] ; [30 50],[24.03703704 30.96296296] ; [34.96296296 45.03703704],0
