Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,280.187043,[581  64] ; [ 38 105],[506.66878173 138.33121827] ; [112.33121827  30.66878173],1
p11,1,0.0,47.942172,[536 112] ; [81 63],[504.81818182 143.18181818] ; [112.18181818  31.81818182],1
p2,1,0.0,39.877675,[553  92] ; [91 53],[526.46387833 118.53612167] ; [117.53612167  26.46387833],1
n5,1,0.0,37.174662,[485 157] ; [72 72],[454.95419847 187.04580153] ; [102.04580153  41.95419847],1
n6,1,0.0,27.253852,[548  95] ; [96 48],[526.16518424 116.83481576] ; [117.83481576  26.16518424],1
b1,1,1e-06,23.371274,[220 428] ; [80 64],[245.45454545 402.54545455] ; [54.54545455 89.45454545],1
s8,1,3e-06,21.687775,[292 354] ; [ 34 108],[267.25380711 378.74619289] ; [58.74619289 83.25380711],1
s6,1,5e-06,20.888744,[435 203] ; [68 74],[411.42820513 226.57179487] ; [91.57179487 50.42820513],1
s7,1,0.000108,14.994135,[303 322] ; [40 93],[282.81662269 342.18337731] ; [60.18337731 72.81662269],1
p8,1,0.000199,13.838992,[326 311] ; [49 95],[305.85787452 331.14212548] ; [69.14212548 74.85787452],1
a5,1,0.000252,13.394806,[485 163] ; [86 58],[467.18181818 180.81818182] ; [103.81818182  40.18181818],1
v1,1,0.000317,12.966855,[341 289] ; [54 90],[321.51162791 308.48837209] ; [73.48837209 70.51162791],1
s2,1,0.000391,12.572698,[334 309] ; [50 91],[314.93877551 328.06122449] ; [69.06122449 71.93877551],1
a3,1,0.000425,12.416771,[464 181] ; [82 62],[446.34980989 198.65019011] ; [99.65019011 44.34980989],1
r4,1,0.000634,11.672528,[599  49] ; [120  24],[588.27272727  59.72727273] ; [130.72727273  13.27272727],1
p7,1,0.000756,11.346785,[406 227] ; [70 73],[388.28350515 244.71649485] ; [87.71649485 55.28350515],1
n4,1,0.000763,11.329224,[492 154] ; [90 54],[475.91392405 170.08607595] ; [106.08607595  37.91392405],1
v4,1,0.001021,10.78843,[620  25] ; [127  15],[612.21728081  32.78271919] ; [134.78271919   7.21728081],0
p3,1,0.001176,10.527348,[311 336] ; [47 95],[293.56907478 353.43092522] ; [64.43092522 77.56907478],0
