Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.003027,8.791259,[49 16] ; [ 9 13],[43.33333333 21.66666667] ; [14.66666667  7.33333333],0
p10,1,0.005684,7.647962,[49 16] ; [ 9 12],[43.8372093 21.1627907] ; [14.1627907  6.8372093],0
n5,1,0.006315,7.45803,[45 20] ; [ 8 14],[39.59770115 25.40229885] ; [13.40229885  8.59770115],0
r2,1,0.012974,6.172679,[60  3] ; [17  5],[57.07058824  5.92941176] ; [19.92941176  2.07058824],0
v4,1,0.016912,5.705491,[60  5] ; [16  6],[56.7816092  8.2183908] ; [19.2183908  2.7816092],0
a7,1,0.03851,4.282348,[48 17] ; [11 11],[44.08045977 20.91954023] ; [14.91954023  7.08045977],0
r4,1,0.056433,3.639237,[54 11] ; [14  8],[50.8045977 14.1954023] ; [17.1954023  4.8045977],0
p9,1,0.058988,3.565623,[45 19] ; [10 11],[41.41176471 22.58823529] ; [13.58823529  7.41176471],0
s8,1,0.068959,3.307631,[29 36] ; [ 5 17],[25.40229885 39.59770115] ; [ 8.59770115 13.40229885],0
b5,1,0.069083,3.304685,[41 24] ; [ 9 13],[37.35632184 27.64367816] ; [12.64367816  9.35632184],0
a2,1,0.088169,2.907481,[13 52] ; [ 1 21],[10.45977011 54.54022989] ; [ 3.54022989 18.45977011],0
p11,1,0.113151,2.509649,[42 23] ; [10 12],[38.85057471 26.14942529] ; [13.14942529  8.85057471],0
p3,1,0.143945,2.13527,[27 38] ; [ 5 16],[24.18604651 40.81395349] ; [ 7.81395349 13.18604651],0
b4,1,0.146884,2.104319,[41 24] ; [10 12],[38.10344828 26.89655172] ; [12.89655172  9.10344828],0
p6,1,0.203851,1.614566,[19 46] ; [ 3 17],[16.82352941 48.17647059] ; [ 5.17647059 14.82352941],0
a3,1,0.22213,1.490559,[41 24] ; [17  5],[43.33333333 21.66666667] ; [14.66666667  7.33333333],0
d1,1,0.234458,1.413612,[39 26] ; [10 12],[36.6091954 28.3908046] ; [12.3908046  9.6091954],0
a4,1,0.239755,1.382036,[30 35] ; [ 7 15],[27.64367816 37.35632184] ; [ 9.35632184 12.64367816],0
a6,1,0.342206,0.902149,[40 25] ; [11 11],[38.10344828 26.89655172] ; [12.89655172  9.10344828],0
s3,1,0.355324,0.854353,[31 34] ; [13  9],[32.87356322 32.12643678] ; [11.12643678 10.87356322],0
d2,1,0.355324,0.854353,[34 31] ; [ 9 13],[32.12643678 32.87356322] ; [10.87356322 11.12643678],0
