Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,7.8e-05,15.601655,[15 14] ; [99 17],[22.8  6.2] ; [91.2 24.8],1
n5,1,0.000213,13.712027,[12 17] ; [89 27],[20.2  8.8] ; [80.8 35.2],1
r4,1,0.00463,8.018433,[20  9] ; [104  12],[24.8  4.2] ; [99.2 16.8],0
p11,1,0.010792,6.499324,[16 13] ; [91 25],[21.4  7.6] ; [85.6 30.4],0
a4,1,0.023444,5.135299,[ 7 22] ; [55 61],[12.4 16.6] ; [49.6 66.4],0
p10,1,0.025081,5.018295,[18 10] ; [95 19],[22.28169014  5.71830986] ; [90.71830986 23.28169014],0
u1,1,0.040355,4.202899,[ 2 27] ; [28 88],[ 6. 23.] ; [24. 92.],0
v1,1,0.042501,4.115126,[19  9] ; [52 60],[14.2 13.8] ; [56.8 55.2],0
r3,1,0.050327,3.830542,[24  4] ; [111   5],[26.25  1.75] ; [108.75   7.25],0
s4,1,0.055588,3.664347,[11 18] ; [24 91],[ 7.04861111 21.95138889] ; [27.95138889 87.04861111],0
v3,1,0.057798,3.599467,[ 7 19] ; [54 60],[11.32857143 14.67142857] ; [49.67142857 64.32857143],0
p8,1,0.062269,3.475887,[ 6 21] ; [47 66],[10.22142857 16.77857143] ; [42.77857143 70.22142857],0
d2,1,0.074945,3.171255,[ 9 19] ; [59 57],[13.22222222 14.77777778] ; [54.77777778 61.22222222],0
d3,1,0.09302,2.821317,[21  7] ; [67 49],[17.11111111 10.88888889] ; [70.88888889 45.11111111],0
p7,1,0.118749,2.433737,[10 16] ; [61 49],[13.57352941 12.42647059] ; [57.42647059 52.57352941],0
s8,1,0.160152,1.972789,[16 13] ; [80 36],[19.2  9.8] ; [76.8 39.2],0
a5,1,0.163455,1.941964,[18 11] ; [87 29],[21.  8.] ; [84. 32.],0
p2,1,0.178209,1.8125,[17 12] ; [83 33],[20.  9.] ; [80. 36.],0
a2,1,0.22956,1.443584,[ 4 25] ; [28 88],[ 6.4 22.6] ; [25.6 90.4],0
u3,1,0.231705,1.430363,[7 1] ; [15  8],[5.67741935 2.32258065] ; [16.32258065  6.67741935],0
s3,1,0.234478,1.413486,[24  5] ; [82 32],[21.4965035  7.5034965] ; [84.5034965 29.4965035],0
s6,1,0.263123,1.252252,[21  8] ; [94 21],[23.15972222  5.84027778] ; [91.84027778 23.15972222],0
p9,1,0.269873,1.217391,[21  7] ; [94 18],[23.  5.] ; [92. 20.],0
u2,1,0.273082,1.201198,[5 2] ; [11 12],[3.73333333 3.26666667] ; [12.26666667 10.73333333],0
a6,1,0.299534,1.076266,[20  8] ; [70 45],[17.62237762 10.37762238] ; [72.37762238 42.62237762],0
r1,1,0.30534,1.050725,[21  8] ; [94 22],[23.  6.] ; [92. 24.],0
a3,1,0.316342,1.004012,[21  8] ; [93 22],[22.95833333  6.04166667] ; [91.04166667 23.95833333],0
s2,1,0.326391,0.963164,[22  7] ; [77 39],[19.8  9.2] ; [79.2 36.8],0
r2,1,0.391723,0.733586,[26  2] ; [110   4],[26.81690141  1.18309859] ; [109.18309859   4.81690141],0
b1,1,0.399184,0.710784,[14 15] ; [46 70],[12. 17.] ; [48. 68.],0
d1,1,0.452995,0.563147,[14 15] ; [65 51],[15.8 13.2] ; [63.2 52.8],0
a7,1,0.480256,0.498282,[21  8] ; [76 40],[19.4  9.6] ; [77.6 38.4],0
v4,1,0.494853,0.465957,[25  3] ; [108   8],[25.86111111  2.13888889] ; [107.13888889   8.86111111],0
d4,1,0.500103,0.454718,[24  4] ; [93 23],[22.75  5.25] ; [94.25 21.75],0
s1,1,0.514148,0.425616,[ 1 27] ; [  8 108],[ 1.75 26.25] ; [  7.25 108.75],0
p5,1,0.514148,0.425616,[ 1 27] ; [  8 108],[ 1.75 26.25] ; [  7.25 108.75],0
b2,1,0.52793,0.398374,[8 8] ; [34 48],[6.85714286 9.14285714] ; [35.14285714 46.85714286],0
b3,1,0.52793,0.398374,[8 8] ; [34 48],[6.85714286 9.14285714] ; [35.14285714 46.85714286],0
n1,1,0.53575,0.383473,[6 5] ; [14 18],[5.11627907 5.88372093] ; [14.88372093 17.11627907],0
p12,1,0.57327,0.317241,[ 1 28] ; [  7 107],[ 1.62237762 27.37762238] ; [  6.37762238 107.62237762],0
d5,1,0.618442,0.248063,[21  7] ; [92 24],[21.97222222  6.02777778] ; [91.02777778 24.97222222],0
n3,1,0.65136,0.20419,[7 4] ; [22  9],[7.5952381 3.4047619] ; [21.4047619  9.5952381],0
b5,1,0.735292,0.114308,[18 11] ; [68 48],[17.2 11.8] ; [68.8 47.2],0
b4,1,0.738738,0.111239,[15 14] ; [64 52],[15.8 13.2] ; [63.2 52.8],0
p1,1,0.771291,0.084499,[ 3 26] ; [ 10 106],[ 2.6 26.4] ; [ 10.4 105.6],0
v2,1,0.881134,0.02236,[15 11] ; [67 46],[15.3381295 10.6618705] ; [66.6618705 46.3381295],0
p6,1,0.922975,0.009348,[ 7 21] ; [29 83],[ 7.2 20.8] ; [28.8 83.2],0
s5,1,0.96916,0.001495,[10 16] ; [43 70],[ 9.91366906 16.08633094] ; [43.08633094 69.91366906],0
a8,1,0.979414,0.000666,[ 5 23] ; [18 84],[ 4.95384615 23.04615385] ; [18.04615385 83.95384615],0
p3,1,1.0,0.0,[ 8 21] ; [32 84],[ 8. 21.] ; [32. 84.],0
