Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b2,1,3e-05,17.390007,[12  1] ; [ 56 109],[4.96629213 8.03370787] ; [ 63.03370787 101.96629213],1
b3,1,3e-05,17.390007,[12  1] ; [ 56 109],[4.96629213 8.03370787] ; [ 63.03370787 101.96629213],1
v3,1,0.00213,9.433685,[8 1] ; [101 165],[3.56727273 5.43272727] ; [105.43272727 160.56727273],0
p12,1,0.002287,9.303255,[4 9] ; [ 19 250],[ 1.06028369 11.93971631] ; [ 21.93971631 247.06028369],0
s8,1,0.002634,9.045436,[12  1] ; [134 136],[6.70671378 6.29328622] ; [139.29328622 130.70671378],0
a2,1,0.002848,8.902198,[8 5] ; [ 66 205],[3.38732394 9.61267606] ; [ 70.61267606 200.38732394],0
p5,1,0.008185,6.992489,[5 7] ; [ 37 231],[ 1.8 10.2] ; [ 40.2 227.8],0
d1,1,0.011219,6.430365,[12  1] ; [154 117],[7.59859155 5.40140845] ; [158.40140845 112.59859155],0
s3,1,0.019165,5.486354,[12  1] ; [160 107],[7.98571429 5.01428571] ; [164.01428571 102.98571429],0
d2,1,0.024357,5.069059,[11  2] ; [143 128],[7.04929577 5.95070423] ; [146.95070423 124.04929577],0
v1,1,0.026677,4.911584,[9 1] ; [144 120],[5.58394161 4.41605839] ; [147.41605839 116.58394161],0
s7,1,0.030675,4.671057,[11  2] ; [139 118],[7.22222222 5.77777778] ; [142.77777778 114.22222222],0
s2,1,0.033489,4.520612,[11  2] ; [147 122],[7.28368794 5.71631206] ; [150.71631206 118.28368794],0
a1,1,0.042715,4.106649,[ 3 10] ; [ 20 251],[ 1.0528169 11.9471831] ; [ 21.9471831 249.0528169],0
u1,1,0.048647,3.887509,[5 8] ; [ 46 225],[ 2.33450704 10.66549296] ; [ 48.66549296 222.33450704],0
a4,1,0.049818,3.847588,[10  3] ; [133 138],[6.54577465 6.45422535] ; [136.45422535 134.54577465],0
s6,1,0.052345,3.764698,[12  1] ; [175  88],[8.80797101 4.19202899] ; [178.19202899  84.80797101],0
v2,1,0.087212,2.925095,[8 2] ; [136 123],[5.35315985 4.64684015] ; [138.64684015 120.35315985],0
d3,1,0.121324,2.400146,[11  2] ; [171  98],[8.39007092 4.60992908] ; [173.60992908  95.39007092],0
a8,1,0.126,2.341108,[3 7] ; [ 33 220],[1.36882129 8.63117871] ; [ 34.63117871 218.36882129],0
p4,1,0.137624,2.204327,[11  2] ; [175  96],[8.51408451 4.48591549] ; [177.48591549  93.51408451],0
p3,1,0.175505,1.835284,[10  3] ; [156 113],[7.65248227 5.34751773] ; [158.34751773 110.65248227],0
a5,1,0.197979,1.657221,[12  1] ; [209  62],[10.11619718  2.88380282] ; [210.88380282  60.11619718],0
p8,1,0.338862,0.91473,[9 4] ; [150 119],[7.32978723 5.67021277] ; [151.67021277 117.32978723],0
a6,1,0.343816,0.896151,[10  3] ; [173  97],[8.40636042 4.59363958] ; [174.59363958  95.40636042],0
p6,1,0.36659,0.81519,[7 6] ; [110 157],[5.43214286 7.56785714] ; [111.56785714 155.43214286],0
s1,1,0.40788,0.68497,[ 1 12] ; [  9 260],[ 0.46099291 12.53900709] ; [  9.53900709 259.46099291],0
s4,1,0.420965,0.647619,[ 1 12] ; [ 43 226],[ 2.02836879 10.97163121] ; [ 41.97163121 227.02836879],0
b5,1,0.55297,0.352023,[8 5] ; [144 127],[6.95774648 6.04225352] ; [145.04225352 125.95774648],0
d5,1,0.635956,0.22407,[11  2] ; [213  56],[10.32624113  2.67375887] ; [213.67375887  55.32624113],0
r1,1,0.640288,0.218366,[11  2] ; [214  56],[10.33568905  2.66431095] ; [214.66431095  55.33568905],0
n4,1,0.665875,0.186465,[11  2] ; [216  55],[10.39084507  2.60915493] ; [216.60915493  54.39084507],0
b4,1,0.811638,0.056793,[7 6] ; [155 116],[7.41549296 5.58450704] ; [154.58450704 116.41549296],0
p1,1,0.87892,0.023207,[ 1 12] ; [ 24 245],[ 1.15248227 11.84751773] ; [ 23.84751773 245.15248227],0
a7,1,0.883878,0.021332,[9 4] ; [181  88],[8.75886525 4.24113475] ; [181.24113475  87.75886525],0
p7,1,0.917904,0.010624,[9 4] ; [187  78],[9.16546763 3.83453237] ; [186.83453237  78.16546763],0
p2,1,0.921667,0.00967,[11  2] ; [224  44],[10.87188612  2.12811388] ; [224.12811388  43.87188612],0
s5,1,0.985065,0.00035,[4 7] ; [ 96 166],[4.02930403 6.97069597] ; [ 95.97069597 166.02930403],0
