Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.0,154.68688,[ 21 148] ; [232  93],[86.55263158 82.44736842] ; [166.44736842 158.55263158],1
d5,1,0.0,113.971787,[105  65] ; [318   8],[144.97983871  25.02016129] ; [278.02016129  47.97983871],1
d3,1,0.0,88.789815,[83 87] ; [286  40],[126.47177419  43.52822581] ; [242.52822581  83.47177419],1
a2,1,0.0,57.740792,[  6 164] ; [111 215],[ 40.10080645 129.89919355] ; [ 76.89919355 249.10080645],1
a4,1,0.0,42.043827,[ 43 127] ; [181 143],[77.08502024 92.91497976] ; [146.91497976 177.08502024],1
u1,1,0.0,30.208511,[  7 163] ; [ 77 249],[ 28.79032258 141.20967742] ; [ 55.20967742 270.79032258],1
a5,1,6e-06,20.461566,[106  64] ; [264  62],[126.81451613  43.18548387] ; [243.18548387  82.81451613],1
a6,1,3.2e-05,17.324454,[98 72] ; [247  79],[118.24596774  51.75403226] ; [226.75403226  99.24596774],1
s8,1,8.4e-05,15.464559,[ 41 129] ; [136 188],[ 60.91093117 109.08906883] ; [116.08906883 207.91093117],1
a3,1,0.000233,13.542627,[106  63] ; [255  71],[123.25050505  45.74949495] ; [237.74949495  88.25050505],1
v2,1,0.000339,12.839498,[71 91] ; [190 121],[89.39112051 72.60887949] ; [171.60887949 139.39112051],1
r2,1,0.000381,12.623265,[144  24] ; [304  16],[154.2295082  13.7704918] ; [293.7704918  26.2295082],1
r1,1,0.000624,11.702131,[121  49] ; [272  51],[135.51724138  34.48275862] ; [257.48275862  65.51724138],1
a7,1,0.000995,10.837409,[109  61] ; [254  72],[124.41532258  45.58467742] ; [238.58467742  87.41532258],1
p4,1,0.005457,7.721305,[ 63 104] ; [165 159],[77.54786151 89.45213849] ; [150.45213849 173.54786151],0
n6,1,0.013999,6.03824,[123  45] ; [267  56],[133.44195519  34.55804481] ; [256.55804481  66.44195519],0
n4,1,0.020516,5.367408,[109  60] ; [242  83],[120.07894737  48.92105263] ; [230.92105263  94.07894737],0
r4,1,0.024515,5.057852,[135  35] ; [284  42],[143.60887097  26.39112903] ; [275.39112903  50.60887097],0
n2,1,0.026168,4.944874,[33  7] ; [56 33],[27.59689922 12.40310078] ; [61.40310078 27.59689922],0
v3,1,0.029545,4.735577,[ 52 114] ; [127 179],[ 62.95338983 103.04661017] ; [116.04661017 189.95338983],0
s7,1,0.030508,4.680412,[ 56 107] ; [138 171],[66.99576271 96.00423729] ; [127.00423729 181.99576271],0
p10,1,0.045265,4.008756,[119  49] ; [255  68],[127.96741344  40.03258656] ; [246.03258656  76.96741344],0
p11,1,0.048414,3.895563,[117  53] ; [251  75],[126.12903226  43.87096774] ; [241.87096774  84.12903226],0
n5,1,0.052537,3.758598,[104  63] ; [229  94],[113.49183673  53.50816327] ; [219.50816327 103.49183673],0
