Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r1,1,0.025347,5.0,[8 1] ; [2 4],[6. 3.] ; [4. 2.],0
n3,1,0.065087,3.402778,[1 5] ; [3 1],[2.4 3.6] ; [1.6 2.4],0
b3,1,0.220671,1.5,[1 5] ; [3 3],[2. 4.] ; [2. 4.],0
b2,1,0.220671,1.5,[1 5] ; [3 3],[2. 4.] ; [2. 4.],0
p7,1,0.252244,1.310833,[1 7] ; [2 3],[1.84615385 6.15384615] ; [1.15384615 3.84615385],0
v1,1,0.263552,1.25,[4 5] ; [1 5],[3. 6.] ; [2. 4.],0
b4,1,0.263552,1.25,[7 2] ; [3 3],[6. 3.] ; [4. 2.],0
b5,1,0.263552,1.25,[5 4] ; [5 1],[6. 3.] ; [4. 2.],0
a6,1,0.263552,1.25,[7 2] ; [3 3],[6. 3.] ; [4. 2.],0
a7,1,0.263552,1.25,[5 4] ; [5 1],[6. 3.] ; [4. 2.],0
p10,1,0.291841,1.111111,[8 1] ; [4 2],[7.2 1.8] ; [4.8 1.2],0
b1,1,0.398025,0.714286,[5 4] ; [2 4],[4.2 4.8] ; [2.8 3.2],0
p11,1,0.398025,0.714286,[4 5] ; [4 2],[4.8 4.2] ; [3.2 2.8],0
s6,1,0.518605,0.416667,[6 3] ; [3 3],[5.4 3.6] ; [3.6 2.4],0
n1,1,0.55368,0.350765,[4 3] ; [3 1],[4.45454545 2.54545455] ; [2.54545455 1.45454545],0
d4,1,0.633553,0.227273,[7 2] ; [4 2],[6.6 2.4] ; [4.4 1.6],0
p4,1,0.666955,0.185185,[5 4] ; [4 2],[5.4 3.6] ; [3.6 2.4],0
d2,1,0.666955,0.185185,[5 4] ; [4 2],[5.4 3.6] ; [3.6 2.4],0
p3,1,0.666955,0.185185,[4 5] ; [2 4],[3.6 5.4] ; [2.4 3.6],0
v2,1,0.732678,0.116667,[2 6] ; [2 4],[2.28571429 5.71428571] ; [1.71428571 4.28571429],0
p9,1,0.756495,0.096154,[8 1] ; [5 1],[7.8 1.2] ; [5.2 0.8],0
p1,1,0.756495,0.096154,[1 8] ; [1 5],[1.2 7.8] ; [0.8 5.2],0
n5,1,0.756495,0.096154,[8 1] ; [5 1],[7.8 1.2] ; [5.2 0.8],0
u1,1,0.756495,0.096154,[1 8] ; [1 5],[1.2 7.8] ; [0.8 5.2],0
n4,1,0.792147,0.069444,[7 2] ; [5 1],[7.2 1.8] ; [4.8 1.2],0
n6,1,0.792147,0.069444,[7 2] ; [5 1],[7.2 1.8] ; [4.8 1.2],0
a2,1,0.792147,0.069444,[2 7] ; [1 5],[1.8 7.2] ; [1.2 4.8],0
s5,1,0.803017,0.062222,[3 6] ; [2 3],[3.21428571 5.78571429] ; [1.78571429 3.21428571],0
r4,1,0.832662,0.044643,[5 4] ; [3 3],[4.8 4.2] ; [3.2 2.8],0
d1,1,0.832662,0.044643,[4 5] ; [3 3],[4.2 4.8] ; [2.8 3.2],0
p8,1,0.832662,0.044643,[5 4] ; [3 3],[4.8 4.2] ; [3.2 2.8],0
v3,1,0.872081,0.025926,[3 5] ; [2 4],[2.85714286 5.14285714] ; [2.14285714 3.85714286],0
a4,1,1.0,0.0,[3 6] ; [2 4],[3. 6.] ; [2. 4.],0
a5,1,1.0,0.0,[6 3] ; [4 2],[6. 3.] ; [4. 2.],0
a3,1,1.0,0.0,[6 3] ; [4 2],[6. 3.] ; [4. 2.],0
d5,1,1.0,0.0,[6 3] ; [4 2],[6. 3.] ; [4. 2.],0
d3,1,1.0,0.0,[6 3] ; [4 2],[6. 3.] ; [4. 2.],0
