Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,131.899113,[  3 112] ; [220 121],[56.23903509 58.76096491] ; [166.76096491 174.23903509],1
d5,1,0.0,109.413282,[45 70] ; [299  42],[86.75438596 28.24561404] ; [257.24561404  83.75438596],1
d3,1,0.0,85.345304,[31 83] ; [257  84],[72.15824176 41.84175824] ; [215.84175824 125.15824176],1
a5,1,1e-06,25.203102,[53 62] ; [245  96],[75.15350877 39.84649123] ; [222.84649123 118.15350877],1
a3,1,1e-06,23.719256,[51 62] ; [239 100],[72.5 40.5] ; [217.5 121.5],1
d2,1,4e-06,21.360879,[27 88] ; [163 176],[48.1277533 66.8722467] ; [141.8722467 197.1277533],1
r1,1,2.1e-05,18.127568,[64 49] ; [263  77],[81.56953642 31.43046358] ; [245.43046358  94.56953642],1
a4,1,8.1e-05,15.542404,[27 86] ; [152 187],[44.75 68.25] ; [134.25 204.75],1
u1,1,0.000202,13.810967,[  2 113] ; [ 49 292],[ 12.86184211 102.13815789] ; [ 38.13815789 302.86184211],1
r3,1,0.000252,13.393845,[90 23] ; [314  27],[100.55506608  12.44493392] ; [303.44493392  37.55506608],1
r4,1,0.000466,12.246383,[80 35] ; [288  53],[92.80701754 22.19298246] ; [275.19298246  65.80701754],1
a7,1,0.000659,11.60179,[63 51] ; [247  94],[77.67032967 36.32967033] ; [232.32967033 108.67032967],1
v2,1,0.000968,10.88783,[37 69] ; [178 156],[51.79545455 54.20454545] ; [163.20454545 170.79545455],1
a2,1,0.00225,9.333747,[ 10 105] ; [ 73 268],[20.93201754 94.06798246] ; [ 62.06798246 278.93201754],0
a6,1,0.00269,9.006933,[63 52] ; [239 102],[76.1622807 38.8377193] ; [225.8377193 115.1622807],0
r2,1,0.006543,7.394392,[94 20] ; [305  28],[101.75838926  12.24161074] ; [297.24161074  35.75838926],0
p10,1,0.015595,5.847934,[66 46] ; [240  97],[76.32962138 35.67037862] ; [229.67037862 107.32962138],0
n6,1,0.023001,5.168456,[78 36] ; [269  72],[86.94065934 27.05934066] ; [260.05934066  80.94065934],0
b4,1,0.024204,5.079921,[56 59] ; [207 134],[66.32675439 48.67324561] ; [196.67324561 144.32675439],0
s5,1,0.032033,4.596753,[ 10 104] ; [ 57 277],[17.04910714 96.95089286] ; [ 49.95089286 284.04910714],0
p9,1,0.048717,3.885095,[74 38] ; [254  82],[82. 30.] ; [246.  90.],0
p1,1,0.055908,3.654788,[ 12 103] ; [ 18 321],[  7.59911894 107.40088106] ; [ 22.40088106 316.59911894],0
s1,1,0.063263,3.449705,[  5 107] ; [  5 333],[  2.48888889 109.51111111] ; [  7.51111111 330.48888889],0
v4,1,0.116668,2.461485,[96 17] ; [307  33],[100.52759382  12.47240618] ; [302.47240618  37.52759382],0
p11,1,0.117468,2.450764,[77 38] ; [254  87],[83.47587719 31.52412281] ; [247.52412281  93.47587719],0
s6,1,0.12054,2.410291,[40 75] ; [145 192],[47.06858407 67.93141593] ; [137.93141593 199.06858407],0
n5,1,0.126678,2.332744,[82 32] ; [216 121],[75.32594235 38.67405765] ; [222.67405765 114.32594235],0
s7,1,0.182135,1.780115,[20 88] ; [ 81 246],[25.07586207 82.92413793] ; [ 75.92413793 251.07586207],0
v3,1,0.182485,1.777268,[29 83] ; [108 223],[34.63656885 77.36343115] ; [102.36343115 228.63656885],0
p6,1,0.228926,1.447521,[24 89] ; [ 90 244],[28.81879195 84.18120805] ; [ 85.18120805 248.81879195],0
