Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1e-06,24.187194,[62  6] ; [1 5],[57.89189189 10.10810811] ; [5.10810811 0.89189189],1
v4,1,1.1e-05,19.380051,[66  2] ; [3 3],[63.40540541  4.59459459] ; [5.59459459 0.40540541],1
s1,1,0.006819,7.320091,[ 3 65] ; [2 4],[ 4.59459459 63.40540541] ; [0.40540541 5.59459459],0
a7,1,0.00743,7.166066,[48 20] ; [1 5],[45.02702703 22.97297297] ; [3.97297297 2.02702703],0
s3,1,0.032302,4.582372,[50 17] ; [2 4],[47.7260274 19.2739726] ; [4.2739726 1.7260274],0
n3,1,0.045021,4.017857,[11  3] ; [1 3],[9.33333333 4.66666667] ; [2.66666667 1.33333333],0
r3,1,0.063825,3.435086,[62  6] ; [4 2],[60.64864865  7.35135135] ; [5.35135135 0.64864865],0
p7,1,0.0659,3.382306,[47 20] ; [2 4],[44.97260274 22.02739726] ; [4.02739726 1.97260274],0
p3,1,0.102039,2.673389,[35 33] ; [1 5],[33.08108108 34.91891892] ; [2.91891892 3.08108108],0
p11,1,0.126218,2.33841,[53 15] ; [3 3],[51.45945946 16.54054054] ; [4.54054054 1.45945946],0
n2,1,0.129714,2.295918,[12  2] ; [2 2],[10.88888889  3.11111111] ; [3.11111111 0.88888889],0
s6,1,0.154787,2.02443,[52 16] ; [3 3],[50.54054054 17.45945946] ; [4.45945946 1.54054054],0
p2,1,0.184648,1.759811,[59  9] ; [4 2],[57.89189189 10.10810811] ; [5.10810811 0.89189189],0
a6,1,0.199454,1.646367,[41 27] ; [2 4],[39.51351351 28.48648649] ; [3.48648649 2.51351351],0
b1,1,0.226991,1.459617,[28 40] ; [4 2],[29.40540541 38.59459459] ; [2.59459459 3.40540541],0
p4,1,0.226991,1.459617,[40 28] ; [2 4],[38.59459459 29.40540541] ; [3.40540541 2.59459459],0
n1,1,0.256839,1.285714,[8 6] ; [1 3],[7. 7.] ; [2. 2.],0
v3,1,0.281855,1.158124,[26 41] ; [1 5],[24.78082192 42.21917808] ; [2.21917808 3.78082192],0
b4,1,0.321525,0.982734,[37 31] ; [2 4],[35.83783784 32.16216216] ; [3.16216216 2.83783784],0
v1,1,0.337984,0.918064,[36 31] ; [2 4],[34.87671233 32.12328767] ; [3.12328767 2.87671233],0
a3,1,0.355088,0.85519,[44 24] ; [5 1],[45.02702703 22.97297297] ; [3.97297297 2.02702703],0
p8,1,0.426235,0.63306,[45 23] ; [3 3],[44.10810811 23.89189189] ; [3.89189189 2.10810811],0
s2,1,0.426235,0.63306,[45 23] ; [3 3],[44.10810811 23.89189189] ; [3.89189189 2.10810811],0
p1,1,0.467246,0.528482,[14 54] ; [2 4],[14.7027027 53.2972973] ; [1.2972973 4.7027027],0
d3,1,0.517825,0.418224,[32 36] ; [2 4],[31.24324324 36.75675676] ; [2.75675676 3.24324324],0
s4,1,0.52913,0.396062,[15 53] ; [2 4],[15.62162162 52.37837838] ; [1.37837838 4.62162162],0
n4,1,0.591574,0.287893,[52 16] ; [4 2],[51.45945946 16.54054054] ; [4.54054054 1.45945946],0
r1,1,0.591574,0.287893,[52 16] ; [4 2],[51.45945946 16.54054054] ; [4.54054054 1.45945946],0
d4,1,0.609254,0.261263,[38 30] ; [4 2],[38.59459459 29.40540541] ; [3.40540541 2.59459459],0
n6,1,0.671129,0.180285,[59  9] ; [4 1],[58.68493151  9.31506849] ; [4.31506849 0.68493151],0
b5,1,0.727462,0.121455,[39 29] ; [3 3],[38.59459459 29.40540541] ; [3.40540541 2.59459459],0
s8,1,0.812399,0.056327,[42 26] ; [4 2],[42.27027027 25.72972973] ; [3.72972973 2.27027027],0
p10,1,0.883178,0.021592,[55 13] ; [5 1],[55.13513514 12.86486486] ; [4.86486486 1.13513514],0
p9,1,0.897023,0.01675,[58 10] ; [5 1],[57.89189189 10.10810811] ; [5.10810811 0.89189189],0
b2,1,0.898137,0.016388,[21 24] ; [2 2],[21.12244898 23.87755102] ; [1.87755102 2.12244898],0
b3,1,0.898137,0.016388,[21 24] ; [2 2],[21.12244898 23.87755102] ; [1.87755102 2.12244898],0
n5,1,0.951763,0.003659,[56 12] ; [5 1],[56.05405405 11.94594595] ; [4.94594595 1.05405405],0
a5,1,0.980585,0.000592,[45 23] ; [4 2],[45.02702703 22.97297297] ; [3.97297297 2.02702703],0
