Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.00056,11.90439,[ 11 100] ; [24 58],[20.12953368 90.87046632] ; [14.87046632 67.12953368],1
r1,1,0.00116,10.552797,[74 38] ; [71 11],[83.71134021 28.28865979] ; [61.28865979 20.71134021],0
a3,1,0.003133,8.728137,[58 54] ; [59 22],[67.89637306 44.10362694] ; [49.10362694 31.89637306],0
n1,1,0.003923,8.319095,[ 7 19] ; [11  4],[11.41463415 14.58536585] ; [6.58536585 8.41463415],0
b3,1,0.003972,8.296738,[11 50] ; [23 31],[18.03478261 42.96521739] ; [15.96521739 38.03478261],0
b2,1,0.003972,8.296738,[11 50] ; [23 31],[18.03478261 42.96521739] ; [15.96521739 38.03478261],0
s5,1,0.00734,7.187722,[29 82] ; [35 43],[37.58730159 73.41269841] ; [26.41269841 51.58730159],0
n4,1,0.008707,6.88188,[76 36] ; [70 13],[83.85641026 28.14358974] ; [62.14358974 20.85641026],0
r4,1,0.009744,6.681099,[91 21] ; [78  5],[97.06666667 14.93333333] ; [71.93333333 11.06666667],0
n5,1,0.009946,6.644551,[74 37] ; [69 14],[81.81958763 29.18041237] ; [61.18041237 21.81958763],0
a5,1,0.011025,6.461286,[67 45] ; [64 19],[75.24102564 36.75897436] ; [55.75897436 27.24102564],0
d5,1,0.015628,5.844203,[79 33] ; [70 12],[86.02061856 25.97938144] ; [62.97938144 19.02061856],0
s8,1,0.028122,4.820559,[43 69] ; [45 38],[50.54358974 61.45641026] ; [37.45641026 45.54358974],0
p9,1,0.030121,4.702399,[89 22] ; [75  7],[94.32124352 16.67875648] ; [69.67875648 12.32124352],0
s6,1,0.030667,4.671527,[70 39] ; [63 17],[76.7037037 32.2962963] ; [56.2962963 23.7037037],0
b1,1,0.037308,4.336291,[40 72] ; [42 41],[47.0974359 64.9025641] ; [34.9025641 48.0974359],0
n2,1,0.040424,4.2,[15 12] ; [13  2],[18.  9.] ; [10.  5.],0
d4,1,0.042353,4.121026,[82 30] ; [70 12],[87.75257732 24.24742268] ; [64.24742268 17.75257732],0
p4,1,0.046888,3.949401,[70 42] ; [63 20],[76.38974359 35.61025641] ; [56.61025641 26.38974359],0
p10,1,0.062669,3.465307,[87 23] ; [74  9],[91.76165803 18.23834197] ; [69.23834197 13.76165803],0
d1,1,0.087201,2.925294,[55 57] ; [51 32],[60.88205128 51.11794872] ; [45.11794872 37.88205128],0
a2,1,0.089447,2.884305,[13 99] ; [17 66],[17.23076923 94.76923077] ; [12.76923077 70.23076923],0
r2,1,0.090408,2.867098,[99 11] ; [80  3],[102.02072539   7.97927461] ; [76.97927461  6.02072539],0
a7,1,0.09384,2.807238,[74 38] ; [64 19],[79.26153846 32.73846154] ; [58.73846154 24.26153846],0
u1,1,0.096015,2.770526,[  9 103] ; [13 70],[12.63589744 99.36410256] ; [ 9.36410256 73.63589744],0
u3,1,0.112237,2.522439,[25 28] ; [16  8],[28.22077922 24.77922078] ; [12.77922078 11.22077922],0
a4,1,0.122749,2.381896,[37 75] ; [36 46],[42.1443299 69.8556701] ; [30.8556701 51.1443299],0
s1,1,0.13959,2.182473,[  8 103] ; [ 2 80],[  5.75129534 105.24870466] ; [ 4.24870466 77.75129534],0
p5,1,0.195698,1.674194,[15 96] ; [17 66],[18.30927835 92.69072165] ; [13.69072165 69.30927835],0
a1,1,0.244195,1.356212,[  3 109] ; [ 5 78],[  4.59487179 107.40512821] ; [ 3.40512821 79.59487179],0
p6,1,0.319757,0.98994,[52 60] ; [44 38],[55.42268041 56.57731959] ; [40.57731959 41.42268041],0
d2,1,0.363465,0.825886,[44 68] ; [38 45],[47.0974359 64.9025641] ; [34.9025641 48.0974359],0
s7,1,0.366605,0.81514,[50 59] ; [41 37],[53.04278075 55.95721925] ; [37.95721925 40.04278075],0
a8,1,0.39321,0.728993,[12 93] ; [12 64],[13.92265193 91.07734807] ; [10.07734807 65.92265193],0
v4,1,0.40149,0.70386,[104   7] ; [80  3],[105.27835052   5.72164948] ; [78.72164948  4.27835052],0
d3,1,0.412614,0.671256,[72 40] ; [58 25],[74.66666667 37.33333333] ; [55.33333333 27.66666667],0
p12,1,0.416903,0.659029,[  5 106] ; [ 6 77],[  6.29381443 104.70618557] ; [ 4.70618557 78.29381443],0
p7,1,0.43504,0.60933,[84 25] ; [67 15],[86.17277487 22.82722513] ; [64.82722513 17.17277487],0
s2,1,0.456941,0.553377,[52 60] ; [42 39],[54.5492228 57.4507772] ; [39.4507772 41.5492228],0
s3,1,0.472456,0.516226,[58 53] ; [46 34],[60.43979058 50.56020942] ; [43.56020942 36.43979058],0
a6,1,0.515428,0.423031,[65 47] ; [52 31],[67.2 44.8] ; [49.8 33.2],0
p2,1,0.51589,0.422101,[102   9] ; [74  9],[100.70103093  10.29896907] ; [75.29896907  7.70103093],0
b4,1,0.560108,0.339517,[56 56] ; [45 38],[58.01025641 53.98974359] ; [42.98974359 40.01025641],0
p3,1,0.600289,0.27456,[60 51] ; [48 35],[61.79381443 49.20618557] ; [46.20618557 36.79381443],0
n6,1,0.685912,0.163547,[94 17] ; [72 11],[94.97938144 16.02061856] ; [71.02061856 11.97938144],0
p1,1,0.689209,0.159944,[14 96] ; [ 9 74],[13.10880829 96.89119171] ; [ 9.89119171 73.10880829],0
r3,1,0.820551,0.051455,[102   9] ; [77  6],[102.41752577   8.58247423] ; [76.58247423  6.41752577],0
u2,1,0.850123,0.035706,[28 26] ; [13 11],[28.38461538 25.61538462] ; [12.61538462 11.38461538],0
p11,1,0.884842,0.020977,[90 22] ; [66 17],[89.6 22.4] ; [66.4 16.6],0
b5,1,0.888525,0.019648,[65 47] ; [49 34],[65.47692308 46.52307692] ; [48.52307692 34.47692308],0
n3,1,0.896219,0.017014,[16 11] ; [8 6],[15.80487805 11.19512195] ; [8.19512195 5.80487805],0
s4,1,0.903643,0.014656,[26 84] ; [20 62],[26.35416667 83.64583333] ; [19.64583333 62.35416667],0
