Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,40.527393,[91 14] ; [23 36],[72.98780488 32.01219512] ; [41.01219512 17.98780488],1
r2,1,4e-06,21.327643,[98  6] ; [38 19],[87.85093168 16.14906832] ; [48.14906832  8.85093168],1
v4,1,1.4e-05,18.862813,[93 12] ; [35 24],[81.95121951 23.04878049] ; [46.04878049 12.95121951],1
r3,1,7.8e-05,15.60287,[92 13] ; [36 23],[81.95121951 23.04878049] ; [46.04878049 12.95121951],1
s6,1,0.000283,13.180134,[57 47] ; [15 44],[45.93865031 58.06134969] ; [26.06134969 32.93865031],1
s7,1,0.001261,10.39884,[43 56] ; [10 46],[33.8516129 65.1483871] ; [19.1483871 36.8516129],0
u3,1,0.002074,9.48319,[26 15] ; [ 5 17],[20.17460317 20.82539683] ; [10.82539683 11.17460317],0
s8,1,0.002424,9.197148,[39 64] ; [ 9 50],[30.51851852 72.48148148] ; [17.48148148 41.51851852],0
p1,1,0.003851,8.352799,[  4 101] ; [10 49],[ 8.96341463 96.03658537] ; [ 5.03658537 53.96341463],0
s3,1,0.006731,7.343458,[51 52] ; [16 42],[42.86335404 60.13664596] ; [24.13664596 33.86335404],0
v2,1,0.011771,6.344987,[50 50] ; [16 39],[42.58064516 57.41935484] ; [23.41935484 31.58064516],0
u2,1,0.01223,6.277154,[26 14] ; [ 7 15],[21.29032258 18.70967742] ; [11.70967742 10.29032258],0
v3,1,0.014536,5.971795,[41 56] ; [13 44],[34.01298701 62.98701299] ; [19.98701299 37.01298701],0
s2,1,0.019463,5.459407,[44 61] ; [14 45],[37.13414634 67.86585366] ; [20.86585366 38.13414634],0
p3,1,0.046844,3.950984,[35 69] ; [11 47],[29.5308642 74.4691358] ; [16.4691358 41.5308642],0
a4,1,0.075879,3.151031,[49 55] ; [19 39],[43.65432099 60.34567901] ; [24.34567901 33.65432099],0
a7,1,0.081175,3.041215,[68 37] ; [30 29],[62.74390244 42.25609756] ; [35.25609756 23.74390244],0
a2,1,0.116093,2.469248,[25 80] ; [ 8 51],[21.12804878 83.87195122] ; [11.87195122 47.12804878],0
s5,1,0.120106,2.415941,[22 78] ; [ 7 51],[18.35443038 81.64556962] ; [10.64556962 47.35443038],0
n4,1,0.12467,2.357648,[73 32] ; [34 25],[68.50609756 36.49390244] ; [38.49390244 20.50609756],0
p11,1,0.128508,2.310431,[61 44] ; [27 32],[56.34146341 48.65853659] ; [31.65853659 27.34146341],0
p10,1,0.148169,2.091002,[58 46] ; [25 32],[53.61490683 50.38509317] ; [29.38509317 27.61490683],0
d1,1,0.150005,2.072204,[55 50] ; [24 35],[50.57926829 54.42073171] ; [28.42073171 30.57926829],0
a8,1,0.152792,2.044155,[14 84] ; [ 4 55],[11.23566879 86.76433121] ; [ 6.76433121 52.23566879],0
p12,1,0.15603,2.012285,[ 7 98] ; [ 1 58],[ 5.12195122 99.87804878] ; [ 2.87804878 56.12195122],0
d5,1,0.17115,1.872843,[72 31] ; [35 24],[68.0308642 34.9691358] ; [38.9691358 20.0308642],0
d4,1,0.188058,1.732763,[78 25] ; [39 20],[74.38888889 28.61111111] ; [42.61111111 16.38888889],0
u1,1,0.275071,1.191283,[15 90] ; [ 5 54],[12.80487805 92.19512195] ; [ 7.19512195 51.80487805],0
p7,1,0.28421,1.146849,[35 64] ; [16 43],[31.9556962 67.0443038] ; [19.0443038 39.9556962],0
v1,1,0.307244,1.042487,[39 64] ; [17 40],[36.05 66.95] ; [19.95 37.05],0
p6,1,0.33094,0.945217,[21 83] ; [ 8 49],[18.73291925 85.26708075] ; [10.26708075 46.73291925],0
a1,1,0.365388,0.819288,[ 8 97] ; [ 7 52],[ 9.60365854 95.39634146] ; [ 5.39634146 53.60365854],0
n3,1,0.384929,0.754902,[21 13] ; [11 11],[19.42857143 14.57142857] ; [12.57142857  9.42857143],0
p4,1,0.401651,0.703377,[32 69] ; [15 44],[29.66875 71.33125] ; [17.33125 41.66875],0
p5,1,0.415046,0.6643,[ 9 93] ; [ 3 54],[ 7.69811321 94.30188679] ; [ 4.30188679 52.69811321],0
n6,1,0.44496,0.583458,[69 35] ; [35 23],[66.7654321 37.2345679] ; [37.2345679 20.7654321],0
u4,1,0.449683,0.57145,[  4 101] ; [ 1 58],[  3.20121951 101.79878049] ; [ 1.79878049 57.20121951],0
b4,1,0.473105,0.514714,[63 42] ; [32 27],[60.82317073 44.17682927] ; [34.17682927 24.82317073],0
s1,1,0.534645,0.385555,[10 94] ; [ 4 55],[ 8.93251534 95.06748466] ; [ 5.06748466 53.93251534],0
n2,1,0.551772,0.354153,[27 11] ; [14  8],[25.96666667 12.03333333] ; [15.03333333  6.96666667],0
p9,1,0.608178,0.262837,[57 48] ; [27 27],[55.47169811 49.52830189] ; [28.52830189 25.47169811],0
