Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,3e-05,17.403896,[83 25] ; [10 18],[73.85294118 34.14705882] ; [19.14705882  8.85294118],1
v4,1,0.000374,12.659987,[106   3] ; [22  6],[101.83941606   7.16058394] ; [26.16058394  1.83941606],1
p10,1,0.001159,10.553808,[82 22] ; [14 15],[75.06766917 28.93233083] ; [20.93233083  8.06766917],0
p9,1,0.002152,9.415005,[84 21] ; [15 14],[77.57462687 27.42537313] ; [21.42537313  7.57462687],0
r2,1,0.003003,8.805463,[106   3] ; [24  5],[102.68115942   6.31884058] ; [27.31884058  1.68115942],0
v2,1,0.003721,8.414948,[59 44] ; [ 7 20],[52.29230769 50.70769231] ; [13.70769231 13.29230769],0
a7,1,0.00768,7.106692,[77 31] ; [13 16],[70.94890511 37.05109489] ; [19.05109489  9.94890511],0
p11,1,0.00786,7.065018,[92 17] ; [18 11],[86.88405797 22.11594203] ; [23.11594203  5.88405797],0
p2,1,0.008511,6.922768,[82 25] ; [15 14],[76.31617647 30.68382353] ; [20.68382353  8.31617647],0
r4,1,0.019489,5.457134,[104   5] ; [24  5],[101.10144928   7.89855072] ; [26.89855072  2.10144928],0
n4,1,0.020465,5.371827,[80 28] ; [15 14],[74.89051095 33.10948905] ; [20.10948905  8.89051095],0
s7,1,0.032695,4.561677,[49 54] ; [ 6 19],[44.2578125 58.7421875] ; [10.7421875 14.2578125],0
p6,1,0.047598,3.924121,[40 66] ; [ 5 23],[35.59701493 70.40298507] ; [ 9.40298507 18.59701493],0
p4,1,0.047739,3.919148,[52 53] ; [ 8 20],[47.36842105 57.63157895] ; [12.63157895 15.36842105],0
u2,1,0.049535,3.857143,[25 23] ; [10  2],[28. 20.] ; [7. 5.],0
p8,1,0.072272,3.230639,[56 49] ; [10 19],[51.71641791 53.28358209] ; [14.28358209 14.71641791],0
a4,1,0.074343,3.184423,[23 83] ; [11 18],[26.6962963 79.3037037] ; [ 7.3037037 21.6962963],0
s5,1,0.077482,3.116942,[33 70] ; [ 4 23],[29.31538462 73.68461538] ; [ 7.68461538 19.31538462],0
s3,1,0.081661,3.031537,[56 47] ; [21  8],[60.08333333 42.91666667] ; [16.91666667 12.08333333],0
s6,1,0.107013,2.597782,[64 40] ; [13 16],[60.21052632 43.78947368] ; [16.78947368 12.21052632],0
s8,1,0.109647,2.559299,[39 68] ; [ 6 23],[35.40441176 71.59558824] ; [ 9.59558824 19.40441176],0
a6,1,0.113434,2.505722,[73 35] ; [15 14],[69.37226277 38.62773723] ; [18.62773723 10.37226277],0
s4,1,0.126013,2.340948,[20 87] ; [ 2 27],[17.30882353 89.69117647] ; [ 4.69117647 24.30882353],0
u3,1,0.19043,1.714286,[26 22] ; [9 3],[28. 20.] ; [7. 5.],0
v1,1,0.197934,1.657554,[55 52] ; [11 18],[51.92647059 55.07352941] ; [14.07352941 14.92647059],0
d2,1,0.25806,1.279134,[30 79] ; [ 5 24],[27.64492754 81.35507246] ; [ 7.35507246 21.64492754],0
a8,1,0.278474,1.17452,[12 90] ; [ 5 20],[13.65354331 88.34645669] ; [ 3.34645669 21.65354331],0
a1,1,0.288499,1.126615,[  3 106] ; [ 2 27],[  3.94927536 105.05072464] ; [ 1.05072464 27.94927536],0
p7,1,0.34096,0.906818,[63 42] ; [14 14],[60.78947368 44.21052632] ; [16.21052632 11.78947368],0
r3,1,0.364372,0.822768,[100   9] ; [25  4],[98.73188406 10.26811594] ; [26.26811594  2.73188406],0
b5,1,0.394058,0.726382,[58 51] ; [18 11],[60.02898551 48.97101449] ; [15.97101449 13.02898551],0
v3,1,0.415938,0.661765,[43 63] ; [ 9 19],[41.13432836 64.86567164] ; [10.86567164 17.13432836],0
a2,1,0.514451,0.425003,[12 97] ; [ 2 27],[11.05797101 97.94202899] ; [ 2.94202899 26.05797101],0
p1,1,0.525456,0.403171,[16 91] ; [ 3 26],[14.94852941 92.05147059] ; [ 4.05147059 24.94852941],0
u1,1,0.614477,0.253706,[  5 104] ; [ 2 27],[  5.52898551 103.47101449] ; [ 1.47101449 27.52898551],0
b1,1,0.619231,0.24695,[47 62] ; [14 15],[48.18115942 60.81884058] ; [12.81884058 16.18115942],0
a3,1,0.658836,0.194941,[60 47] ; [17 11],[61.02962963 45.97037037] ; [15.97037037 12.02962963],0
d3,1,0.750522,0.101093,[52 56] ; [13 16],[51.24087591 56.75912409] ; [13.75912409 15.24087591],0
p3,1,0.756165,0.096423,[44 63] ; [11 18],[43.27205882 63.72794118] ; [11.72794118 17.27205882],0
n1,1,0.773117,0.083117,[10 12] ; [4 6],[ 9.625 12.375] ; [4.375 5.625],0
d4,1,0.802895,0.062301,[55 53] ; [15 13],[55.58823529 52.41176471] ; [14.41176471 13.58823529],0
s2,1,0.81513,0.054669,[46 59] ; [12 17],[45.44776119 59.55223881] ; [12.55223881 16.44776119],0
s1,1,0.821371,0.050977,[ 6 98] ; [ 2 27],[ 6.2556391 97.7443609] ; [ 1.7443609 27.2556391],0
n2,1,0.858282,0.031884,[19  4] ; [8 2],[18.81818182  4.18181818] ; [8.18181818 1.81818182],0
a5,1,0.878713,0.023287,[65 43] ; [17 12],[64.64233577 43.35766423] ; [17.35766423 11.64233577],0
b2,1,0.898724,0.016198,[28 39] ; [6 9],[27.7804878 39.2195122] ; [6.2195122 8.7804878],0
b3,1,0.898724,0.016198,[28 39] ; [6 9],[27.7804878 39.2195122] ; [6.2195122 8.7804878],0
b4,1,0.921402,0.009735,[65 44] ; [17 12],[64.76811594 44.23188406] ; [17.23188406 11.76811594],0
n3,1,0.934715,0.00671,[15  7] ; [6 3],[14.90322581  7.09677419] ; [6.09677419 2.90322581],0
d1,1,0.934836,0.006685,[  8 101] ; [ 2 27],[  7.89855072 101.10144928] ; [ 2.10144928 26.89855072],0
